"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
2005,서울시,"8,045,932","81,216,932","8,035,295","81,168,458","10,637","48,474","22,890","735,206","168,880","6,219,938","168,880","6,219,938",-,-,"7,854,162","74,261,788","7,843,525","74,213,314","10,637","48,474"
2005,종로구,"273,075","2,648,851","273,075","2,648,851",-,-,-,-,"7,450","319,500","7,450","319,500",-,-,"265,625","2,329,351","265,625","2,329,351",-,-
2005,중구,"114,280","1,869,901","114,280","1,869,901",-,-,-,-,"8,060","313,400","8,060","313,400",-,-,"106,220","1,556,501","106,220","1,556,501",-,-
2005,용산구,"278,685","3,116,407","278,685","3,116,407",-,-,-,-,"4,700","258,994","4,700","258,994",-,-,"273,985","2,857,413","273,985","2,857,413",-,-
2005,성동구,"406,397","2,977,595","406,397","2,977,595",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"400,417","2,755,845","400,417","2,755,845",-,-
2005,광진구,"323,500","3,373,019","323,500","3,373,019",-,-,-,-,"10,320","298,002","10,320","298,002",-,-,"313,180","3,075,017","313,180","3,075,017",-,-
2005,동대문구,"323,045","3,028,725","323,045","3,028,725",-,-,-,-,"11,100","350,430","11,100","350,430",-,-,"311,945","2,678,295","311,945","2,678,295",-,-
2005,중랑구,"320,349","2,639,426","320,349","2,639,426",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"309,149","2,285,856","309,149","2,285,856",-,-
2005,성북구,"621,798","3,881,832","621,658","3,880,992",140,840,-,-,"2,350","70,500","2,350","70,500",-,-,"619,448","3,811,332","619,308","3,810,492",140,840
2005,강북구,"223,863","1,921,254","223,301","1,918,796",562,"2,458",-,-,"3,300","86,000","3,300","86,000",-,-,"220,563","1,835,254","220,001","1,832,796",562,"2,458"
2005,도봉구,"255,406","2,318,207","255,406","2,318,207",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"249,506","2,082,207","249,506","2,082,207",-,-
2005,노원구,"287,268","3,540,133","287,038","3,538,293",230,"1,840",-,-,-,-,-,-,-,-,"287,268","3,540,133","287,038","3,538,293",230,"1,840"
2005,은평구,"330,020","3,025,261","325,380","3,005,226","4,640","20,035",-,-,"6,300","220,500","6,300","220,500",-,-,"323,720","2,804,761","319,080","2,784,726","4,640","20,035"
2005,서대문구,"306,189","2,646,423","306,189","2,646,423",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"295,739","2,295,923","295,739","2,295,923",-,-
2005,마포구,"417,798","4,015,527","417,798","4,015,527",-,-,-,-,"11,750","385,400","11,750","385,400",-,-,"406,048","3,630,127","406,048","3,630,127",-,-
2005,양천구,"397,379","3,477,312","397,379","3,477,312",-,-,500,"17,280",-,-,-,-,-,-,"396,879","3,460,032","396,879","3,460,032",-,-
2005,강서구,"369,509","4,273,333","364,524","4,252,908","4,985","20,425","3,000","90,000","15,050","465,292","15,050","465,292",-,-,"351,459","3,718,041","346,474","3,697,616","4,985","20,425"
2005,구로구,"282,778","2,899,105","282,698","2,898,145",80,960,-,-,"6,290","265,928","6,290","265,928",-,-,"276,488","2,633,177","276,408","2,632,217",80,960
2005,금천구,"178,582","1,929,806","178,582","1,927,890",-,"1,916","2,900","58,000","6,130","245,472","6,130","245,472",-,-,"169,552","1,626,334","169,552","1,624,418",-,"1,916"
2005,영등포구,"386,318","4,373,147","386,318","4,373,147",-,-,-,-,"12,150","422,500","12,150","422,500",-,-,"374,168","3,950,647","374,168","3,950,647",-,-
2005,동작구,"234,586","2,602,904","234,586","2,602,904",-,-,-,-,"2,900","101,500","2,900","101,500",-,-,"231,686","2,501,404","231,686","2,501,404",-,-
2005,관악구,"314,563","2,722,062","314,563","2,722,062",-,-,-,-,"2,100","96,600","2,100","96,600",-,-,"312,463","2,625,462","312,463","2,625,462",-,-
2005,서초구,"347,135","4,916,348","347,135","4,916,348",-,-,"10,270","361,020","4,200","202,360","4,200","202,360",-,-,"332,665","4,352,968","332,665","4,352,968",-,-
2005,강남구,"422,189","5,446,181","422,189","5,446,181",-,-,800,"17,600","7,900","380,640","7,900","380,640",-,-,"413,489","5,047,941","413,489","5,047,941",-,-
2005,송파구,"351,908","4,490,820","351,908","4,490,820",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"344,078","4,185,588","344,078","4,185,588",-,-
2005,강동구,"279,312","3,083,354","279,312","3,083,354",-,-,"3,740","151,994","7,150","309,180","7,150","309,180",-,-,"268,422","2,622,180","268,422","2,622,180",-,-
