"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,도봉구,"468,082",…,"404,102",…,"63,980",…,-,…,"9,200",…,"9,200",…,-,-,"458,882",…,"394,902",…,"63,980",…
1994,도봉구,"469,209",…,"405,229",…,"63,980",…,-,…,"9,200",…,"9,200",…,-,-,"460,009",…,"396,029",…,"63,980",…
1995,도봉구,"258,829",…,"223,456",…,"35,373",…,-,…,"5,900",…,"5,900",…,-,-,"252,929",…,"217,556",…,"35,373",…
1996,도봉구,"243,869",…,"241,290",…,"2,579",…,-,…,"5,900",…,"5,900",…,-,-,"237,969",…,"235,390",…,"2,579",…
1997,도봉구,"246,153",0,"243,864",0,"2,289",0,0,0,"5,900",0,"5,900",0,0,0,"240,253",0,"237,964",0,"2,289",0
1998,도봉구,"247,193",0,"244,904",0,"2,289",0,0,0,"5,900",0,"5,900",0,0,0,"241,293",0,"239,004",0,"2,289",0
1999,도봉구,"247,571",0,"245,282",0,"2,289",0,0,0,"26,050",0,"26,050",0,0,0,"221,521",0,"219,232",0,"2,289",0
2000,도봉구,"248,440","2,232,536","246,151","2,211,618","2,289","20,918",0,0,"5,900","236,000","5,900","236,000",0,0,"242,540","1,996,536","240,251","1,975,618","2,289","20,918"
2001,도봉구,"250,156","2,257,460","250,156","2,257,460",0,0,0,0,"5,900","236,000","5,900","236,000",0,0,"244,256","2,021,460","244,256","2,021,460",0,0
2002,도봉구,"252,117","2,276,561","252,117","2,276,561",0,0,0,0,"5,900","236,000","5,900","236,000",0,0,"246,217","2,040,561","246,217","2,040,561",0,0
2003,도봉구,"254,576","2,306,913","254,576","2,306,913",0,0,0,0,"5,900","236,000","5,900","236,000",0,0,"248,676","2,070,913","248,676","2,070,913",0,0
2004,도봉구,"254,576","2,306,913","254,576","2,306,913",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"248,676","2,070,913","248,676","2,070,913",-,-
2005,도봉구,"255,406","2,318,207","255,406","2,318,207",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"249,506","2,082,207","249,506","2,082,207",-,-
2006,도봉구,"255,406","2,319,497","255,406","2,319,497",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"249,506","2,083,497","249,506","2,083,497",-,-
2007,도봉구,"255,406","2,319,756","255,406","2,319,756",…,…,-,-,"5,900","236,000","5,900","236,000",-,-,"249,506","2,083,756","249,506","2,083,756",…,…
2008,도봉구,"255,406","2,321,676","255,406","2,321,676",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"249,506","2,085,676","249,506","2,085,676",-,-
2009,도봉구,"255,646","2,323,577","255,646","2,323,577",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"249,746","2,087,577","249,746","2,087,577",-,-
2010,도봉구,"255,646","2,324,992","255,646","2,324,992",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"249,746","2,088,992","249,746","2,088,992",-,-
2011,도봉구,"256,066","2,334,152","256,066","2,334,152",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"250,166","2,098,152","250,166","2,098,152",-,-
2012,도봉구,"256,334","2,335,760","256,334","2,335,760",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"250,434","2,099,760","250,434","2,099,760",-,-
2013,도봉구,"257,001","2,340,812","257,001","2,340,812",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"251,101","2,104,812","251,101","2,104,812",-,-
2014,도봉구,"257,031","2,340,992","257,031","2,340,992",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"251,131","2,104,992","251,131","2,104,992",-,-
2015,도봉구,"257,031","2,340,992","257,031","2,340,992",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"251,131","2,104,992","251,131","2,104,992",-,-
2016,도봉구,"257,031","2,340,992","257,031","2,340,992",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"251,131","2,104,992","251,131","2,104,992",-,-
2017,도봉구,"257,431","2,349,292","257,431","2,349,292",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"251,531","2,113,292","251,531","2,113,292",-,-
2018,도봉구,"257,431","2,349,572","257,431","2,349,572",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"251,531","2,113,572","251,531","2,113,572",-,-
2019,도봉구,"257,431","2,351,234","257,431","2,351,234",-,-,-,-,"5,900","236,000","5,900","236,000",-,-,"251,531","2,115,234","251,531","2,115,234",-,-
