"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,성북구,"593,662",…,"461,861",…,"131,801",…,-,…,"2,350",…,"2,350",…,-,-,"591,312",…,"459,511",…,"131,801",…
1994,성북구,"594,992",…,"463,191",…,"131,801",…,-,…,"2,350",…,"2,350",…,-,-,"592,642",…,"460,841",…,"131,801",…
1995,성북구,"595,650",…,"463,849",…,"131,801",…,-,…,"2,350",…,"2,350",…,-,-,"593,300",…,"461,499",…,"131,801",…
1996,성북구,"596,488",…,"466,269",…,"130,219",…,-,…,"2,350",…,"2,350",…,-,-,"594,138",…,"463,919",…,"130,219",…
1997,성북구,"597,989",0,"467,830",0,"130,159",0,0,0,"2,350",0,"2,350",0,0,0,"595,639",0,"465,480",0,"130,159",0
1998,성북구,"600,903",0,"470,744",0,"130,159",0,0,0,"2,350",0,"2,350",0,0,0,"598,553",0,"468,394",0,"130,159",0
1999,성북구,"606,487",0,"476,455",0,"130,032",0,0,0,"48,430",0,"48,430",0,0,0,"558,057",0,"428,025",0,"130,032",0
2000,성북구,"607,805","3,669,809","477,773","3,544,797","130,032","125,012",0,0,"2,350","70,500","2,350","70,500",0,0,"605,455","3,599,309","475,423","3,474,297","130,032","125,012"
2001,성북구,"611,304","3,717,556","611,304","3,717,556",0,0,0,0,"2,350","70,500","2,350","70,500",0,0,"608,954","3,647,056","608,954","3,647,056",0,0
2002,성북구,"615,402","3,789,048","615,402","3,789,048",0,0,0,0,"2,350","70,500","2,350","70,500",0,0,"613,052","3,718,548","613,052","3,718,548",0,0
2003,성북구,"615,402","3,789,048","615,402","3,789,048",0,0,0,0,"2,350","70,500","2,350","70,500",0,0,"613,052","3,718,548","613,052","3,718,548",0,0
2004,성북구,"616,612","3,797,608","616,612","3,797,608",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"614,262","3,727,108","614,262","3,727,108",-,-
2005,성북구,"621,798","3,881,832","621,658","3,880,992",140,840,-,-,"2,350","70,500","2,350","70,500",-,-,"619,448","3,811,332","619,308","3,810,492",140,840
2006,성북구,"622,998","3,914,226","622,998","3,914,226",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"620,648","3,843,726","620,648","3,843,726",-,-
2007,성북구,"623,130","3,930,771","623,130","3,930,771",…,…,-,-,"2,350","70,500","2,350","70,500",-,-,"620,780","3,860,271","620,780","3,860,271",…,…
2008,성북구,"624,110","3,965,566","624,110","3,965,566",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"621,760","3,895,066","621,760","3,895,066",-,-
2009,성북구,"625,026","3,984,657","625,026","3,984,657",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"622,676","3,914,157","622,676","3,914,157",-,-
2010,성북구,"626,654","4,003,341","626,654","4,003,341",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"624,304","3,932,841","624,304","3,932,841",-,-
2011,성북구,"627,028","4,008,916","627,028","4,008,916",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"624,678","3,938,416","624,678","3,938,416",-,-
2012,성북구,"627,028","4,009,756","627,028","4,009,756",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"624,678","3,939,256","624,678","3,939,256",-,-
2013,성북구,"627,355","4,012,186","627,355","4,012,186",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"625,005","3,941,686","625,005","3,941,686",-,-
2014,성북구,"627,359","4,012,269","627,359","4,012,269",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"625,009","3,941,769","625,009","3,941,769",-,-
2015,성북구,"627,359","4,013,121","627,359","4,013,121",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"625,009","3,942,621","625,009","3,942,621",-,-
2016,성북구,"627,392","4,013,784","627,392","4,013,784",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"625,042","3,943,284","625,042","3,943,284",-,-
2017,성북구,"627,392","4,014,459","627,392","4,014,459",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"625,042","3,943,959","625,042","3,943,959",-,-
2018,성북구,"627,414","4,014,836","627,414","4,014,836",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"625,064","3,944,336","625,064","3,944,336",-,-
2019,성북구,"629,666","4,140,468","629,666","4,140,468",-,-,-,-,"2,350","70,500","2,350","70,500",-,-,"627,316","4,069,968","627,316","4,069,968",-,-
