"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,송파구,"348,061",…,"330,944",…,"17,117",…,"1,680",…,"6,150",…,"6,150",…,-,-,"340,231",…,"323,114",…,"17,117",…
1994,송파구,"348,989",…,"331,872",…,"17,117",…,"1,680",…,"6,150",…,"6,150",…,-,-,"341,159",…,"324,042",…,"17,117",…
1995,송파구,"349,337",…,"332,220",…,"17,117",…,"1,680",…,"6,150",…,"6,150",…,-,-,"341,507",…,"324,390",…,"17,117",…
1996,송파구,"349,537",…,"347,707",…,"1,830",…,"1,680",…,"6,150",…,"6,150",…,-,-,"341,707",…,"339,877",…,"1,830",…
1997,송파구,"351,405",0,"349,575",0,"1,830",0,"1,680",0,"6,150",0,"6,150",0,0,0,"343,575",0,"341,745",0,"1,830",0
1998,송파구,"351,405",0,"349,715",0,"1,690",0,"1,680",0,"6,150",0,"6,150",0,0,0,"343,575",0,"341,885",0,"1,690",0
1999,송파구,"351,405",0,"349,715",0,"1,690",0,"1,680",0,"52,610",0,"52,610",0,0,0,"297,115",0,"295,425",0,"1,690",0
2000,송파구,"351,535","4,419,256","349,845","4,408,586","1,690","10,670","1,680","39,312","6,150","265,920","6,150","265,920",0,0,"343,705","4,114,024","342,015","4,103,354","1,690","10,670"
2001,송파구,"351,535","4,419,256","351,535","4,419,256",0,0,"1,680","39,312","6,150","265,920","6,150","265,920",0,0,"343,705","4,114,024","343,705","4,114,024",0,0
2002,송파구,"351,897","4,490,345","351,897","4,490,345",0,0,"1,680","39,312","6,150","265,920","6,150","265,920",0,0,"344,067","4,185,113","344,067","4,185,113",0,0
2003,송파구,"351,897","4,490,431","351,897","4,490,431",0,0,"1,680","39,312","6,150","265,920","6,150","265,920",0,0,"344,067","4,185,199","344,067","4,185,199",0,0
2004,송파구,"351,908","4,490,820","351,908","4,490,820",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"344,078","4,185,588","344,078","4,185,588",-,-
2005,송파구,"351,908","4,490,820","351,908","4,490,820",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"344,078","4,185,588","344,078","4,185,588",-,-
2006,송파구,"351,908","4,490,820","351,908","4,490,820",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"344,078","4,185,588","344,078","4,185,588",-,-
2007,송파구,"352,108","4,491,470","352,008","4,491,470",…,…,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"344,278","4,186,238","344,178","4,186,238",…,…
2008,송파구,"352,108","4,491,470","352,108","4,491,470",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"344,278","4,186,238","344,278","4,186,238",-,-
2009,송파구,"354,898","4,559,090","354,898","4,559,090",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"347,068","4,253,858","347,068","4,253,858",-,-
2010,송파구,"361,340","4,653,668","361,340","4,653,668",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"353,510","4,348,436","353,510","4,348,436",-,-
2011,송파구,"361,340","4,653,668","361,340","4,653,668",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"353,510","4,348,436","353,510","4,348,436",-,-
2012,송파구,"362,700","4,699,775","362,700","4,699,775",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"354,870","4,394,543","354,870","4,394,543",-,-
2013,송파구,"362,700","4,699,775","362,700","4,699,775",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"354,870","4,394,543","354,870","4,394,543",-,-
2014,송파구,"362,700","4,699,775","362,700","4,699,775",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"354,870","4,394,543","354,870","4,394,543",-,-
2015,송파구,"362,700","4,699,775","362,700","4,699,775",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"354,870","4,394,543","354,870","4,394,543",-,-
2016,송파구,"362,700","4,699,775","362,700","4,699,775",-,-,"1,680","39,312","6,150","265,920","6,150","265,920",-,-,"354,870","4,394,543","354,870","4,394,543",-,-
2017,송파구,"367,200","4,868,975","367,200","4,868,975",-,-,"4,500","169,200","6,150","265,920","6,150","265,920",-,-,"356,550","4,433,855","356,550","4,433,855",-,-
2018,송파구,"367,200","4,869,731","367,200","4,869,731",-,-,"4,500","169,200","6,150","265,920","6,150","265,920",-,-,"356,550","4,434,611","356,550","4,434,611",-,-
2019,송파구,"368,293","4,876,294","368,293","4,876,294",-,-,"4,500","169,200","6,150","265,920","6,150","265,920",-,-,"357,644","4,441,174","357,644","4,441,174",-,-
