"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,은평구,"321,037",…,"245,126",…,"75,911",…,-,…,"6,300",…,"6,300",…,-,-,"314,737",…,"238,826",…,"75,911",…
1994,은평구,"322,396",…,"246,485",…,"75,911",…,-,…,"6,300",…,"6,300",…,-,-,"316,096",…,"240,185",…,"75,911",…
1995,은평구,"322,749",…,"246,838",…,"75,911",…,-,…,"6,300",…,"6,300",…,-,-,"316,449",…,"240,538",…,"75,911",…
1996,은평구,"324,105",…,"248,226",…,"75,879",…,-,…,"6,300",…,"6,300",…,-,-,"317,805",…,"241,926",…,"75,879",…
1997,은평구,"324,630",0,"248,751",0,"75,879",0,0,0,"6,300",0,"6,300",0,0,0,"318,330",0,"242,451",0,"75,879",0
1998,은평구,"325,422",0,"249,543",0,"75,879",0,0,0,"6,300",0,"6,300",0,0,0,"319,122",0,"243,243",0,"75,879",0
1999,은평구,"325,597",0,"249,718",0,"75,879",0,0,0,"32,040",0,"32,040",0,0,0,"293,557",0,"217,678",0,"75,879",0
2000,은평구,"326,547","2,935,510","250,668","2,573,974","75,879","361,536",0,0,"6,300","220,500","6,300","220,500",0,0,"320,247","2,715,010","244,368","2,353,474","75,879","361,536"
2001,은평구,"326,547","2,937,260","321,300","2,914,797","5,247","22,463",0,0,"6,300","220,500","6,300","220,500",0,0,"320,247","2,716,760","315,000","2,694,297","5,247","22,463"
2002,은평구,"327,669","2,948,046","322,562","2,926,143","5,107","21,903",0,0,"6,300","220,500","6,300","220,500",0,0,"321,369","2,727,546","316,262","2,705,643","5,107","21,903"
2003,은평구,"326,862","2,945,578","322,125","2,925,155","4,737","20,423",0,0,"6,300","220,500","6,300","220,500",0,0,"320,562","2,725,078","315,825","2,704,655","4,737","20,423"
2004,은평구,"327,282","2,947,978","322,642","2,927,943","4,640","20,035",-,-,"6,300","220,500","6,300","220,500",-,-,"320,982","2,727,478","316,342","2,707,443","4,640","20,035"
2005,은평구,"330,020","3,025,261","325,380","3,005,226","4,640","20,035",-,-,"6,300","220,500","6,300","220,500",-,-,"323,720","2,804,761","319,080","2,784,726","4,640","20,035"
2006,은평구,"330,566","3,030,373","330,516","3,030,173",50,200,-,-,"6,300","220,500","6,300","220,500",-,-,"324,266","2,809,873","324,216","2,809,673",50,200
2007,은평구,"330,566","3,032,065","330,516","3,031,865",…,…,-,-,"6,300","220,500","6,300","220,500",-,-,"324,266","2,811,565","324,216","2,811,365",…,…
2008,은평구,"330,780","3,036,186","330,780","3,036,186",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"324,480","2,815,686","324,480","2,815,686",-,-
2009,은평구,"331,323","3,042,052","331,323","3,042,052",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"325,023","2,821,552","325,023","2,821,552",-,-
2010,은평구,"332,043","3,053,724","332,043","3,053,724",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"325,743","2,833,224","325,743","2,833,224",-,-
2011,은평구,"332,472","3,069,521","332,472","3,069,521",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"326,172","2,849,021","326,172","2,849,021",-,-
2012,은평구,"333,247","3,074,171","333,247","3,074,171",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"326,947","2,853,671","326,947","2,853,671",-,-
2013,은평구,"351,541","3,326,481","351,541","3,326,481",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"345,241","3,105,981","345,241","3,105,981",-,-
2014,은평구,"351,541","3,326,481","351,541","3,326,481",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"345,241","3,105,981","345,241","3,105,981",-,-
2015,은평구,"351,541","3,326,481","351,541","3,326,481",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"345,241","3,105,981","345,241","3,105,981",-,-
2016,은평구,"351,907","3,332,337","351,907","3,332,337",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"345,607","3,111,837","345,607","3,111,837",-,-
2017,은평구,"351,997","3,332,877","351,997","3,332,877",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"345,697","3,112,377","345,697","3,112,377",-,-
2018,은평구,"351,997","3,332,877","351,997","3,332,877",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"345,697","3,112,377","345,697","3,112,377",-,-
2019,은평구,"352,014","3,332,979","352,014","3,332,979",-,-,-,-,"6,300","220,500","6,300","220,500",-,-,"345,714","3,112,479","345,714","3,112,479",-,-
