"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,중랑구,"291,719",…,"223,477",…,"68,242",…,-,…,"11,200",…,"11,200",…,-,-,"280,519",…,"212,277",…,"68,242",…
1994,중랑구,"292,800",…,"224,558",…,"68,242",…,-,…,"11,200",…,"11,200",…,-,-,"281,600",…,"213,358",…,"68,242",…
1995,중랑구,"293,559",…,"225,317",…,"68,242",…,-,…,"11,200",…,"11,200",…,-,-,"282,359",…,"214,117",…,"68,242",…
1996,중랑구,"293,826",…,"226,874",…,"66,952",…,-,…,"11,200",…,"11,200",…,-,-,"282,626",…,"215,674",…,"66,952",…
1997,중랑구,"297,609",0,"230,657",0,"66,952",0,0,0,"11,200",0,"11,200",0,0,0,"286,409",0,"219,457",0,"66,952",0
1998,중랑구,"308,138",0,"241,186",0,"66,952",0,0,0,"11,200",0,"11,200",0,0,0,"296,938",0,"229,986",0,"66,952",0
1999,중랑구,"308,543",0,"241,591",0,"66,952",0,0,0,"48,340",0,"48,340",0,0,0,"260,203",0,"193,251",0,"66,952",0
2000,중랑구,"311,914","2,531,626","244,962","2,213,156","66,952","318,470",0,0,"11,200","353,570","11,200","353,570",0,0,"300,714","2,178,056","233,762","1,859,586","66,952","318,470"
2001,중랑구,"312,959","2,541,944","312,959","2,541,944",0,0,0,0,"11,200","353,570","11,200","353,570",0,0,"301,759","2,188,374","301,759","2,188,374",0,0
2002,중랑구,"314,777","2,566,450","314,777","2,566,450",0,0,0,0,"11,200","353,570","11,200","353,570",0,0,"303,577","2,212,880","303,577","2,212,880",0,0
2003,중랑구,"316,898","2,591,808","316,898","2,591,808",0,0,0,0,"11,200","353,570","11,200","353,570",0,0,"305,698","2,238,238","305,698","2,238,238",0,0
2004,중랑구,"319,416","2,631,448","319,416","2,631,448",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"308,216","2,277,878","308,216","2,277,878",-,-
2005,중랑구,"320,349","2,639,426","320,349","2,639,426",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"309,149","2,285,856","309,149","2,285,856",-,-
2006,중랑구,"322,317","2,668,834","322,317","2,668,834",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"311,117","2,315,264","311,117","2,315,264",-,-
2007,중랑구,"322,760","2,672,172","322,760","2,672,172",…,…,-,-,"11,200","353,570","11,200","353,570",-,-,"311,560","2,318,602","311,560","2,318,602",…,…
2008,중랑구,"323,200","2,675,692","323,200","2,675,692",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"312,000","2,322,122","312,000","2,322,122",-,-
2009,중랑구,"323,340","2,687,092","323,340","2,687,092",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"312,140","2,333,522","312,140","2,333,522",-,-
2010,중랑구,"323,410","2,689,742","323,410","2,689,742",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"312,210","2,336,172","312,210","2,336,172",-,-
2011,중랑구,"323,410","2,689,742","323,410","2,689,742",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"312,210","2,336,172","312,210","2,336,172",-,-
2012,중랑구,"323,630","2,691,862","323,630","2,691,862",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"312,430","2,338,292","312,430","2,338,292",-,-
2013,중랑구,"323,630","2,691,862","323,630","2,691,862",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"312,430","2,338,292","312,430","2,338,292",-,-
2014,중랑구,"330,589","2,836,098","330,589","2,836,098",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"319,389","2,482,528","319,389","2,482,528",-,-
2015,중랑구,"330,923","2,841,669","330,923","2,841,669",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"319,723","2,488,099","319,723","2,488,099",-,-
2016,중랑구,"330,968","2,843,397","330,968","2,843,397",-,-,-,-,"11,200","353,570","11,200","353,570",-,-,"319,768","2,489,827","319,768","2,489,827",-,-
2017,중랑구,"334,013","2,937,952","334,013","2,937,952",-,-,"2,650","81,090","11,200","353,570","11,200","353,570",-,-,"320,163","2,503,292","320,163","2,503,292",-,-
2018,중랑구,"334,013","2,938,827","334,013","2,938,827",-,-,"2,650","81,090","11,200","353,570","11,200","353,570",-,-,"320,163","2,504,167","320,163","2,504,167",-,-
2019,중랑구,"334,013","2,941,864","334,013","2,941,864",-,-,"2,650","81,090","11,200","353,570","11,200","353,570",-,-,"320,163","2,507,204","320,163","2,507,204",-,-
