Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,합계,242,"8,433","56,204",68,"8,047","39,587",84,"27,691","365,056",4,"14,367","238,558",29,"4,947","140,584",19,"18,944","193,507",37,"31,177","271,821","105,624",0,0,,,,,,,,,,,,,,,,,,
1997,건설안전관리본부,4,276,935,6,"1,085","5,022",21,"7,934","127,222",4,"14,367","238,558",0,0,0,9,"12,306","123,152",37,"31,177","271,821",0,0,0,,,,,,,,,,,,,,,,,,
1997,종로구,15,542,"3,944",5,688,"4,088",2,627,"6,310",0,0,0,6,451,"14,663",2,"1,246","13,487",0,0,0,"3,977",0,0,,,,,,,,,,,,,,,,,,
1997,중구,14,470,"4,506",13,"1,606","7,755",4,799,"6,488",0,0,0,14,"2,863","58,871",0,0,0,0,0,0,"4,059",0,0,,,,,,,,,,,,,,,,,,
1997,용산구,20,739,"4,367",4,308,"1,118",9,"2,196","29,793",0,0,0,0,0,0,0,0,0,0,0,0,"5,269",0,0,,,,,,,,,,,,,,,,,,
1997,성동구,3,73,521,3,84,429,3,476,"3,453",0,0,0,0,0,0,1,330,"3,630",0,0,0,"4,297",0,0,,,,,,,,,,,,,,,,,,
1997,광진구,5,117,888,1,91,418,4,786,"8,827",0,0,0,0,0,0,0,0,0,0,0,0,"3,123",0,0,,,,,,,,,,,,,,,,,,
1997,동대문구,12,475,"3,192",1,122,374,3,908,"33,277",0,0,0,1,32,743,0,0,0,0,0,0,"3,444",0,0,,,,,,,,,,,,,,,,,,
1997,중랑구,10,256,"1,845",1,59,118,2,856,"7,448",0,0,0,0,0,0,0,0,0,0,0,0,"2,978",0,0,,,,,,,,,,,,,,,,,,
1997,성북구,5,132,939,4,366,"1,409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,060",0,0,,,,,,,,,,,,,,,,,,
1997,강북구,10,207,"1,565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,971",0,0,,,,,,,,,,,,,,,,,,
1997,도봉구,3,96,611,0,0,0,3,697,"6,926",0,0,0,0,0,0,0,0,0,0,0,0,"2,691",0,0,,,,,,,,,,,,,,,,,,
1997,노원구,8,405,"2,771",4,382,"1,571",2,641,"7,040",0,0,0,0,0,0,1,220,"4,697",0,0,0,"4,144",0,0,,,,,,,,,,,,,,,,,,
1997,은평구,2,53,408,0,0,0,1,575,"12,114",0,0,0,0,0,0,0,0,0,0,0,0,"2,099",0,0,,,,,,,,,,,,,,,,,,
1997,서대문구,13,395,"2,615",3,290,"1,264",2,496,"4,190",0,0,0,0,0,0,1,"1,110","9,990",0,0,0,"2,961",0,0,,,,,,,,,,,,,,,,,,
1997,마포구,4,91,726,3,189,"1,657",2,415,"2,664",0,0,0,0,0,0,0,0,0,0,0,0,"4,330",0,0,,,,,,,,,,,,,,,,,,
1997,양천구,14,755,"4,185",1,50,142,4,"1,835","33,931",0,0,0,0,0,0,0,0,0,0,0,0,"4,484",0,0,,,,,,,,,,,,,,,,,,
1997,강서구,9,272,"1,793",2,201,878,2,669,"4,392",0,0,0,0,0,0,1,857,"8,570",0,0,0,"4,833",0,0,,,,,,,,,,,,,,,,,,
1997,구로구,10,345,"2,368",0,0,0,4,"1,206","9,811",0,0,0,0,0,0,0,0,0,0,0,0,"3,377",0,0,,,,,,,,,,,,,,,,,,
1997,금천구,4,186,"1,104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,258",0,0,,,,,,,,,,,,,,,,,,
1997,영등포구,11,295,"2,314",3,353,"1,423",4,"1,304","11,362",0,0,0,3,433,"14,621",0,0,0,0,0,0,"7,799",0,0,,,,,,,,,,,,,,,,,,
1997,동작구,18,666,"4,223",4,279,"1,541",4,770,"8,647",0,0,0,0,0,0,1,"1,136","10,447",0,0,0,"3,126",0,0,,,,,,,,,,,,,,,,,,
1997,관악구,8,321,"2,209",0,0,0,0,0,0,0,0,0,0,0,0,1,720,"7,149",0,0,0,"2,450",0,0,,,,,,,,,,,,,,,,,,
1997,서초구,11,362,"2,189",3,343,"1,624",3,"1,084","11,701",0,0,0,4,"1,027","43,244",0,0,0,0,0,0,"7,051",0,0,,,,,,,,,,,,,,,,,,
1997,강남구,5,134,982,2,532,"2,279",1,470,"2,619",0,0,0,0,0,0,2,"1,020","12,385",0,0,0,"9,253",0,0,,,,,,,,,,,,,,,,,,
1997,송파구,16,557,"3,553",5,"1,020","6,478",4,"2,949","26,843",0,0,0,1,141,"8,442",0,0,0,0,0,0,"8,040",0,0,,,,,,,,,,,,,,,,,,
1997,강동구,8,213,"1,451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,550",0,0,,,,,,,,,,,,,,,,,,
