Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,동작구,18,666,"4,223",4,279,"1,541",4,770,"8,647",0,0,0,0,0,0,1,"1,136","10,447",0,0,0,"3,126",0,0,,,,,,,,,,,,,,,,,,
1998,동작구,18,666,"2,505",4,137,844,4,770,"8,647",0,0,0,0,0,0,1,568,"10,448",0,0,0,"3,131",0,0,,,,,,,,,,,,,,,,,,
1999,동작구,18,666,"4,224",4,137,"1,584",3,420,"4,622",0,0,0,0,0,0,0,0,0,0,0,0,"2,230",0,0,,,,,,,,,,,,,,,,,,
2000,동작구,17,553,"3,778",4,135,"1,541",3,481,"5,697",0,0,0,0,0,0,0,0,0,0,0,0,"2,414",0,0,,,,,,,,,,,,,,,,,,
2001,동작구,17,575,"4,048",4,137,"1,584",3,481,"5,697",2,250,"2,673",-,-,-,0,0,0,0,0,0,"2,516",0,0,,,,,,,,,,,,,,,,,,
2002,동작구,17,634,"4,098",4,137,"1,584",3,481,"5,697",2,339,"2,673",0,0,0,0,0,0,0,0,0,"2,683",0,0,,,,,,,,,,,,,,,,,,
2003,동작구,15,599,"3,809",4,137,"1,584",3,420,"4,622",2,339,"2,673",0,0,0,0,0,0,0,0,0,"3,013",0,0,,,,,,,,,,,,,,,,,,
2004,동작구,15,599,"3,809",4,137,"1,584",3,420,"4,622",2,339,"2,673",0,0,0,0,0,0,0,0,0,"3,226",0,0,,,,,,,,,,,,,,,,,,
2005,동작구,15,569,"3,821",4,137,"1,584",3,420,"4,622",2,339,"2,673",0,0,0,0,0,0,0,0,0,"3,532",0,0,,,,,,,,,,,,,,,,,,
2006,동작구,15,569,"3,821",4,137,"1,584",3,420,"4,622",2,339,"2,673",-,-,-,-,-,-,-,-,-,"3,889",-,-,,,,,,,,,,,,,,,,,,
2007,동작구,14,541,"3,625",4,137,"1,584",3,502,"4,622",2,338,"2,673",,,,-,-,-,-,-,-,"4,160",,,1,"2,113","6,339",,,,,,,,,,,,,,,
2008,동작구,14,541,"3,625",4,137,"1,584",4,562,"5,105",2,338,"2,673",,,,-,-,-,-,-,-,"4,230",,,1,"2,113","6,339",,,,,,,,,,,,,,,
2009,동작구,11,409,"2,978.0",4,137,"1,584.0",3,402,"3,825.0",,,,,,,-,-,-,,,,"4,050",,,,,,2,338,"2,673.0",-,-,-,1,"2,113","6,339.0",-,-,-,-,-,-
2010,동작구,11,414,"2,642.0",4,137,"1,584.0",3,402,"3,825.0",,,,,,,-,-,-,,,,"4,450",,,,,,2,338,"2,673.0",-,-,-,1,"2,113","6,339.0",-,-,-,-,-,-
2011,동작구,10,394,"2,466.0",4,137,"1,584.0",3,402,"3,825.0",,,,,,,-,-,-,,,,"4,471",,,,,,2,338,"2,673.0",-,-,-,1,"2,113","6,339.0",-,-,-,-,-,-
2012,동작구,10,394,"2,466.0",4,136,"1,584.0",3,402,"3,825.0",,,,,,,-,-,-,,,,"5,015",,,,,,2,338,"2,672.0",-,-,-,1,"2,113","6,339.0",-,-,-,-,-,-
2013,동작구,10,394,"2,466",4,137,"1,585",3,402,"3,825",,,,,,,-,-,-,,,,"5,087",,,,,,2,339,"2,673",-,-,-,1,"2,113","6,339",-,-,-,-,-,-
2014,동작구,10,394,"2,466",4,137,"1,585",3,402,"3,825",,,,,,,-,-,-,,,,"5,087",,,,,,2,339,"2,673",-,-,-,1,"2,113","6,339",-,-,-,-,-,-
2015,동작구,7,306,"1,828",4,137,"1,585",3,402,"3,825",,,,,,,-,-,-,,,,"4,641",,,,,,2,339,"2,673",-,-,-,1,"2,113","6,339",-,-,-,-,-,-
2016,동작구,7,306,"1,828",4,137,"1,585",3,402,"3,825",,,,,,,-,-,-,,,,"5,328",,,,,,2,339,"2,673",-,-,-,1,"2,780","16,500",-,-,-,-,-,-
2017,동작구,6,284,"1,656",4,137,"1,585",4,490,"4,705",,,,,,,-,-,-,,,,"5,483",,,,,,2,339,"2,673",-,-,-,1,"2,780","16,500",-,-,-,-,-,-
2018,동작구,5,254,"1,452",4,137,"1,585",4,490,"4,705",,,,,,,-,-,-,,,,"5,568",,,,,,2,339,"2,673",-,-,-,1,"2,780","16,500",-,-,-,-,-,-
2019,동작구,5,254,"1,452",4,137,"1,585",4,490,"4,705",,,,,,,-,-,-,,,,"5,656",,,,,,2,339,"2,673",-,-,-,1,"2,780","16,500",-,-,-,-,-,-
