"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,강서구,"474,434","472,241",99.5,…,…,0...,"80,862"
1994,강서구,"508,345","505,803",99.5,…,…,0...,"94,868"
1995,강서구,"523,606","521,576",99.6,…,…,0...,"103,612"
1996,강서구,"524,006","522,271",99.6,…,…,0...,"105,222"
1997,강서구,"519,554","518,034",99.7,…,…,0...,"109,842"
1998,강서구,"517,881","516,749",99.8,…,…,…,"109,123"
1999,강서구,"521,284","520,514",99.8,…,…,…,"107,707"
2000,강서구,"522,962","522,763",99.96,…,"148,763.0279",373,"109,081"
2001,강서구,"523,542","523,542",100,…,…,…,"113,490"
2002,강서구,"530,169","530,169",100,…,…,0...,"121,250"
2003,강서구,"539,673","539,673",100,…,…,0...,"124,535"
2004,강서구,"544,762","544,762",100,…,…,0...,0...
2005,강서구,"557,373","557,373",100,…,…,…,"124,596"
2006,강서구,"559,845","559,845",100,…,"150,403",269,"122,778"
2007,강서구,"566,495","566,495",100,…,"154,275",272,"124,168"
2008,강서구,"583,545","583,545",100,-,"158,670",272,"128,761"
2009,강서구,"579,196","579,196",100,-,"157,042",271,"128,172"
2010,강서구,"580,506","580,506",100,-,"157,692",272,"127,958"
2011,강서구,"575,846","575,846",100,-,"122,797",268,"132,767"
2012,강서구,"573,794","573,794",100,-,"154,199",269,"136,880"
2013,강서구,"575,236","575,236",100,-,"156,330",272,"139,629"
2014,강서구,"591,653","591,653",100,-,"127,004",215,"142,572"
2015,강서구,"595,691","595,691",100,-,"157,858",265,"145,970"
2016,강서구,"602,104","602,104",100,-,"154,083",256,"150,757"
2017,강서구,"608,255","608,255",100,-,"156,122",257,"154,341"
2018,강서구,"603,611","603,611",100,-,"161,482",268,"154,470"
2019,강서구,"598,273","598,273",100,-,"145,316",243,"160,254"
