"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,금천구,-,-,-,…,…,0...,-
1994,금천구,-,-,-,…,…,0...,-
1995,금천구,"284,609","284,609",100,…,…,0...,"33,008"
1996,금천구,"273,867","273,867",100,…,…,0...,"34,902"
1997,금천구,"272,740","272,740",100,…,…,0...,"36,347"
1998,금천구,"273,712","273,712",100,…,…,…,"34,173"
1999,금천구,"270,458","270,458",100,…,…,…,"33,416"
2000,금천구,"268,768","268,768",100,…,"99,400.47609",373,"32,222"
2001,금천구,"263,061","263,061",100,…,…,…,"63,679"
2002,금천구,"264,004","264,004",100,…,…,0...,"62,717"
2003,금천구,"267,355","267,355",100,…,…,0...,"36,757"
2004,금천구,"266,047","266,047",100,…,…,0...,0...
2005,금천구,"263,936","263,936",100,…,…,…,"37,424"
2006,금천구,"263,989","263,989",100,…,"89,878",340,"37,596"
2007,금천구,"264,323","264,323",100,…,"80,852",306,"37,668"
2008,금천구,"265,244","265,244",100,-,"88,115",332,"37,981"
2009,금천구,"263,116","263,116",100,-,"87,437",332,"38,196"
2010,금천구,"264,544","264,544",100,-,"82,953",314,"37,217"
2011,금천구,"264,256","264,256",100,-,"112,030",309,"39,160"
2012,금천구,"260,734","260,734",100,-,"82,167",315,"40,561"
2013,금천구,"258,254","258,254",100,-,"79,715",309,"41,551"
2014,금천구,"258,030","258,030",100,-,"77,852",302,"43,331"
2015,금천구,"256,167","256,167",100,-,"77,243",302,"44,806"
2016,금천구,"254,654","254,654",100,-,"74,704",293,"47,004"
2017,금천구,"253,491","253,491",100,-,"78,923",311,"49,809"
2018,금천구,"254,021","254,021",100,-,"81,600",321,"51,594"
2019,금천구,"251,820","251,820",100,-,"76,461",304,"55,308"
