"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,서초구,"410,719","409,799",99.8,…,…,0...,"80,931"
1994,서초구,"412,315","411,490",99.8,…,…,0...,"83,257"
1995,서초구,"407,887","407,279",99.9,…,…,0...,"86,373"
1996,서초구,"408,781","408,181",99.9,…,…,0...,"89,176"
1997,서초구,"407,122","406,514",99.9,…,…,0...,"90,671"
1998,서초구,"404,765","404,407",99.9,…,…,…,"84,732"
1999,서초구,"404,961","404,691",99.9,…,…,…,"75,092"
2000,서초구,"401,858","401,542",99.92,…,"192,388.6633",373,"74,279"
2001,서초구,"397,983","397,667",99.92,…,…,…,"75,209"
2002,서초구,"393,583","393,404",99.99,…,…,0...,"78,457"
2003,서초구,"400,220","400,041",99.96,…,…,0...,"80,755"
2004,서초구,"406,752","406,573",99.96,…,…,0...,0...
2005,서초구,"406,875","406,696",99.96,…,…,…,"78,818"
2006,서초구,"413,970","413,850",99.97,…,"161,568",390,"79,035"
2007,서초구,"411,951","411,951",100,…,"160,249",389,"77,785"
2008,서초구,"412,065","412,065",100,-,"158,572",385,"78,169"
2009,서초구,"431,131","431,131",100,-,"159,705",370,"78,874"
2010,서초구,"440,021","440,021",100,-,"160,789",365,"76,259"
2011,서초구,"439,012","439,012",100,-,"233,509",532,"80,293"
2012,서초구,"439,998","439,998",100,-,"160,885",366,"82,664"
2013,서초구,"446,541","446,541",100,-,"159,708",358,"82,703"
2014,서초구,"454,288","454,288",100,-,"158,276",348,"83,642"
2015,서초구,"451,258","451,258",100,-,"170,393",378,"84,012"
2016,서초구,"451,477","451,477",100,-,"158,114",350,"85,755"
2017,서초구,"445,401","445,401",100,-,"156,611",352,"85,998"
2018,서초구,"438,163","438,163",100,-,"169,594",387,"85,490"
2019,서초구,"435,107","435,107",100,-,"165,018",379,"84,297"
