"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,중랑구,"460,157","460,157",100,…,…,0...,"54,278"
1994,중랑구,"457,749","457,749",100,…,…,0...,"56,009"
1995,중랑구,"454,951","454,951",100,…,…,0...,"65,685"
1996,중랑구,"478,390","478,390",100,…,…,0...,"72,801"
1997,중랑구,"475,662","475,662",100,…,…,0...,"74,153"
1998,중랑구,"467,538","467,538",100,…,…,…,"68,847"
1999,중랑구,"462,434","462,434",100,…,…,…,"67,141"
2000,중랑구,"459,255","459,255",100,…,"168,887.0578",373,"66,412"
2001,중랑구,"449,965","449,965",100,…,…,…,"67,237"
2002,중랑구,"443,246","443,246",100,…,…,0...,"63,839"
2003,중랑구,"438,011","438,011",100,…,…,0...,"70,942"
2004,중랑구,"436,063","436,063",100,…,…,0...,0...
2005,중랑구,"429,922","429,922",100,…,…,…,"72,225"
2006,중랑구,"429,404","429,404",100,…,"109,397",255,"72,415"
2007,중랑구,"431,406","431,406",100,…,"116,806",271,"72,539"
2008,중랑구,"432,845","432,845",100,-,"112,858",261,"73,651"
2009,중랑구,"429,700","429,700",100,-,"115,224",268,"74,147"
2010,중랑구,"432,302","432,302",100,-,"115,920",268,"73,009"
2011,중랑구,"428,672","428,672",100,-,"127,051",282,"76,073"
2012,중랑구,"423,655","423,655",100,-,"111,324",263,"78,449"
2013,중랑구,"421,237","421,237",100,-,"108,950",259,"80,587"
2014,중랑구,"423,411","423,411",100,-,"107,582",254,"82,103"
2015,중랑구,"418,620","418,620",100,-,"110,047",263,"85,690"
2016,중랑구,"415,677","415,677",100,-,"105,401",254,"90,305"
2017,중랑구,"412,780","412,780",100,-,"100,808",244,"94,770"
2018,중랑구,"408,147","408,147",100,-,"97,023",238,"97,853"
2019,중랑구,"402,024","402,024",100,-,"105,228",262,"100,775"
