Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,강남구,"39,550,000","20,585,873","645,874","645,874",-,"19,729,999","3,230,624","7,133,936","9,365,439","210,000","2,250,000","2,250,000",-,-,-,-,-,"16,714,126",-,"90,000","16,624,126",,,
2004,강남구,"39,549,999","20,701,991","761,992","761,992",-,"19,729,999","3,230,624","7,133,936","9,365,439","210,000","2,250,000","2,250,000",-,-,-,-,-,"16,598,008",-,"90,000","16,508,008",,,
2005,강남구,"39,550,000","20,701,991","761,992","761,992",-,"19,729,999","3,244,465","7,034,562","9,450,972","210,000","2,250,000","2,250,000",-,-,-,-,-,"16,598,008",-,"90,000","16,508,008",,,
2006,강남구,"39,550,000","20,915,063","766,476","766,476",-,"19,930,236","3,258,306","7,135,424","9,536,506","218,351","2,250,000","2,250,000",-,-,-,-,-,"16,384,937",-,"90,000","16,294,937",,,
2007,강남구,"39,550,000","20,915,063","766,476","766,476",-,"19,930,236","3,258,306","7,135,424","9,536,506","218,351","2,250,000","2,250,000",-,-,-,-,-,"16,384,937",-,"90,000","16,294,937",,,
2008,강남구,"39,550,000","20,915,063","766,476","766,476",-,"19,930,236","3,194,290","7,199,440","9,536,506","218,351","2,250,000","2,250,000",-,-,-,-,-,"16,384,937",-,"90,000","16,294,937",,,
2009,강남구,"39,550,000","20,915,063","766,476","766,476",-,"19,930,236","3,194,290","7,199,440","9,536,506","218,351","2,250,000","2,250,000",-,-,-,-,-,"16,384,937",-,"90,000","16,294,937",,,
2010,강남구,"39,550,000","21,450,224","769,395","769,395",-,"20,450,431","3,292,330","7,465,497","9,692,604","230,398","2,249,993","2,249,993",-,-,-,-,-,"15,849,783",-,"89,690","15,760,093",,,
2011,강남구,"39,550,000","22,016,574","767,454","767,454",-,"20,991,567","3,305,757","7,665,879","10,019,931","257,552","2,320,955","2,320,955",-,-,-,-,-,"15,212,471",-,"89,690","15,122,781",,,
2012,강남구,"39,550,000","22,016,574","767,454","767,454",-,"20,991,567","3,305,757","7,652,277","10,033,533","257,552","2,320,955","2,320,955",-,-,-,-,-,"15,212,471",-,"89,690","15,122,781",,,
2013,강남구,"39,550,000","22,018,551","738,241","738,241",-,"21,021,061","3,331,382","7,656,147","10,033,533","259,249","2,320,955","2,320,955",-,-,-,-,-,"15,210,494",-,"89,690","15,120,804",,,
2014,강남구,"39,550,000","22,021,525","739,220","739,220",-,"21,025,340","3,331,382","7,660,425","10,033,533","256,965","2,320,955","2,320,955",-,-,-,-,-,"15,207,520",-,"89,690","15,117,830",,,
2015,강남구,"39,497,268","24,001,240",,"614,211",-,,"3,483,398","5,126,819","11,075,609","243,034","1,676,116","1,676,116",-,-,-,-,-,"13,819,912",-,"263,088","13,556,824","614,211","23,143,995","3,458,169"
2016,강남구,"39,497,268","24,190,143",,"614,211",-,,"3,483,398","5,263,074","11,075,609","295,682","1,676,116","1,676,116",-,-,-,-,-,"13,631,009",-,"263,088","13,367,921","614,211","23,280,250","3,458,169"
2017,강남구,"39,497,268","24,188,974",,"614,211",-,,"3,483,398","5,263,074","11,072,490","297,632","1,677,285","1,677,285",-,-,-,-,-,"13,631,009",-,"263,088","13,367,921","614,211","23,277,131","3,458,169"
2018,강남구,"39,497,268","24,298,708",,"614,211",-,,"3,483,398","5,275,599","11,159,426","307,905","1,875,445","1,875,445",-,-,-,-,-,"13,323,115",-,"263,088","13,060,027","614,211","23,376,592","3,458,169"
2019,강남구,"39,497,268","24,228,249",,"614,211",-,,"3,483,398","5,274,280","11,088,091","310,099","1,946,139","1,946,139",-,-,-,-,-,"13,322,880",-,"263,088","13,059,792","614,211","23,303,938","3,458,169"
