Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,동대문구,"14,220,000","13,165,165",-,-,-,"12,815,165","2,936,509","6,157,250","3,721,406","350,000","934,835","856,648","60,000","18,187",-,-,-,"120,000",-,-,"120,000",,,
2004,동대문구,"14,220,000","13,165,165",-,-,-,"12,768,045","2,862,764","6,190,335","3,714,945","397,120","934,835","856,648","60,000","18,187",-,-,-,"120,000",-,-,"120,000",,,
2005,동대문구,"14,220,000","13,166,512",-,-,-,"12,811,479","2,808,971","6,217,182","3,785,326","355,033","933,488","856,648","58,653","18,187",-,-,-,"120,000",-,-,"120,000",,,
2006,동대문구,"14,220,000","13,145,340",-,-,-,"12,786,952","2,736,207","6,160,383","3,890,362","358,388","954,660","856,648","58,653","39,359",-,-,-,"120,000",-,-,"120,000",,,
2007,동대문구,"14,220,000","13,145,340",-,-,-,"12,786,952","2,701,078","6,161,989","3,923,885","358,388","954,660","856,648","58,653","39,359",-,-,-,"120,000",-,-,"120,000",,,
2008,동대문구,"14,220,000","13,145,451",-,-,-,"12,791,838","2,659,507","6,240,224","3,892,107","353,613","954,549","856,537","58,653","39,359",-,-,-,"120,000",-,-,"120,000",,,
2009,동대문구,"14,220,000","13,145,451",-,-,-,"12,792,233","2,659,507","6,240,619","3,892,107","353,218","954,549","856,537","58,653","39,359",-,-,-,"120,000",-,-,"120,000",,,
2010,동대문구,"14,220,000","13,144,756",-,-,-,"12,791,538","2,659,507","6,180,332","3,951,699","353,218","955,244","857,232","58,653","39,359",-,-,-,"120,000",-,-,"120,000",,,
2011,동대문구,"14,220,000","13,144,756",-,-,-,"12,767,415","2,659,507","6,106,014","4,001,894","377,341","955,244","857,232","58,653","39,359",-,-,-,"120,000",-,-,"120,000",,,
2012,동대문구,"14,220,000","13,126,636",-,-,-,"12,741,428","2,659,507","6,106,014","3,975,907","385,208","973,364","875,352","58,653","39,359",-,-,-,"120,000",-,-,"120,000",,,
2013,동대문구,"14,220,000","13,126,636",-,-,-,"12,741,428","2,659,507","6,117,725","3,964,196","385,208","973,364","875,352","58,653","39,359",-,-,-,"120,000",-,-,"120,000",,,
2014,동대문구,"14,220,000","13,131,709",-,-,-,"12,746,501","2,656,072","6,126,233","3,964,196","385,208","968,291","870,279","58,653","39,359",-,-,-,"120,000",-,-,"120,000",,,
2015,동대문구,"14,245,433","13,034,193",,-,-,,"2,702,669","2,357,920","3,864,108","552,315","828,159","745,441","62,456","20,262",-,-,-,"383,081",-,-,"383,081",-,"12,481,878","3,557,181"
2016,동대문구,"14,245,433","13,034,193",,-,-,,"2,702,669","2,353,513","3,868,820","556,837","828,159","745,441","62,456","20,262",-,-,-,"383,081",-,-,"383,081",-,"12,477,356","3,552,354"
2017,동대문구,"14,245,433","13,034,193",,-,-,,"2,702,669","2,358,058","3,868,820","556,837","828,159","745,441","62,456","20,262",-,-,-,"383,081",-,-,"383,081",-,"12,477,356","3,547,809"
2018,동대문구,"14,245,433","13,034,193",,-,-,,"2,702,669","2,358,058","3,874,786","550,871","828,159","745,441","62,456","20,262",-,-,-,"383,081",-,-,"383,081",-,"12,483,322","3,547,809"
2019,동대문구,"14,245,433","13,034,193",,-,-,,"2,702,669","2,355,085","3,874,786","554,193","828,159","745,441","62,456","20,262",-,-,-,"383,081",-,-,"383,081",-,"12,480,000","3,547,460"
