Year,sigName,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분,구분
Year,sigName,용도지역총합계,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,주거지역,상업지역,상업지역,상업지역,상업지역,상업지역,공업지역,공업지역,녹지지역,녹지지역,녹지지역,녹지지역,주거지역,주거지역,주거지역
Year,sigName,용도지역총합계,소계,전용주거지역,전용주거지역,전용주거지역,일반주거지역,일반주거지역,일반주거지역,일반주거지역,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역,일반주거지역,일반주거지역
Year,sigName,용도지역총합계,소계,전용주거지역 소계,제1종전용,제2종전용,일반주거지역 소계,제1종일반,제2종일반,제3종일반,준주거지역,소계,일반,근린,유통,중심,소계,준공업,소계,보전,생산,자연,전용주거지역 계,일반주거지역 계,제2종일반(7층이하)
2003,성북구,"24,550,000","16,892,641","930,000","930,000",-,"15,458,981","4,781,962","6,718,177","3,958,842","503,660","902,770","840,000","62,770",-,-,-,-,"6,754,590",-,-,"6,754,590",,,
2004,성북구,"24,551,540","16,848,385","930,000","930,000",-,"15,402,625","4,775,029","6,718,711","3,908,884","515,760","901,153","838,383","62,770",-,-,-,-,"6,802,002",-,-,"6,802,002",,,
2005,성북구,"24,554,321","16,898,579","930,000","930,000",-,"15,455,479","4,781,962","6,722,498","3,951,019","513,100","901,153","838,383","62,770",-,-,-,-,"6,754,590",-,-,"6,754,590",,,
2006,성북구,"24,550,000","17,087,987","1,075,546","1,075,546",-,"15,499,341","4,948,138","6,600,184","3,951,019","513,100","901,153","838,383","62,770",-,-,-,-,"6,560,860",-,-,"6,560,860",,,
2007,성북구,"24,550,000","17,087,987","1,075,546","1,075,546",-,"15,499,341","4,938,652","6,611,891","3,948,798","513,100","901,153","838,383","62,770",-,-,-,-,"6,560,860",-,-,"6,560,860",,,
2008,성북구,"24,550,000","17,084,539","1,074,890","1,074,890",-,"15,484,853","4,804,261","6,722,824","3,957,768","524,796","901,153","838,383","62,770",-,-,-,-,"6,564,308",-,-,"6,564,308",,,
2009,성북구,"24,550,000","17,084,539","1,074,890","1,074,890",-,"15,484,853","4,803,778","6,730,542","3,950,533","524,796","901,153","838,383","62,770",-,-,-,-,"6,564,308",-,-,"6,564,308",,,
2010,성북구,"24,550,000","17,084,539","1,074,890","1,074,890",-,"15,478,462","4,801,148","6,728,321","3,948,993","531,187","901,153","838,383","62,770",-,-,-,-,"6,564,308",-,-,"6,564,308",,,
2011,성북구,"24,550,000","17,084,539","1,074,890","1,074,890",-,"15,457,823","4,775,977","6,653,726","4,028,121","551,826","901,153","838,383","62,770",-,-,-,-,"6,564,308",-,-,"6,564,308",,,
2012,성북구,"24,550,000","17,084,539","1,074,890","1,074,890",-,"15,457,823","4,775,977","6,653,726","4,028,121","551,826","901,153","838,383","62,770",-,-,-,-,"6,564,308",-,-,"6,564,308",,,
2013,성북구,"24,550,000","17,084,539","1,074,890","1,074,890",-,"15,457,823","4,745,176","6,684,527","4,028,121","551,826","901,153","838,383","62,770",-,-,-,-,"6,564,308",-,-,"6,564,308",,,
2014,성북구,"24,550,000","17,084,539","1,074,890","1,074,890",-,"15,457,823","4,749,081","6,666,673","4,042,069","551,826","901,153","838,383","62,770",-,-,-,-,"6,564,308",-,-,"6,564,308",,,
2015,성북구,"24,621,422","17,791,331",,"974,866",-,,"5,071,896","2,954,040","4,205,069","562,332","397,229","332,833","64,396",-,-,-,-,"6,432,862",-,-,"6,432,862","974,866","16,254,133","4,023,128"
2016,성북구,"24,621,422","17,791,331",,"974,866",-,,"5,071,896","2,954,040","4,205,069","562,332","397,229","332,833","64,396",-,-,-,-,"6,432,862",-,-,"6,432,862","974,866","16,254,133","4,023,128"
2017,성북구,"24,621,422","17,791,331",,"974,866",-,,"5,142,914","2,575,388","4,186,476","562,332","397,229","332,833","64,396",-,-,-,-,"6,432,862",-,-,"6,432,862","974,866","16,254,133","4,349,355"
2018,성북구,"24,621,422","17,791,331",,"974,866",-,,"5,145,544","2,572,758","4,186,476","562,332","397,229","332,833","64,396",-,-,-,-,"6,432,862",-,-,"6,432,862","974,866","16,254,133","4,349,355"
2019,성북구,"24,621,422","17,829,600",,"990,658",-,,"5,166,205","2,575,510","4,186,476","562,332","397,229","332,833","64,396",-,-,-,-,"6,394,593",-,-,"6,394,593","990,658","16,276,610","4,348,419"
