"('Year', 'Year')","('sigName', 'sigName')","('토지현황(지목별)', '합계')","('토지현황(지목별)', '전')","('토지현황(지목별)', '답')","('토지현황(지목별)', '과수원')","('토지현황(지목별)', '목장용지')","('토지현황(지목별)', '임야')","('토지현황(지목별)', '대지')","('토지현황(지목별)', '공장용지')","('토지현황(지목별)', '학교용지')","('토지현황(지목별)', '도로')","('토지현황(지목별)', '철도용지')","('토지현황(지목별)', '하천')","('토지현황(지목별)', '제방')","('토지현황(지목별)', '구거')","('토지현황(지목별)', '유지')","('토지현황(지목별)', '수도용지')","('토지현황(지목별)', '공원')","('토지현황(지목별)', '체육용지')","('토지현황(지목별)', '유원지')","('토지현황(지목별)', '종교용지')","('토지현황(지목별)', '사적지')","('토지현황(지목별)', '묘지')","('토지현황(지목별)', '잡종지')","('토지현황(지목별)', '기타')","('토지현황(지목별)', '주차장')","('토지현황(지목별)', '주유소용지')","('토지현황(지목별)', '창고용지')","('토지현황(지목별)', '광천지')"
1990,중구,"9,987,402.0","2,335.0",-,-,-,"1,479,973.0","5,493,725.0",-,"400,521.0","1,865,558.0","118,505.0","57,234.0",-,"52,052.0",-,"32,611.0","245,806.0","89,804.0",-,"107,561.0","8,058.0","14,366.0","19,293.0",-,-,-,-,-
1991,중구,"9,987,308.0","2,335.0",-,-,-,"1,479,676.0","5,469,892.0",-,"400,383.0","1,884,471.0","118,215.0","60,237.0",-,"51,622.0",-,"32,611.0","245,806.0","89,804.0",-,"110,272.0","8,058.0","14,366.0","19,560.0",-,-,-,-,-
1992,중구,"9,986,795.2","2,335.4",-,-,-,"1,469,575.5","5,482,717.8",-,"386,340.1","1,889,286.8","118,215.3","60,237.2",-,"51,621.1",-,"32,610.9","245,805.6","99,905.0",-,"105,639.8","8,057.7","14,362.5","20,084.5",-,-,-,-,-
1993,중구,"9,987,618.9",-,-,-,-,"1,475,691.5","5,470,028.8",-,"386,120.2","1,910,700.0","118,215.3","60,169.9",-,"51,498.7",-,"33,568.9","245,805.6","97,111.7",-,"109,506.8","8,057.7",-,"21,143.8",-,-,-,-,-
1994,중구,"9,972,966.1",-,-,-,-,"1,451,739.0","5,425,537.2",-,"366,902.1","1,944,330.9","127,092.3","47,152.1",-,"49,479.9",-,"32,510.4","287,855.6","97,178.6",-,"111,933.6","8,057.7",-,"23,196.7",-,-,-,-,-
1995,중구,"9,971,610.1",-,-,-,-,"1,451,739.0","5,418,524.6",-,"366,430.4","1,947,709.4","127,092.3","47,152.1",-,"48,231.9",-,"32,510.4","288,671.7","97,351.6",-,"114,879.5","8,057.7",-,"23,259.5",-,-,-,-,-
1996,중구,"9,969,748.1",-,-,-,-,"1,451,739.0","5,399,618.6",-,"366,430.4","1,965,946.9","127,092.3","47,152.1",-,"47,475.7",-,"32,510.4","288,671.7","97,351.6",-,"114,457.0","8,057.7",-,"23,244.7",-,-,-,-,-
1997,중구,"9,969,647.5",-,-,-,-,"1,451,546.0","5,367,765.9",-,"362,454.5","2,031,505.3","127,098.9","37,473.3",-,"16,368.8",-,"31,909.0","301,194.4","97,351.6",-,"115,136.1","8,521.3",-,"21,322.4",-,-,-,-,-
1998,중구,"9,969,605.6",-,-,-,-,"1,450,068.2","5,378,843.1",-,"362,454.5","2,029,496.7","127,098.9","29,530.4",-,"15,794.7",-,"31,909.0","302,337.8","97,351.6",-,"115,136.1","8,521.3",-,"21,063.3",-,-,-,-,-
1999,중구,"9,963,913.3",-,-,-,-,"1,431,649.1","5,373,753.3",-,"380,566.7","2,038,039.3","127,098.9","29,530.4",-,"15,717.7",-,"30,456.0","294,832.3","97,351.6",-,"114,767.7","8,521.3",-,"21,629.0",-,-,-,-,-
2000,중구,"9,963,097.6",-,-,-,-,"1,426,515.0","5,364,505.8",-,"388,079.5","2,043,375.9","127,098.9","29,530.4",-,"15,717.7",-,"30,719.8","300,404.6","97,351.6",-,"109,648.1","8,521.3",-,"21,629.0",-,-,-,-,-
2001,중구,"9,961,930.7",-,-,-,-,"1,423,382.4","5,357,817.1",-,"387,978.5","2,047,443.0","123,747.2","29,530.4",-,"15,717.7",-,"30,719.8","308,146.0","97,351.6",-,"109,946.7","8,521.3",-,"21,629.0",-,-,-,-,-
