Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,강남구,31,"5,801",6,"2,649",7,"1,450",7,732,3,203,4,222,3,265,1,280,-,-,-,-,-,-,-,…,…,…,,,,,,,,,,,,,,,,,,,,,
2009,강남구,31,"5,901",6,"2,649",7,"1,450",7,832,3,203,4,222,3,265,1,280,77.3,83.4,72.8,82.9,42.8,-,86.7,"440,974","196,525","244,449",,,,,,,,,,,,,,,,,,,,,
2010,강남구,32,"6,070",6,"2,649",7,"1,450",7,832,3,203,4,222,4,434,1,280,83.7,80.5,86.1,36.6,34,76.1,91.9,"522,198","252,092","270,106",,,,,,,,,,,,,,,,,,,,,
2011,강남구,33,"6,182",7,"2,978",7,"1,384",7,832,5,279,3,164,3,265,1,280,83.1,84.6,70,66.5,54.1,75.7,91.4,"569,882","278,733","291,149",,,,,,,,,,,,,,,,,,,,,
2012,강남구,35,"6,474",7,"2,995",7,"1,403",7,922,5,297,4,222,4,355,1,280,79.4,84.4,78.1,73.1,47.1,40.7,90.7,"584,853","294,092","290,761",-,-,,,,,,,,,,,,,,,,,,,
2013,강남구,37,"6,548",7,"2,965",7,"1,403",9,"1,026",5,297,3,168,5,409,1,280,75.3,81.1,84.7,77.2,73.7,-,85.5,"464,273","233,765","230,508",-,-,,,,,,,,,,,,,,,,,,,
2014,강남구,40,"7,091",7,"2,965",7,"1,403",9,"1,026",5,297,3,168,8,952,1,280,74.7,82.8,78.7,79.1,-,-,-,"398,049","187,596","210,453",-,-,,,,,,,,,,,,,,,,,,,
2015,강남구,50,"7,818",7,"2,965",9,"1,897",11,"1,332",7,403,3,168,10,750,1,280,71.4,73.1,61.2,54.8,-,-,-,"288,770","130,879","157,891",2,23,,,,,,,,,,,,,,,,,,,
2016,강남구,60,"8,650",6,"2,561",9,"1,998",10,"1,259",7,410,4,198,16,"1,739",2,385,77.8,80.2,78.4,81.7,81.7,52.3,92.2,"411,310","237,000","174,310",6,100,,,,,,,,,,,,,,,,,,,
2017,강남구,64,"8,948",,,,,,,,,,,13,"2,173",2,385,,,,,,57.3,78.8,"423,677","245,628","178,050",6,115,4,"1,694",7,"1,598",14,"1,961",10,639,7,355,1,28,74.9,73.5,67.6,74.1,76.5,-,193.1
2018,강남구,68,"9,504",,,,,,,,,,,11,"1,351",2,385,,,,,,55.3,88.3,"485,764","286,488","199,276",2,56,4,"1,694",8,"2,118",17,"2,652",10,635,8,406,6,207,74.3,75.4,75.7,65.5,70.8,-,-
2019,강남구,70,"9,900",,,,,,,,,,,12,"1,255",3,415,,,,,,67.3,…,"482,227","199,278","282,950",6,234,5,"2,098",7,"1,844",20,"3,088",8,561,7,349,2,56,79.1,80.8,78.1,73.3,76,41.7,…
