Year,sigName,합계,합계,특 1등급,특 1등급,특 2등급,특 2등급,1등급,1등급,2등급,2등급,3등급,3등급,등급미정,등급미정,가족호텔,가족호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,수입실적,수입실적,수입실적,호스텔,호스텔,5성급,5성급,4성급,4성급,3성급,3성급,2성급,2성급,1성급,1성급,소형호텔,소형호텔,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률,객실이용률
Year,sigName,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,특 1등급,특 2등급,1등급,2등급,3등급,등급미정,가족호텔,합계,객실,부대시설,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,호텔수,객실수,5성급(특1급),4성급(특2급),3성급(1등급),2성급(2등급),1성급(3등급),호스텔,소형호텔
2008,노원구,1,85,-,-,-,-,1,85,-,-,-,-,-,-,-,-,-,-,58.4,-,-,-,-,"1,500","1,149",351,,,,,,,,,,,,,,,,,,,,,
2009,노원구,1,85,-,-,-,-,1,85,-,-,-,-,-,-,-,-,-,-,78.3,-,-,-,-,"1,817","1,556",261,,,,,,,,,,,,,,,,,,,,,
2010,노원구,1,85,-,-,-,-,1,85,-,-,-,-,-,-,-,-,-,-,78.3,-,-,-,-,"1,735","1,541",194,,,,,,,,,,,,,,,,,,,,,
2011,노원구,1,85,-,-,-,-,1,85,-,-,-,-,-,-,-,-,-,-,78.3,-,-,-,-,"1,735","1,541",194,,,,,,,,,,,,,,,,,,,,,
2012,노원구,1,85,-,-,-,-,1,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
2013,노원구,1,84,-,-,-,-,1,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
2014,노원구,2,134,-,-,-,-,2,134,-,-,-,-,-,-,-,-,-,-,78,-,-,45.7,-,769,769,-,-,-,,,,,,,,,,,,,,,,,,,
2015,노원구,1,84,-,-,-,-,1,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
2016,노원구,1,84,-,-,-,-,1,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,
2017,노원구,1,84,,,,,,,,,,,1,84,-,-,,,,,,49.8,-,815,815,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,노원구,1,84,,,,,,,,,,,-,-,-,-,,,,,,-,-,987,987,-,-,-,-,-,-,-,-,-,-,-,1,84,-,-,-,-,-,65.6,-,-,-
2019,노원구,1,84,,,,,,,,,,,-,-,-,-,,,,,,…,…,"1,313","1,244",69,-,-,-,-,-,-,-,-,1,84,-,-,-,-,…,…,…,85.1,…,…,…
