"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
2014,합계,344,…,…,19,109,216
2014,종로구,141,…,…,1,25,115
2014,중구,29,…,…,2,16,11
2014,용산구,7,…,…,2,3,2
2014,성동구,3,…,…,-,2,1
2014,광진구,15,…,…,3,8,4
2014,동대문구,-,…,…,-,-,-
2014,중랑구,1,…,…,-,1,-
2014,성북구,6,…,…,-,2,4
2014,강북구,3,…,…,-,2,1
2014,도봉구,3,…,…,-,1,2
2014,노원구,4,…,…,1,1,2
2014,은평구,1,…,…,-,1,-
2014,서대문구,6,…,…,-,3,3
2014,마포구,29,…,…,-,4,25
2014,양천구,5,…,…,-,4,1
2014,강서구,1,…,…,-,1,-
2014,구로구,6,…,…,1,3,2
2014,금천구,4,…,…,-,2,2
2014,영등포구,8,…,…,1,6,1
2014,동작구,1,…,…,-,1,-
2014,관악구,1,…,…,-,1,-
2014,서초구,22,…,…,3,9,10
2014,강남구,29,…,…,2,6,21
2014,송파구,14,…,…,3,5,6
2014,강동구,5,…,…,-,2,3
