"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,강서구,-,…,…,-,-,-
1994,강서구,-,…,…,-,-,-
1995,강서구,-,…,…,-,-,-
1996,강서구,-,…,…,-,-,-
1997,강서구,1,…,…,-,-,1
1999,강서구,1,…,…,-,-,1
2000,강서구,1,…,…,-,-,1
2001,강서구,1,…,…,-,1,-
2002,강서구,-,…,…,-,-,-
2003,강서구,1,…,…,-,1,-
2004,강서구,1,1,-,-,1,-
2005,강서구,1,1,-,-,1,-
2006,강서구,1,1,-,-,1,-
2007,강서구,1,1,-,-,1,-
2008,강서구,1,1,-,-,1,-
2009,강서구,1,1,-,-,1,-
2010,강서구,1,1,-,-,1,-
2011,강서구,1,1,-,-,1,-
2012,강서구,1,1,-,-,1,-
2013,강서구,1,1,-,-,1,-
2014,강서구,1,…,…,-,1,-
2015,강서구,1,…,…,-,1,-
2016,강서구,2,1,1,-,1,1
2017,강서구,2,1,1,-,1,1
2018,강서구,2,1,1,-,1,1
2019,강서구,1,1,-,-,1,-
