"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,중구,8,…,…,2,2,4
1994,중구,8,…,…,2,2,4
1995,중구,8,…,…,2,2,4
1996,중구,9,…,…,2,4,3
1997,중구,10,…,…,2,5,3
1999,중구,10,…,…,2,5,3
2000,중구,10,…,…,1,6,3
2001,중구,12,…,…,1,7,4
2002,중구,15,…,…,1,9,5
2003,중구,16,…,…,1,8,7
2004,중구,17,5,12,1,11,5
2005,중구,19,7,12,1,13,5
2006,중구,20,8,12,1,14,5
2007,중구,21,9,12,2,14,5
2008,중구,22,9,13,2,15,5
2009,중구,28,12,16,2,18,8
2010,중구,27,12,15,2,18,7
2011,중구,28,13,15,2,19,7
2012,중구,29,13,16,2,18,9
2013,중구,30,12,18,2,17,11
2014,중구,29,…,…,2,16,11
2015,중구,34,…,…,2,21,11
2016,중구,27,10,17,2,18,7
2017,중구,29,11,18,2,20,7
2018,중구,28,12,16,2,18,8
2019,중구,30,14,16,2,18,10
