"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
1993,중랑구,-,…,…,-,-,-
1994,중랑구,-,…,…,-,-,-
1995,중랑구,-,…,…,-,-,-
1996,중랑구,-,…,…,-,-,-
1997,중랑구,-,…,…,-,-,-
1999,중랑구,1,…,…,-,-,1
2000,중랑구,2,…,…,-,1,1
2001,중랑구,1,…,…,-,1,-
2002,중랑구,1,…,…,-,1,-
2003,중랑구,1,…,…,-,1,-
2004,중랑구,1,1,-,-,1,-
2005,중랑구,1,1,-,-,1,-
2006,중랑구,1,1,-,-,1,-
2007,중랑구,1,1,-,-,1,-
2008,중랑구,1,-,1,-,1,-
2009,중랑구,1,1,-,-,1,-
2010,중랑구,1,1,-,-,1,-
2011,중랑구,1,1,-,-,1,-
2012,중랑구,1,1,-,-,1,-
2013,중랑구,1,1,-,-,1,-
2014,중랑구,1,…,…,-,1,-
2015,중랑구,1,…,…,-,1,-
2016,중랑구,1,1,-,-,1,-
2017,중랑구,1,1,-,-,1,-
2018,중랑구,1,1,-,-,1,-
2019,중랑구,1,1,-,-,1,-
