"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2012,서울시,23.7,-,-,-
2012,종로구,22.7,5.4,72,23.1
2012,중구,20.9,6.1,73,22.8
2012,용산구,27.7,4.9,67.5,23.1
2012,성동구,21.7,6.7,71.6,22.8
2012,광진구,21.3,6.5,72.2,22.9
2012,동대문구,27.4,4.2,68.4,23.3
2012,중랑구,24.9,5.3,69.8,23.2
2012,성북구,26.6,5.3,68.1,23.1
2012,강북구,23.8,6.7,69.5,23
2012,도봉구,25.1,5.5,69.4,23.1
2012,노원구,25.3,5.1,69.6,23.1
2012,은평구,21.4,6,72.6,22.8
2012,서대문구,25.7,6.5,67.8,23.1
2012,마포구,23.3,5.4,71.3,23
2012,양천구,24.3,4.8,70.9,23.1
2012,강서구,24.5,6.4,69.1,23
2012,구로구,22.2,5.4,72.4,23
2012,금천구,25.7,5.1,69.2,23.1
2012,영등포구,22.3,6.8,70.9,22.9
2012,동작구,23.7,5.6,70.7,23
2012,관악구,23.2,7.1,69.7,23
2012,서초구,20.9,7,72.1,22.7
2012,강남구,19.2,9.4,71.4,22.4
2012,송파구,24.6,5.6,69.8,22.9
2012,강동구,23.8,4.6,71.6,22.9
