"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,서대문구,19.5,7,73.5,22.6
2010,서대문구,22.6,5.1,72.3,22.9
2011,서대문구,25.6,6.3,68.1,23.2
2012,서대문구,25.7,6.5,67.8,23.1
2013,서대문구,26.1,5.7,68.2,23.2
2014,서대문구,24.6,4.5,71,23.1
2015,서대문구,23.5,5.7,70.8,23.1
2016,서대문구,23.6,4.9,71.5,23
2017,서대문구,27,6,67.1,23.2
2018,서대문구,30,8.1,61.9,23.2
2019,서대문구,31.6,7.2,61.2,23.6
