"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,양천구,25.4,5.9,68.7,23
2010,양천구,19.4,7.1,73.5,22.7
2011,양천구,23.1,4.5,72.4,23.1
2012,양천구,24.3,4.8,70.9,23.1
2013,양천구,24.4,5.8,69.9,22.9
2014,양천구,21.8,7,71.2,22.8
2015,양천구,23.1,6.1,70.8,22.9
2016,양천구,26.2,5.2,68.7,23.1
2017,양천구,26,5.7,68.3,23.2
2018,양천구,31,3.4,65.6,23.8
2019,양천구,34.2,5.1,60.7,23.8
