"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('비만도', '비만도 분포', '비만(BMI≥25)')","('비만도', '비만도 분포', '저체중(BMI<18.5)')","('비만도', '비만도 분포', '정상(18.5≤BMI＜25)')","('비만도', '체질량지수(BMI)(평균)', '체질량지수(BMI)(평균)')"
2009,영등포구,19.2,5.9,74.9,22.6
2010,영등포구,22.6,6.2,71.3,23
2011,영등포구,22.6,8.3,69.1,22.8
2012,영등포구,22.3,6.8,70.9,22.9
2013,영등포구,19.5,5.6,74.9,22.8
2014,영등포구,21.9,4.7,73.4,23
2015,영등포구,26.6,5.2,68.2,23.1
2016,영등포구,24.6,4.7,70.7,23.1
2017,영등포구,27.3,6.3,66.5,23.2
2018,영등포구,34.5,3.7,61.8,24
2019,영등포구,34.3,4.9,60.8,23.8
