Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1992,서울시,"8,461",…,66,"26,018",88,"4,530","3,930",…,-,-,"2,447",…,-,-,"1,881",…,-,-,44,…,5,"2,495",,,,,,,,,,
1992,종로구,573,…,5,"3,130",3,180,186,…,-,-,154,…,-,-,225,…,-,-,-,…,-,-,,,,,,,,,,
1992,중구,425,…,6,"2,076",2,56,176,…,-,-,176,…,-,-,64,…,-,-,1,…,-,-,,,,,,,,,,
1992,용산구,228,…,4,"1,298",3,88,104,…,-,-,75,…,-,-,39,…,-,-,3,…,-,-,,,,,,,,,,
1992,성동구,490,…,6,"2,206",6,315,259,…,-,-,142,…,-,-,74,…,-,-,2,…,1,930,,,,,,,,,,
1992,동대문구,715,…,6,"2,398",3,109,196,…,-,-,93,…,-,-,410,…,-,-,6,…,1,500,,,,,,,,,,
1992,중랑구,244,…,2,596,3,105,131,…,-,-,72,…,-,-,35,…,-,-,1,…,-,-,,,,,,,,,,
1992,성북구,365,…,1,"1,050",7,293,186,…,-,-,96,…,-,-,70,…,-,-,4,…,1,50,,,,,,,,,,
1992,도봉구,395,…,3,861,3,113,213,…,-,-,109,…,-,-,64,…,-,-,3,…,-,-,,,,,,,,,,
1992,노원구,261,…,2,"1,005",-,-,140,…,-,-,81,…,-,-,38,…,-,-,-,…,-,-,,,,,,,,,,
1992,은평구,289,…,2,319,3,206,148,…,-,-,81,…,-,-,53,…,-,-,-,…,2,"1,015",,,,,,,,,,
1992,서대문구,284,…,2,"1,570",4,250,134,…,-,-,81,…,-,-,62,…,-,-,1,…,-,-,,,,,,,,,,
1992,마포구,286,…,-,-,4,195,149,…,-,-,77,…,-,-,55,…,-,-,1,…,-,-,,,,,,,,,,
1992,양천구,271,…,1,85,5,354,124,…,-,-,92,…,-,-,46,…,-,-,3,…,-,-,,,,,,,,,,
1992,강서구,239,…,-,-,6,280,131,…,-,-,60,…,-,-,42,…,-,-,-,…,-,-,,,,,,,,,,
1992,구로구,386,…,2,720,5,243,204,…,-,-,107,…,-,-,60,…,-,-,8,…,-,-,,,,,,,,,,
1992,영등포구,408,…,9,"2,667",6,346,177,…,-,-,119,…,-,-,95,…,-,-,2,…,-,-,,,,,,,,,,
1992,동작구,281,…,1,405,2,105,142,…,-,-,73,…,-,-,60,…,-,-,3,…,-,-,,,,,,,,,,
1992,관악구,341,…,-,-,7,359,181,…,-,-,87,…,-,-,62,…,-,-,4,…,-,-,,,,,,,,,,
1992,서초구,453,…,1,834,2,310,209,…,-,-,169,…,-,-,72,…,-,-,-,…,-,-,,,,,,,,,,
1992,강남구,674,…,3,"1,139",11,481,303,…,-,-,239,…,-,-,118,…,-,-,-,…,-,-,,,,,,,,,,
1992,송파구,484,…,4,"1,676",1,21,242,…,-,-,154,…,-,-,82,…,-,-,1,…,-,-,,,,,,,,,,
1992,강동구,369,…,6,"1,983",2,121,195,…,-,-,110,…,-,-,55,…,-,-,1,…,-,-,,,,,,,,,,
