Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,성북구,306,…,1,…,2,…,166,…,-,…,-,…,58,…,1,…,67,-,11,…,-,-,,,,,,,,,,
1981,성북구,302,…,1,150,3,125,162,…,-,-,56,…,-,-,68,…,-,-,12,…,-,…,,,,,,,,,,
1982,성북구,294,…,1,150,4,169,156,…,-,-,57,…,-,-,63,…,-,-,13,…,-,…,,,,,,,,,,
1983,성북구,282,…,1,80,4,146,154,…,-,-,48,…,-,-,62,…,-,-,13,…,-,…,,,,,,,,,,
1984,성북구,292,…,1,80,5,159,156,…,-,-,55,…,-,-,63,…,-,-,12,…,-,…,,,,,,,,,,
1985,성북구,298,…,-,-,7,298,162,…,-,-,60,…,-,-,56,…,-,-,13,-,-,…,,,,,,,,,,
1986,성북구,304,…,-,-,7,277,167,…,-,-,62,…,-,-,56,…,-,-,12,…,-,…,,,,,,,,,,
1987,성북구,309,…,-,-,5,220,173,…,-,-,63,…,-,-,58,…,-,-,10,…,-,…,,,,,,,,,,
1988,성북구,320,…,-,-,7,277,177,…,-,-,63,…,-,-,64,…,-,-,9,…,-,…,,,,,,,,,,
1989,성북구,326,…,-,-,7,277,174,…,-,-,69,…,-,-,68,…,-,-,8,…,-,…,,,,,,,,,,
1990,성북구,332,…,-,-,7,293,179,…,-,-,75,…,-,-,66,…,-,-,5,…,-,…,,,,,,,,,,
1991,성북구,353,…,1,"1,050",7,293,186,-,-,-,88,…,-,-,66,…,-,-,5,…,-,…,,,,,,,,,,
1992,성북구,365,…,1,"1,050",7,293,186,…,-,-,96,…,-,-,70,…,-,-,4,…,1,50,,,,,,,,,,
1993,성북구,370,"1,972",1,"1,050",7,431,188,393,-,-,101,-,-,-,71,18,-,-,1,1,1,79,,,,,,,,,,
1994,성북구,378,"2,030",1,"1,050",8,507,192,393,-,-,102,-,-,-,73,-,-,-,1,1,1,79,,,,,,,,,,
1995,성북구,391,"1,719",1,800,6,415,190,425,-,-,109,-,-,-,83,-,-,-,1,-,1,79,,,,,,,,,,
1996,성북구,393,"2,115",1,"1,050",6,419,196,510,-,-,104,-,-,-,84,57,-,-,1,-,1,79,,,,,,,,,,
1997,성북구,395,"2,323",1,"1,050",5,370,197,653,-,-,106,-,-,-,84,85,-,-,1,1,1,164,,,,,,,,,,
1998,성북구,399,"2,220",1,800,5,619,197,579,-,-,112,-,-,-,82,57,-,-,1,1,1,164,,,,,,,,,,
1999,성북구,403,"2,118",1,800,6,629,206,631,-,-,113,-,-,-,76,57,-,-,1,1,-,-,,,,,,,,,,
2000,성북구,411,"2,191",1,815,5,479,215,640,-,-,113,-,-,-,76,57,-,-,-,-,1,200,,,,,,,,,,
2001,성북구,421,"2,228",1,815,5,490,226,672,-,-,112,-,-,-,76,51,-,-,-,-,1,200,,,,,,,,,,
2002,성북구,451,"2,353",1,806,6,520,241,766,-,-,115,-,-,-,87,61,-,-,-,-,1,200,,,,,,,,,,
2003,성북구,455,"2,365",1,806,6,515,241,783,-,-,119,-,-,-,87,61,-,-,-,-,1,200,,,,,,,,,,
2004,성북구,469,"2,312",1,806,6,487,243,758,-,-,128,-,-,-,1,61,89,-,-,-,1,200,,,,,,,,,,
2005,성북구,489,"2,572",1,806,7,711,256,794,-,-,129,-,-,-,1,61,94,-,-,-,1,200,,,,,,,,,,
2006,성북구,512,"2,842",1,938,8,669,262,827,1,147,2,-,133,-,1,61,103,-,-,-,1,200,,,,,,,,,,
2007,성북구,502,"2,882",1,946,6,510,253,810,3,371,2,-,131,-,1,40,104,5,-,-,1,200,,,,,,,,,,
2008,성북구,526,"2,681",1,946,6,526,263,772,3,391,2,-,139,-,1,41,111,5,-,-,-,-,,,,,,,,,,
2009,성북구,525,"2,617",1,948,6,526,257,710,3,392,2,-,145,-,1,41,110,-,-,-,-,-,,,,,,,,,,
2010,성북구,552,"2,572",1,943,6,496,271,675,3,417,2,-,154,-,1,41,114,-,,,,,-,-,-,-,-,-,-,-,-,-
2011,성북구,556,"3,003",1,959,5,438,271,675,5,654,2,-,156,-,1,41,114,-,,,,,-,-,1,236,-,-,-,-,-,-
2012,성북구,553,"3,281",1,959,5,414,266,634,6,949,2,-,151,-,1,41,120,50,,,,,-,-,1,234,-,-,-,-,-,-
2013,성북구,554,"3,424",1,977,5,443,267,763,6,978,1,-,150,-,-,-,123,29,,,,,-,-,1,234,-,-,-,-,-,-
2014,성북구,541,"3,364",1,"1,051",5,414,255,649,6,976,1,-,151,-,-,-,121,41,,,,,-,-,1,233,-,-,-,-,-,-
2015,성북구,529,"3,070",1,"1,051",4,384,248,482,5,908,1,-,148,-,-,-,121,12,,,,,-,-,1,233,-,-,-,-,-,-
2016,성북구,527,"3,050",1,"1,051",5,414,248,431,5,912,1,-,150,-,-,-,115,9,,,,,1,-,1,233,-,-,-,-,-,-
2017,성북구,525,"3,126",1,"1,051",6,471,245,451,5,919,1,-,150,-,-,-,115,1,,,,,1,-,1,233,-,-,-,-,-,-
2018,성북구,530,"3,402",1,"1,048",7,511,251,451,6,"1,161",1,-,150,-,-,-,112,1,,,,,1,-,1,230,-,-,-,-,-,-
2019,성북구,528,"3,499",1,"1,032",6,524,250,409,6,"1,309",1,-,149,-,-,-,113,1,,,,,1,-,1,224,-,-,-,-,-,-
