Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1980,중구,470,…,7,…,6,…,205,…,-,…,-,…,177,…,-,…,75,-,-,…,-,-,,,,,,,,,,
1981,중구,463,…,7,"1,865",6,473,203,…,-,-,174,…,-,-,73,…,-,-,-,…,-,…,,,,,,,,,,
1982,중구,451,…,7,"2,004",6,373,196,…,-,-,168,…,-,-,74,…,-,-,-,…,-,…,,,,,,,,,,
1983,중구,437,…,8,"2,214",6,432,184,…,-,-,166,…,-,-,71,…,-,-,2,…,-,…,,,,,,,,,,
1984,중구,413,…,9,"2,425",4,365,186,…,-,-,151,…,-,-,62,…,-,-,1,…,-,…,,,,,,,,,,
1985,중구,417,…,8,"1,261",4,287,187,…,-,-,153,…,-,-,64,…,-,-,1,-,-,…,,,,,,,,,,
1986,중구,408,…,7,"2,099",3,78,189,…,-,-,149,…,-,-,60,…,-,-,-,…,-,…,,,,,,,,,,
1987,중구,403,…,7,"2,099",3,78,188,…,-,-,141,…,-,-,63,…,-,-,1,…,-,…,,,,,,,,,,
1988,중구,411,…,6,"1,941",3,78,188,…,-,-,150,…,-,-,63,…,-,-,1,…,-,…,,,,,,,,,,
1989,중구,414,…,6,"1,941",3,78,187,…,-,-,156,…,-,-,61,…,-,-,1,…,-,…,,,,,,,,,,
1990,중구,405,…,6,"2,076",2,56,177,…,-,-,159,…,-,-,60,…,-,-,1,…,-,…,,,,,,,,,,
1991,중구,403,…,6,"2,076",2,56,173,-,-,-,159,…,-,-,62,…,-,-,1,…,-,…,,,,,,,,,,
1992,중구,425,…,6,"2,076",2,56,176,…,-,-,176,…,-,-,64,…,-,-,1,…,-,-,,,,,,,,,,
1993,중구,436,"2,406",6,"2,242",1,24,183,140,-,-,181,-,-,-,65,-,-,-,-,-,-,-,,,,,,,,,,
1994,중구,424,"2,499",5,"2,135",3,173,172,140,-,-,185,-,-,-,59,51,-,-,-,-,-,-,,,,,,,,,,
1995,중구,428,"2,396",5,"2,043",3,191,169,140,-,-,194,-,-,-,57,22,-,-,-,-,-,-,,,,,,,,,,
1996,중구,410,"2,452",5,"2,043",4,223,159,135,-,-,189,-,-,-,53,51,-,-,-,-,-,-,,,,,,,,,,
1997,중구,420,"2,275",4,"1,939",2,201,162,135,-,-,204,-,-,-,48,-,-,-,-,-,-,-,,,,,,,,,,
1998,중구,424,"2,255",4,"1,913",2,195,159,135,-,-,203,-,-,-,56,12,-,-,-,-,-,-,,,,,,,,,,
1999,중구,424,"2,246",4,"1,910",2,201,164,135,-,-,207,-,-,-,47,-,-,-,-,-,-,-,,,,,,,,,,
2000,중구,454,"2,281",4,"1,915",2,219,176,147,-,-,216,-,-,-,56,-,-,-,-,-,-,-,,,,,,,,,,
2001,중구,467,"2,228",4,"1,776",2,239,186,213,-,-,216,-,-,-,59,-,-,-,-,-,-,-,,,,,,,,,,
2002,중구,482,"2,106",4,"1,670",2,213,187,223,-,-,223,-,-,-,66,-,-,-,-,-,-,-,,,,,,,,,,
2003,중구,478,"2,096",4,"1,670",2,213,189,213,-,-,220,-,-,-,63,-,-,-,-,-,-,-,,,,,,,,,,
2004,중구,491,"1,766",3,"1,270",2,213,202,283,-,-,218,-,-,-,-,-,66,-,-,-,-,-,,,,,,,,,,
2005,중구,486,"1,714",3,"1,269",1,170,196,275,-,-,222,-,-,-,-,-,64,-,-,-,-,-,,,,,,,,,,
2006,중구,489,"1,698",3,"1,269",2,222,194,207,-,-,5,-,214,-,-,-,71,-,-,-,-,-,,,,,,,,,,
2007,중구,490,"1,652",3,"1,260",2,212,193,180,-,-,5,-,214,-,-,-,73,-,-,-,-,-,,,,,,,,,,
2008,중구,511,"1,666",3,"1,271",2,212,195,183,-,-,5,-,222,-,-,-,84,-,-,-,-,-,,,,,,,,,,
2009,중구,514,"1,673",3,"1,262",2,222,198,189,-,-,5,-,215,-,-,-,91,-,-,-,-,-,,,,,,,,,,
2010,중구,542,"1,730",3,"1,260",2,212,195,200,1,58,6,-,221,-,-,-,97,-,,,,,17,-,-,-,-,-,-,-,-,-
2011,중구,558,"1,665",3,"1,193",2,218,203,196,1,58,8,-,225,-,-,-,99,-,,,,,17,-,-,-,-,-,-,-,-,-
2012,중구,552,"1,657",3,"1,184",2,218,203,197,1,58,7,-,222,-,-,-,97,-,,,,,17,-,-,-,-,-,-,-,-,-
2013,중구,549,"1,620",3,"1,203",2,218,202,199,-,-,8,-,215,-,-,-,101,-,,,,,18,-,-,-,-,-,-,-,-,-
2014,중구,544,"1,580",3,"1,120",2,218,202,242,-,-,7,-,214,-,-,-,98,-,,,,,18,-,-,-,-,-,-,-,-,-
2015,중구,528,"1,570",3,"1,125",2,218,205,227,-,-,6,-,206,-,-,-,88,-,,,,,18,-,-,-,-,-,-,-,-,-
2016,중구,540,"1,621",3,"1,048",3,275,217,245,-,-,6,-,206,-,1,53,88,-,,,,,16,-,-,-,-,-,-,-,-,-
2017,중구,543,"1,533",3,"1,035",3,261,220,184,-,-,5,-,208,-,1,53,89,-,,,,,14,-,-,-,-,-,-,-,-,-
2018,중구,558,"1,473",3,974,3,261,232,185,-,-,6,-,208,-,1,53,93,-,,,,,12,-,-,-,-,-,-,-,-,-
2019,중구,560,"1,349",2,690,4,442,233,167,-,-,6,-,207,-,1,50,94,-,,,,,13,-,-,-,-,-,-,-,-,-
