"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1994,합계,"3,455,665","10,798,700","5,429,554","5,369,146","10,759,454","5,408,827","5,350,628","39,246","20,727","18,519","17,836",605.43,3.12,"453,369"
1994,종로구,"73,798","214,930","107,877","107,053","213,187","106,942","106,245","1,743",935,808,"8,989",23.92,2.91,"12,712"
1994,중구,"55,032","156,302","79,110","77,192","153,901","77,690","76,211","2,401","1,420",981,"15,677",9.97,2.84,"8,913"
1994,용산구,"94,534","268,689","134,290","134,399","264,188","131,830","132,358","4,501","2,460","2,041","12,286",21.87,2.84,"14,860"
1994,성동구,"244,808","753,072","382,753","370,319","750,814","381,520","369,294","2,258","1,233","1,025","22,221",33.89,3.08,"29,570"
1994,동대문구,"146,186","443,027","224,533","218,494","442,068","224,075","217,993",959,458,501,"31,199",14.2,3.03,"19,615"
1994,중랑구,"141,855","457,749","230,709","227,040","457,347","230,522","226,825",402,187,215,"24,716",18.52,3.23,"16,539"
1994,성북구,"162,700","503,536","254,520","249,016","501,967","253,727","248,240","1,569",793,776,"20,511",24.55,3.09,"23,926"
1994,도봉구,"240,545","775,394","389,155","386,239","774,414","388,690","385,724",980,465,515,"17,432",44.48,3.22,"31,989"
1994,노원구,"182,015","589,582","292,659","296,923","588,757","292,232","296,525",825,427,398,"16,613",35.49,3.24,"25,895"
1994,은평구,"161,212","511,788","253,362","258,426","510,944","252,938","258,006",844,424,420,"17,261",29.65,3.17,"21,674"
1994,서대문구,"123,325","374,662","187,350","187,312","371,090","185,433","185,657","3,572","1,917","1,655","21,288",17.6,3.04,"17,825"
1994,마포구,"138,685","412,484","206,014","206,470","410,571","204,998","205,573","1,913","1,016",897,"17,280",23.87,2.97,"19,781"
1994,양천구,"151,076","492,449","248,530","243,919","491,279","247,922","243,357","1,170",608,562,"28,302",17.4,3.26,"18,702"
1994,강서구,"157,418","508,345","254,121","254,224","507,409","253,636","253,773",936,485,451,"12,276",41.41,3.23,"20,872"
1994,구로구,"225,738","698,274","358,478","339,796","696,060","357,409","338,651","2,214","1,069","1,145","21,211",32.92,3.09,"23,588"
1994,영등포구,"142,594","433,512","219,952","213,560","432,060","219,124","212,936","1,452",828,624,"17,651",24.56,3.04,"16,985"
1994,동작구,"144,123","440,651","222,206","218,445","439,699","221,713","217,986",952,493,459,"26,951",16.35,3.06,"18,867"
1994,관악구,"186,689","578,658","293,796","284,862","577,977","293,459","284,519",681,337,344,"19,569",29.57,3.1,"21,075"
1994,서초구,"131,546","412,315","204,524","207,791","409,161","202,848","206,313","3,154","1,676","1,478","8,735",47.2,3.13,"17,742"
1994,강남구,"177,641","572,311","283,965","288,346","568,498","281,909","286,589","3,813","2,056","1,757","14,471",39.55,3.22,"25,087"
1994,송파구,"212,950","680,067","338,608","341,459","678,019","337,556","340,463","2,048","1,052",996,"20,067",33.89,3.19,"26,471"
1994,강동구,"161,195","520,903","263,042","257,861","520,044","262,654","257,390",859,388,471,"21,192",24.58,3.23,"20,681"
