"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,동대문구,"149,914","479,776","242,828","236,948",…,…,…,…,…,…,"32,477",14.77,3.2,…
1992,동대문구,"149,094","470,594","238,385","232,209","469,843","237,979","231,864",751,406,345,"31,862",14.77,3.16,"19,142"
1993,동대문구,"148,308","459,000","232,465","226,535","458,149","232,036","226,113",851,429,422,"31,076",14.77,3.09,"19,346"
1994,동대문구,"146,186","443,027","224,533","218,494","442,068","224,075","217,993",959,458,501,"31,199",14.2,3.03,"19,615"
1995,동대문구,"141,352","420,069","212,978","207,091","418,985","212,458","206,527","1,084",520,564,"29,582",14.02,2.97,"19,398"
1996,동대문구,"136,771","399,280","202,162","197,118","398,060","201,576","196,484","1,220",586,634,"28,079",14.22,2.92,"19,389"
1997,동대문구,"136,360","389,281","197,181","192,100","388,172","196,642","191,530","1,109",539,570,"27,376",14.22,2.85,"20,156"
1998,동대문구,"132,854","378,953","192,035","186,918","377,724","191,437","186,287","1,229",598,631,"26,668",14.21,2.85,"20,882"
1999,동대문구,"130,678","368,368","186,801","181,567","367,025","186,167","180,858","1,343",634,709,"25,923",14.21,2.81,"21,711"
2000,동대문구,"136,644","382,122","193,672","188,450","380,444","192,896","187,548","1,678",776,902,"26,872",14.22,2.78,"23,491"
2001,동대문구,"138,849","383,822","194,451","189,371","381,799","193,588","188,211","2,023",863,"1,160","27,011",14.21,2.75,"25,083"
2002,동대문구,"143,014","384,356","194,605","189,751","381,841","193,538","188,303","2,515","1,067","1,448","27,029",14.22,2.67,"26,455"
2003,동대문구,"146,457","386,814","195,488","191,326","382,875","193,763","189,112","3,939","1,725","2,214","27,210",14.22,2.64,"28,229"
2004,동대문구,"148,168","383,896","193,487","190,409","379,404","191,597","187,807","4,492","1,890","2,602","27,005",14.22,2.59,"29,972"
2005,동대문구,"152,613","386,280","194,446","191,834","381,110","192,317","188,793","5,170","2,129","3,041","27,173",14.22,2.53,"32,189"
2006,동대문구,"155,667","385,712","193,873","191,839","378,860","190,947","187,913","6,852","2,926","3,926","27,136",14.21,2.48,"34,381"
2007,동대문구,"156,777","385,825","193,949","191,876","376,421","189,686","186,735","9,404","4,263","5,141","27,171",14.2,2.46,"37,066"
2008,동대문구,"156,267","381,663","191,888","189,775","370,250","186,744","183,506","11,413","5,144","6,269","26,876",14.2,2.37,"38,563"
2009,동대문구,"153,437","374,277","187,856","186,421","362,146","182,550","179,596","12,131","5,306","6,825","26,356",14.2,2.36,"39,693"
2010,동대문구,"158,485","379,343","190,317","189,026","366,786","184,874","181,912","12,557","5,443","7,114","26,713",14.2,2.31,"42,669"
2011,동대문구,"157,823","378,534","189,538","188,996","365,486","183,925","181,561","13,048","5,613","7,435","26,653",14.2,2.32,"44,368"
2012,동대문구,"157,650","375,683","187,851","187,832","363,258","182,661","180,597","12,425","5,190","7,235","26,453",14.2,2.3,"46,795"
2013,동대문구,"159,256","376,445","188,167","188,278","364,273","182,987","181,286","12,172","5,180","6,992","26,490",14.21,2.29,"49,097"
2014,동대문구,"159,880","376,319","187,638","188,681","363,687","182,510","181,177","12,632","5,128","7,504","26,483",14.21,2.27,"50,915"
2015,동대문구,"159,941","373,824","185,827","187,997","360,153","180,485","179,668","13,671","5,342","8,329",-,-,2.25,"52,490"
2016,동대문구,"159,426","370,312","183,444","186,868","355,069","177,640","177,429","15,243","5,804","9,439",-,-,2.23,"53,460"
2017,동대문구,"159,938","366,011","181,185","184,826","350,647","175,324","175,323","15,364","5,861","9,503",-,-,2.19,"55,718"
2018,동대문구,"161,820","364,338","179,774","184,564","348,052","173,567","174,485","16,286","6,207","10,079",-,-,2.15,"57,165"
2019,동대문구,"164,191","363,023","178,490","184,533","346,194","172,113","174,081","16,829","6,377","10,452",-,-,2.11,"59,350"
