"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
2006,합계,"23,417,226","17,149,478","6,267,748","25,297,366","18,555,726","6,741,640","20,812,065","15,671,433","5,140,632"
2006,본청,"16,547,493","10,946,562","5,600,931","18,194,659","12,108,033","6,086,626","15,189,013","10,387,946","4,801,067"
2006,자치구,"6,869,733","6,202,916","666,817","7,102,707","6,447,693","655,014","5,623,052","5,283,487","339,565"
2006,종로구,"263,610","226,404","37,206","286,760","250,324","36,436","189,165","179,243","9,922"
2006,중구,"276,170","249,704","26,466","290,543","256,720","33,823","210,170","198,691","11,479"
2006,용산구,"219,746","197,866","21,880","233,184","209,961","23,223","184,260","172,430","11,830"
2006,성동구,"224,449","205,434","19,015","222,405","207,875","14,530","194,575","182,229","12,346"
2006,광진구,"205,311","192,448","12,863","213,298","201,606","11,692","174,883","167,659","7,224"
2006,동대문구,"301,102","262,405","38,697","312,397","273,969","38,428","218,555","209,604","8,951"
2006,중랑구,"244,492","227,473","17,019","249,103","232,831","16,272","216,009","206,147","9,862"
2006,성북구,"266,735","248,152","18,583","277,172","259,387","17,785","227,420","223,042","4,378"
2006,강북구,"267,871","243,884","23,987","278,987","258,441","20,546","210,840","200,786","10,054"
2006,도봉구,"207,152","199,258","7,894","209,675","202,092","7,583","178,417","173,096","5,321"
2006,노원구,"340,374","320,435","19,939","345,318","325,666","19,652","279,327","271,256","8,071"
2006,은평구,"249,804","239,826","9,978","258,498","248,890","9,608","217,715","211,799","5,916"
2006,서대문구,"254,991","243,425","11,566","273,183","261,554","11,629","212,279","204,478","7,801"
2006,마포구,"261,133","234,466","26,667","268,450","242,385","26,065","221,338","208,827","12,511"
2006,양천구,"261,363","242,533","18,830","263,166","243,396","19,770","220,625","208,136","12,489"
2006,강서구,"305,660","290,042","15,618","307,980","294,662","13,318","264,934","252,953","11,981"
2006,구로구,"242,169","224,627","17,542","245,623","229,869","15,754","212,332","201,439","10,893"
2006,금천구,"227,378","213,347","14,031","234,901","221,162","13,739","191,716","182,059","9,657"
2006,영등포구,"291,046","246,616","44,430","308,679","262,410","46,269","232,660","213,141","19,519"
2006,동작구,"276,293","239,677","36,616","278,842","248,297","30,545","226,180","212,790","13,390"
2006,관악구,"295,789","225,315","70,474","297,208","227,697","69,511","241,207","207,144","34,063"
2006,서초구,"344,071","297,584","46,487","361,217","315,573","45,644","259,732","237,268","22,464"
2006,강남구,"474,921","438,547","36,374","496,514","458,026","38,488","376,880","347,995","28,885"
2006,송파구,"296,558","263,703","32,855","305,975","274,114","31,861","250,735","227,224","23,511"
2006,강동구,"271,545","229,745","41,800","283,629","240,786","42,843","211,098","184,051","27,047"
