"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,구로구,"109,125","100,211","8,914","114,827","105,699","9,128","82,509","80,014","2,495"
1997,구로구,"127,024","115,469","11,555","135,119","123,193","11,926","98,220","92,861","5,359"
1998,구로구,"126,640","114,120","12,520","129,537","116,627","12,910","105,671","101,669","4,002"
1999,구로구,"135,724","117,234","18,490","141,513","122,687","18,826","107,473","97,935","9,538"
2000,구로구,"164,910","143,829","21,081","170,337","150,013","20,324","125,074","115,111","9,963"
2001,구로구,"182,961","157,268","25,693","184,079","159,057","25,022","148,660","132,056","16,604"
2002,구로구,"170,768","152,316","18,452","168,991","152,470","16,521","136,302","130,622","5,680"
2003,구로구,"212,407","191,721","20,686","214,914","196,590","18,324","169,868","156,203","13,665"
2004,구로구,"233,948","216,677","17,271","247,892","232,518","15,374","186,667","174,817","11,850"
2005,구로구,"258,278","240,884","17,394","250,521","235,516","15,005","206,996","197,643","9,353"
2006,구로구,"242,169","224,627","17,542","245,623","229,869","15,754","212,332","201,439","10,893"
2007,구로구,"264,380","247,165","17,215","274,797","257,366","17,431","234,369","220,713","13,656"
2008,구로구,"315,109","295,073","20,036","331,054","308,197","22,857","298,281","256,365","41,916"
2009,구로구,"373,963","356,607","17,356","380,670","361,440","19,230","311,903","303,474","8,429"
2010,구로구,"367,338","348,118","19,220","362,874","342,039","20,835","319,573","308,584","10,989"
2011,구로구,"348,625","330,775","17,850","357,334","338,357","18,977","312,980","298,290","14,690"
2012,구로구,"385,975","374,311","11,664","386,566","374,307","12,259","354,955","346,790","8,166"
2013,구로구,"428,899","409,391","19,508","424,684","405,385","19,299","385,270","377,534","7,736"
2014,구로구,"488,333","462,590","25,743","479,447","453,637","25,809","442,107","431,282","10,825"
2015,구로구,"510,020","485,555","24,465","509,989","484,933","25,056","458,777","440,834","17,943"
2016,구로구,"557,357","542,158","15,199","569,002","553,842","15,160","498,419","487,962","10,457"
2017,구로구,"620,122","607,187","12,934","642,723","629,520","13,203","541,006","533,670","7,336"
2018,구로구,"692,188","673,825","18,363","717,699","699,308","18,391","595,531","588,480","7,051"
2019,구로구,"804,327","780,434","23,893","828,014","804,199","23,815","672,620","665,064","7,556"
