Year,sigName,용도별,분류별,합계,합계,합계,합계,합계,합계,합계,신축,신축,신축,신축,신축,신축,신축,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,증축개축이전대수선,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경,용도변경
Year,sigName,용도별,분류별,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골,계,조적,철골철근,나무,기타,콘크리트,철골
2000,서울시,계,동수,"7,903",513,"7,059",10,321,-,-,"6,531",56,"6,352",3,120,-,-,"1,285",419,665,4,197,-,-,87,38,42,3,4,-,-
2000,서울시,계,연면적,"11,031,121","38,795","10,750,210","1,427","240,689",-,-,"10,140,048","9,588","9,953,371",937,"176,152",-,-,"774,686","22,171","692,222",189,"60,104",-,-,"116,387","7,036","104,617",301,"4,433",-,-
2000,서울시,주거용,동수,"4,947",342,"4,540",4,61,-,-,"4,492",45,"4,438",2,7,-,-,431,276,99,2,54,-,-,24,21,3,-,-,-,-
2000,서울시,주거용,연면적,"6,734,701","23,760","6,707,098",385,"3,458",-,-,"6,701,439","8,455","6,691,719",238,"1,027",-,-,"30,854","13,194","15,082",147,"2,431",-,-,"2,408","2,111",297,-,-,-,-
2000,서울시,상업용,동수,"2,405",154,"2,055",5,191,-,-,"1,679",9,"1,588",-,82,-,-,675,131,434,2,108,-,-,51,14,33,3,1,-,-
2000,서울시,상업용,연면적,"3,216,780","13,363","3,021,129",343,"181,945",-,-,"2,732,980",960,"2,580,532",-,"151,488",-,-,"380,554","7,853","342,242",42,"30,417",-,-,"103,246","4,550","98,355",301,40,-,-
2000,서울시,공업용,동수,83,4,51,-,28,-,-,42,-,29,-,13,-,-,39,3,22,-,14,-,-,2,1,-,-,1,-,-
2000,서울시,공업용,연면적,"261,135",972,"236,072",-,"24,091",-,-,"234,536",-,"222,400",-,"12,136",-,-,"26,277",663,"13,672",-,"11,942",-,-,322,309,-,-,13,-,-
2000,서울시,공공용,동수,14,-,11,-,3,-,-,8,-,7,-,1,-,-,3,-,1,-,2,-,-,3,-,3,-,-,-,-
2000,서울시,공공용,연면적,"41,088",-,"35,533",-,"5,555",-,-,"31,937",-,"31,451",-,486,-,-,"5,078",-,9,-,"5,069",-,-,"4,073",-,"4,073",-,-,-,-
2000,서울시,문교용/사회용,동수,230,2,212,-,16,-,-,132,-,128,-,4,-,-,94,2,82,-,10,-,-,4,-,2,-,2,-,-
