Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
2009,합계,"2,531",33,"169,047.0","1,965",25,"113,753.9",20,13,"65,548.4",382,12,"43,093.1","1,278","2,126.3",4,"1,919.2",1,"39,374.0",565,"15,919.2",,3,52.5,242,295.1,9,334.5,5,3,22,348.7,5,36,,,,,,,,,,
2009,종로구,100,2,"11,464.0",67,1,"7,058.9",2,1,"3,734.1",26,-,"3,138.7",26,64.7,-,-,-,"4,282.0",33,123.1,,-,-,10,6.3,2,109.4,1,-,1,5.8,-,-,,,,,,,,,,
2009,중구,60,2,"2,516.7",50,2,"2,467.8",1,-,"1,786.5",9,2,593.2,22,38.6,-,-,-,-,10,48.9,,1,29.7,15,14.2,-,-,-,-,2,5.6,-,-,,,,,,,,,,
2009,용산구,77,1,"1,394.6",54,1,767.6,-,-,-,8,1,626.4,32,54.1,-,-,-,-,23,627,,-,-,11,21.9,2,21.9,-,-,1,43.4,-,-,,,,,,,,,,
2009,성동구,80,1,"2,868.5",54,1,"1,023.1",-,-,-,10,1,955.9,36,58.8,-,-,-,-,26,"1,845.4",,1,2.8,7,5.6,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,광진구,56,2,"3,396.2",40,1,"2,946.1",-,1,"2,307.1",2,-,561.9,35,38.4,-,-,-,-,16,450,,-,-,2,1.3,1,37.4,-,1,-,-,-,-,,,,,,,,,,
2009,동대문구,100,1,"1,279.7",81,1,"1,034.2",-,-,-,14,1,915.1,49,96.3,-,-,-,-,19,245.5,,-,-,18,22.8,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,중랑구,85,-,"5,205.6",55,-,"5,026.6",1,-,"2,800.6",4,-,"1,335.1",44,54.2,1,832.8,-,-,30,179.1,,-,-,5,3.8,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,성북구,124,4,"8,115.4",71,3,"4,419.0",1,1,"2,276.2",11,2,"2,020.7",35,92.7,-,-,-,"3,638.0",53,58.4,,-,-,23,27.6,-,-,1,-,-,-,1,1.8,,,,,,,,,,
2009,강북구,69,1,"14,348.7",48,1,"1,574.4",-,1,128.3,2,-,"1,384.5",40,57.8,-,-,1,"12,588.0",20,186.3,,-,-,6,3.7,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,도봉구,65,2,"10,452.5",43,1,"1,055.7",-,-,-,2,1,"1,003.6",39,50.3,-,-,-,"9,145.0",22,251.9,,-,-,2,1.7,-,-,1,-,-,-,-,-,,,,,,,,,,
2009,노원구,146,-,"14,125.8",126,-,"13,851.0",2,-,"12,024.3",27,-,"1,626.8",92,171.5,-,-,-,-,20,274.8,,-,-,1,1.8,-,-,-,-,4,26.7,-,-,,,,,,,,,,
2009,은평구,119,3,"15,720.3",82,2,"6,185.5",2,1,"3,324.4",18,1,"2,750.3",47,88.5,-,-,-,"9,434.0",37,100.8,,-,-,15,22.4,-,-,1,-,-,-,-,-,,,,,,,,,,
2009,서대문구,112,3,"5,564.4",68,2,"4,885.4",1,2,"3,449.5",9,-,"1,322.6",42,92.3,-,-,-,287,44,392,,-,-,13,9.6,-,-,1,-,3,11.3,-,-,,,,,,,,,,
2009,마포구,107,-,"5,050.2",91,-,"2,198.0",-,-,-,11,-,"2,068.4",56,73.8,1,13.2,-,-,16,"2,852.1",,-,-,15,18.1,1,4.8,-,-,7,19.6,-,-,,,,,,,,,,
2009,양천구,114,1,"2,858.1",98,1,"2,443.0",-,1,"1,003.5",17,-,"1,078.4",71,123.4,-,-,-,-,16,415.1,,-,-,9,19.7,-,-,-,-,1,217.9,-,-,,,,,,,,,,
2009,강서구,163,-,"4,024.3",152,-,"3,257.0",-,-,-,23,-,"3,044.9",125,190.2,-,-,-,-,11,767.3,,1,20,3,1.9,-,-,-,-,-,-,-,-,,,,,,,,,,
