Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1995,금천구,42,…,"2,032.0",42,-,"2,032.0",-,…,"1,975.0",1,…,18,41,39,-,-,-,-,-,-,…,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1996,금천구,42,1,"2,032.0",42,1,"2,032.0",-,1,"1,975.0",1,-,18,41,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1997,금천구,42,1,"2,012.0",42,1,"2,012.0",-,1,"1,955.0",1,-,18,41,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1998,금천구,41,1,"2,011.0",41,1,"2,011.0",-,1,"1,955.0",1,-,18,40,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
1999,금천구,42,1,"2,022.0",42,1,"2,022.0",-,1,"1,955.0",2,-,29,40,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2000,금천구,42,1,"2,022.0",42,1,"2,022.0",-,1,"1,955.0",2,-,29,40,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2001,금천구,41,1,"2,022.7",41,1,"2,022.7",-,1,"1,956.0",2,-,29,39,37.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2002,금천구,45,1,"2,026.0",41,1,"2,022.0",-,1,"1,955.0",2,-,29,39,38,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2003,금천구,45,1,"2,026.0",41,1,"2,022.0",-,1,"1,955.0",2,-,29,39,38,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2004,금천구,46,1,"2,027.0",41,1,"2,021.0",-,1,"1,955.0",2,-,29,39,37,-,-,-,-,5,6,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2005,금천구,47,1,"2,179.0",41,1,"2,022.0",-,1,"1,955.0",2,-,29,39,38,-,-,-,-,6,157,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2006,금천구,48,1,"2,183.0",42,1,"2,026.0",-,1,"1,955.0",3,-,33,39,38,-,-,-,-,6,157,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,
2007,금천구,49,(1),"2,185.8",42,(1),"2,026.6",-,(1),"1,955.4",3,-,33.4,39,37.7,-,-,-,-,7,159.2,,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
2008,금천구,51,1,"2,189.0",44,1,"2,030.0",-,1,"1,956.0",3,-,33,41,41,-,-,-,-,7,159,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
2009,금천구,51,1,"2,189.5",44,1,"2,030.3",-,1,"1,955.4",3,-,33.4,41,41.4,-,-,-,-,7,159.2,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
2010,금천구,51,1,"2,189.5",44,1,"2,030.3",-,1,"1,955.4",3,-,33.4,41,41.4,-,-,-,-,7,159.2,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
2011,금천구,,,,,,,-,1,"1,955.4",3,-,33.4,41,41.4,-,-,-,-,7,159.2,,-,-,-,-,-,-,-,-,-,-,-,-,51,1,"2,189.5",44,1,"2,030.3",-,-,,
2012,금천구,,,,,,,-,1,"1,955.4",3,-,33.4,41,41.4,-,-,-,-,7,159.2,,-,-,-,-,-,-,-,-,-,-,-,-,51,1,"2,189.5",44,1,"2,030.3",-,-,,
2013,금천구,,,,,,,-,1,"1,955.4",3,-,33.4,41,41.4,-,-,-,-,7,159.2,,-,-,-,-,-,-,-,-,-,-,-,-,51,1,"2,189.5",44,1,"2,030.3",-,-,-,-
