Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,성북구,18,5,"4,006.0",18,5,"4,006.0",1,1,"2,496.0",2,4,"1,483.0",15,27,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,성북구,20,5,"3,962.0",20,5,"3,963.0",1,1,"2,415.0",2,4,"1,512.0",17,36,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,성북구,20,…,"8,639.0",20,-,"3,939.0",1,…,"2,415.0",2,…,"1,488.0",17,36,-,-,-,"4,700.0",-,-,…,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1996,성북구,20,6,"8,662.0",20,5,"3,962.0",-,2,"2,438.0",3,3,"1,488.0",17,36,-,-,-,"4,700.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1997,성북구,20,6,"8,658.0",20,5,"3,958.0",-,2,"2,438.0",4,3,"1,489.0",16,31,-,-,-,"4,700.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1998,성북구,20,6,"8,659.0",20,5,"3,959.0",-,2,"2,438.0",4,3,"1,490.0",16,31,-,-,-,"4,700.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1999,성북구,20,6,"8,658.0",20,5,"3,958.0",-,2,"2,438.0",4,3,"1,489.0",16,31,-,-,-,"4,700.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2000,성북구,20,6,"8,647.0",20,5,"3,947.0",-,2,"2,438.0",4,3,"1,479.0",16,30,-,-,-,"4,700.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2001,성북구,24,7,"8,641.4",19,6,"3,939.4",-,2,"2,429.6",3,4,"1,479.0",16,30.9,-,-,-,"4,700.0",5,2,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2002,성북구,25,7,"7,826.0",19,6,"3,897.0",-,2,"2,427.0",3,4,"1,439.0",16,31,-,-,-,"3,926.0",6,3,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2003,성북구,30,5,"7,544.0",21,4,"3,897.0",1,1,"2,427.0",4,3,"1,439.0",16,31,-,-,-,"3,643.0",9,4,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2004,성북구,30,5,"7,545.0",21,4,"3,897.0",1,1,"2,427.0",4,3,"1,439.0",16,31,-,-,-,"3,643.0",9,5,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2005,성북구,78,5,"7,616.0",28,4,"3,914.0",1,1,"2,427.0",4,3,"1,439.0",23,48,-,-,-,"3,643.0",50,59,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2006,성북구,81,5,"7,619.0",29,4,"3,915.0",1,1,"2,427.0",4,3,"1,439.0",23,48,-,-,-,"3,643.0",52,61,-,-,-,1,1,-,-,1,-,,,,,,,,,,,,,,
2007,성북구,88,(5),"8,008.8",33,(4),"4,302.3",1,(1),"2,427.2",5,(3),"1,822.1",24,50.8,-,-,-,"3,643.0",55,63.6,,-,-,3,2.2,-,-,(1),-,-,-,,,,,,,,,,,,
2008,성북구,118,5,"7,716.0",65,4,"4,015.0",1,1,"2,276.0",9,3,"1,622.0",33,90,-,-,-,"3,643.0",53,58,,-,-,21,25,-,-,1,-,-,-,1,2,,,,,,,,,,
2009,성북구,124,4,"8,115.4",71,3,"4,419.0",1,1,"2,276.2",11,2,"2,020.7",35,92.7,-,-,-,"3,638.0",53,58.4,,-,-,23,27.6,-,-,1,-,-,-,1,1.8,,,,,,,,,,
2010,성북구,127,5,"8,163.7",74,4,"4,462.3",1,1,"2,276.2",13,3,"2,057.4",36,99.4,-,-,-,"3,643.0",53,58.4,,-,-,23,27.6,-,-,1,-,-,-,1,1.8,,,,,,,,,,
