Year,sigName,합계,합계,합계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,자연공원,기타공원,기타공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,자연공원,기타공원,도시공원,도시공원,도시공원,도시공원,계,계,계,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원,도시공원
Year,sigName,합계,합계,합계,계,계,계,도시자연공원,도시자연공원,도시자연공원,근린공원,근린공원,근린공원,어린이공원,어린이공원,묘지공원,묘지공원,자연공원,자연공원,기타공원,기타공원,어린이공원,체육공원,체육공원,소공원,소공원,역사공원,역사공원,자연공원,기타공원,문화공원,문화공원,수변공원,수변공원,계,계,계,소계,소계,소계,생태공원,생태공원,가로공원,가로공원
Year,sigName,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적,공원수,면적,공원수,면적,(중복),공원수,면적,공원수,면적,공원수,면적,(중복),(중복),공원수,면적,공원수,면적,공원수,(중복),면적,공원수,(중복),면적,공원수,면적,공원수,면적
1993,은평구,52,1,"4,204.0",52,1,"4,204.0",3,-,"2,340.0",8,1,"1,820.0",41,44,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1994,은평구,49,1,"4,208.0",49,1,"4,207.0",3,-,"2,340.0",8,1,"1,824.0",38,43,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,
1995,은평구,49,…,"13,627.0",49,-,"4,207.0",3,…,"2,340.0",8,…,"1,824.0",38,43,-,-,-,"9,420.0",-,-,…,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1996,은평구,48,3,"13,627.0",48,2,"4,207.0",2,1,"2,340.0",8,1,"1,824.0",38,43,-,-,-,"9,420.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1997,은평구,48,3,"14,647.0",48,2,"5,227.0",2,1,"3,343.0",8,1,"1,840.0",38,44,-,-,-,"9,420.0",-,-,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1998,은평구,49,3,"14,653.0",48,2,"5,226.0",2,1,"3,343.0",8,1,"1,840.0",38,43,-,-,-,"9,420.0",1,7,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
1999,은평구,48,3,"14,653.0",47,2,"5,226.0",2,1,"3,343.0",8,1,"1,840.0",37,43,-,-,-,"9,420.0",1,7,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2000,은평구,47,3,"14,624.0",46,2,"5,197.0",2,1,"3,315.0",8,1,"1,840.0",36,42,-,-,-,"9,420.0",1,7,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2001,은평구,54,3,"14,625.8",47,2,"5,196.8",2,1,"3,314.6",8,1,"1,839.0",37,43.2,-,-,-,"9,420.0",7,9,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2002,은평구,60,3,"14,656.0",46,2,"5,197.0",2,1,"3,315.0",8,1,"1,839.0",36,43,-,-,-,"9,453.0",14,6,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2003,은평구,63,3,"14,658.0",47,2,"5,198.0",2,1,"3,315.0",8,1,"1,839.0",37,44,-,-,-,"9,453.0",16,7,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2004,은평구,67,3,"14,660.0",47,2,"5,198.0",2,1,"3,315.0",8,1,"1,839.0",37,44,-,-,-,"9,453.0",20,9,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2005,은평구,70,3,"14,661.0",47,2,"5,198.0",2,1,"3,315.0",8,1,"1,839.0",37,44,-,-,-,"9,453.0",23,10,-,-,-,-,-,-,-,1,-,,,,,,,,,,,,,,
2006,은평구,81,3,"14,761.0",54,2,"5,219.0",2,1,"3,324.0",9,1,"1,842.0",40,51,-,-,-,"9,453.0",27,89,-,-,-,3,2,-,-,1,-,,,,,,,,,,,,,,
2007,은평구,80,(3),"14,763.9",52,(2),"5,219.3",2,(1),"3,324.4",8,(1),"1,839.5",37,44.9,-,-,-,"9,453.0",28,91.6,,-,-,4,4.9,-,-,(1),-,1,5.7,,,,,,,,,,,,
2008,은평구,107,3,"15,698.7",77,2,"6,153.7",2,1,"3,324.0",18,1,"2,735.0",43,71,-,-,-,"9,453.0",30,92,,-,-,13,18,-,-,1,-,1,5.7,-,-,,,,,,,,,,
2009,은평구,119,3,"15,720.3",82,2,"6,185.5",2,1,"3,324.4",18,1,"2,750.3",47,88.5,-,-,-,"9,434.0",37,100.8,,-,-,15,22.4,-,-,1,-,-,-,-,-,,,,,,,,,,
2010,은평구,131,3,"15,855.6",89,2,"6,300.4",2,1,"3,324.4",21,1,"2,852.9",47,90.8,-,-,-,"9,440.0",42,115.2,,-,-,19,32.3,-,-,1,-,-,-,-,-,,,,,,,,,,
