"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
2017,합계,"8,271",86,22.71
2017,종로구,275,2.68,21.31
2017,중구,114,1.88,18.82
2017,용산구,281,3.15,22.15
2017,성동구,408,3.02,23.07
2017,광진구,324,3.39,28.45
2017,동대문구,327,3.14,22.07
2017,중랑구,334,2.94,25.97
2017,성북구,627,4.01,22.41
2017,강북구,227,1.97,20.79
2017,도봉구,257,2.35,18.98
2017,노원구,295,3.83,23.63
2017,은평구,352,3.33,20.92
2017,서대문구,311,2.72,17.11
2017,마포구,420,4.06,28.23
2017,양천구,404,3.62,27.12
2017,강서구,385,4.6,24.46
2017,구로구,294,3.16,21.61
2017,금천구,188,2.16,19.85
2017,영등포구,389,4.43,23.49
2017,동작구,248,2.73,17.16
2017,관악구,322,3.03,25.41
2017,서초구,395,5.73,26.06
2017,강남구,435,5.67,23.46
2017,송파구,367,4.87,20.31
2017,강동구,290,3.52,24.18
