"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,합계,"7,842",78.12,21
1999,종로구,-,-,-
1999,중구,-,-,-
1999,용산구,-,-,-
1999,성동구,-,-,-
1999,광진구,-,-,-
1999,동대문구,-,-,-
1999,중랑구,-,-,-
1999,성북구,-,-,-
1999,강북구,-,-,-
1999,도봉구,-,-,-
1999,노원구,-,-,-
1999,은평구,-,-,-
1999,서대문구,-,-,-
1999,마포구,-,-,-
1999,양천구,-,-,-
1999,강서구,-,-,-
1999,구로구,-,-,-
1999,금천구,-,-,-
1999,영등포구,-,-,-
1999,동작구,-,-,-
1999,관악구,-,-,-
1999,서초구,-,-,-
1999,강남구,-,-,-
1999,송파구,-,-,-
1999,강동구,-,-,-
2000,합계,"7,889",78.69,21.01
2000,종로구,-,-,-
2000,중구,-,-,-
2000,용산구,-,-,-
2000,성동구,-,-,-
2000,광진구,-,-,-
2000,동대문구,-,-,-
2000,중랑구,-,-,-
2000,성북구,-,-,-
2000,강북구,-,-,-
2000,도봉구,-,-,-
2000,노원구,-,-,-
2000,은평구,-,-,-
2000,서대문구,-,-,-
2000,마포구,-,-,-
2000,양천구,-,-,-
2000,강서구,-,-,-
2000,구로구,-,-,-
2000,금천구,-,-,-
2000,영등포구,-,-,-
2000,동작구,-,-,-
2000,관악구,-,-,-
2000,서초구,-,-,-
2000,강남구,-,-,-
2000,송파구,-,-,-
2000,강동구,-,-,-
2001,합계,"7,935",79.36,21.19
2001,종로구,-,-,-
2001,중구,-,-,-
2001,용산구,-,-,-
2001,성동구,-,-,-
2001,광진구,-,-,-
2001,동대문구,-,-,-
2001,중랑구,-,-,-
2001,성북구,-,-,-
2001,강북구,-,-,-
2001,도봉구,-,-,-
2001,노원구,-,-,-
2001,은평구,-,-,-
2001,서대문구,-,-,-
2001,마포구,-,-,-
2001,양천구,-,-,-
2001,강서구,-,-,-
2001,구로구,-,-,-
2001,금천구,-,-,-
2001,영등포구,-,-,-
2001,동작구,-,-,-
2001,관악구,-,-,-
2001,서초구,-,-,-
2001,강남구,-,-,-
2001,송파구,-,-,-
2001,강동구,-,-,-
2002,합계,"7,973",80.07,21.4
2002,종로구,-,-,-
2002,중구,-,-,-
2002,용산구,-,-,-
2002,성동구,-,-,-
2002,광진구,-,-,-
2002,동대문구,-,-,-
2002,중랑구,-,-,-
2002,성북구,-,-,-
2002,강북구,-,-,-
2002,도봉구,-,-,-
2002,노원구,-,-,-
2002,은평구,-,-,-
2002,서대문구,-,-,-
2002,마포구,-,-,-
2002,양천구,-,-,-
2002,강서구,-,-,-
2002,구로구,-,-,-
2002,금천구,-,-,-
2002,영등포구,-,-,-
2002,동작구,-,-,-
2002,관악구,-,-,-
2002,서초구,-,-,-
2002,강남구,-,-,-
2002,송파구,-,-,-
2002,강동구,-,-,-
2003,합계,"7,988",80.39,21.5
2003,종로구,-,-,-
2003,중구,-,-,-
2003,용산구,-,-,-
2003,성동구,-,-,-
2003,광진구,-,-,-
2003,동대문구,-,-,-
2003,중랑구,-,-,-
2003,성북구,-,-,-
2003,강북구,-,-,-
2003,도봉구,-,-,-
2003,노원구,-,-,-
2003,은평구,-,-,-
2003,서대문구,-,-,-
2003,마포구,-,-,-
2003,양천구,-,-,-
2003,강서구,-,-,-
2003,구로구,-,-,-
2003,금천구,-,-,-
2003,영등포구,-,-,-
2003,동작구,-,-,-
2003,관악구,-,-,-
2003,서초구,-,-,-
2003,강남구,-,-,-
2003,송파구,-,-,-
2003,강동구,-,-,-
2004,합계,"8,010",80.64,21.53
2004,종로구,272,2.64,20.99
2004,중구,114,1.86,18.7
2004,용산구,279,3.12,21.91
2004,성동구,402,2.92,22.32
2004,광진구,323,3.37,28.27
2004,동대문구,322,3.01,21.2
2004,중랑구,319,2.63,23.92
2004,성북구,617,3.8,21.2
2004,강북구,221,1.88,19.83
2004,도봉구,255,2.31,18.63
2004,노원구,287,3.54,22.65
2004,은평구,327,2.95,18.51
2004,서대문구,305,2.64,16.57
2004,마포구,411,3.86,26.84
2004,양천구,397,3.47,26.13
2004,강서구,369,4.26,23.13
2004,구로구,281,2.87,19.62
2004,금천구,178,1.93,18.19
2004,영등포구,386,4.37,23.13
2004,동작구,231,2.56,16.09
2004,관악구,314,2.72,22.82
2004,서초구,347,4.91,23.27
2004,강남구,422,5.45,22.58
2004,송파구,352,4.49,19.41
2004,강동구,279,3.08,22.18
2005,합계,"8,046",81.22,21.68
2005,종로구,273,2.65,21.02
2005,중구,114,1.87,18.76
2005,용산구,279,3.12,21.92
2005,성동구,406,2.98,22.73
2005,광진구,324,3.37,28.3
2005,동대문구,323,3.03,21.3
2005,중랑구,320,2.64,23.99
2005,성북구,622,3.88,21.67
2005,강북구,224,1.92,20.27
2005,도봉구,255,2.32,18.73
2005,노원구,287,3.54,22.66
2005,은평구,330,3.03,18.99
2005,서대문구,306,2.65,16.63
2005,마포구,418,4.02,27.92
2005,양천구,397,3.48,26.2
2005,강서구,370,4.27,23.2
2005,구로구,283,2.9,19.82
2005,금천구,179,1.93,18.22
2005,영등포구,386,4.37,23.16
2005,동작구,235,2.6,16.34
2005,관악구,315,2.72,22.84
2005,서초구,347,4.92,23.28
2005,강남구,422,5.45,22.58
2005,송파구,352,4.49,19.41
2005,강동구,279,3.08,22.2
2006,합계,"8,067",81.57,21.78
2006,종로구,273,2.65,21.05
2006,중구,114,1.87,18.81
2006,용산구,279,3.12,21.93
2006,성동구,407,2.99,22.79
2006,광진구,324,3.38,28.38
2006,동대문구,323,3.03,21.32
2006,중랑구,322,2.67,24.26
2006,성북구,623,3.92,21.85
2006,강북구,227,1.95,20.56
2006,도봉구,256,2.32,18.74
2006,노원구,291,3.68,23.58
2006,은평구,331,3.03,19.02
2006,서대문구,308,2.66,16.71
2006,마포구,418,4.02,27.94
2006,양천구,398,3.49,26.27
2006,강서구,370,4.28,23.23
2006,구로구,284,2.91,19.89
2006,금천구,179,1.91,18.07
2006,영등포구,386,4.37,23.16
2006,동작구,237,2.62,16.45
2006,관악구,316,2.75,23.04
2006,서초구,347,4.92,23.29
2006,강남구,422,5.45,22.58
2006,송파구,352,4.49,19.41
2006,강동구,280,3.09,22.25
2007,합계,"8,078",81.75,21.8
2007,종로구,274,2.66,21.1
2007,중구,114,1.86,18.8
2007,용산구,279,3.13,22
2007,성동구,408,3,22.9
2007,광진구,324,3.38,28.4
2007,동대문구,324,3.04,21.4
2007,중랑구,323,2.67,24.3
2007,성북구,623,3.93,21.9
2007,강북구,228,1.96,20.6
2007,도봉구,255,2.32,18.7
2007,노원구,291,3.68,23.6
2007,은평구,331,3.03,19
2007,서대문구,308,2.66,16.7
2007,마포구,418,4.02,27.9
2007,양천구,398,3.49,26.3
2007,강서구,371,4.28,23.2
2007,구로구,286,2.97,20.3
