"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,강북구,-,-,-
2000,강북구,-,-,-
2001,강북구,-,-,-
2002,강북구,-,-,-
2003,강북구,-,-,-
2004,강북구,221,1.88,19.83
2005,강북구,224,1.92,20.27
2006,강북구,227,1.95,20.56
2007,강북구,228,1.96,20.6
2008,강북구,228,1.96,20.66
2009,강북구,229,1.96,20.73
2010,강북구,226,1.96,20.67
2011,강북구,227,1.97,20.76
2012,강북구,227,1.97,20.76
2013,강북구,227,1.97,20.77
2014,강북구,227,1.97,20.79
2015,강북구,227,1.97,20.79
2016,강북구,227,1.97,20.79
2017,강북구,227,1.97,20.79
2018,강북구,227,1.97,20.83
2019,강북구,227,1.98,20.91
