"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,관악구,-,-,-
2000,관악구,-,-,-
2001,관악구,-,-,-
2002,관악구,-,-,-
2003,관악구,-,-,-
2004,관악구,314,2.72,22.82
2005,관악구,315,2.72,22.84
2006,관악구,316,2.75,23.04
2007,관악구,316,2.76,23.1
2008,관악구,316,2.76,23.11
2009,관악구,316,2.75,23.11
2010,관악구,316,2.75,23.11
2011,관악구,316,2.75,23.11
2012,관악구,316,2.76,23.12
2013,관악구,316,2.76,23.14
2014,관악구,316,2.76,23.14
2015,관악구,316,2.76,23.14
2016,관악구,322,3.03,25.41
2017,관악구,322,3.03,25.41
2018,관악구,322,3.03,25.41
2019,관악구,322,3.03,25.41
