"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,구로구,-,-,-
2000,구로구,-,-,-
2001,구로구,-,-,-
2002,구로구,-,-,-
2003,구로구,-,-,-
2004,구로구,281,2.87,19.62
2005,구로구,283,2.9,19.82
2006,구로구,284,2.91,19.89
2007,구로구,286,2.97,20.3
2008,구로구,287,2.98,20.36
2009,구로구,287,2.99,20.4
2010,구로구,287,2.99,20.47
2011,구로구,287,3,20.51
2012,구로구,293,3.14,21.45
2013,구로구,293,3.15,21.54
2014,구로구,293,3.15,21.54
2015,구로구,293,3.15,21.54
2016,구로구,294,3.16,21.59
2017,구로구,294,3.16,21.61
2018,구로구,294,3.16,21.62
2019,구로구,294,3.16,21.63
