"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,도봉구,-,-,-
2000,도봉구,-,-,-
2001,도봉구,-,-,-
2002,도봉구,-,-,-
2003,도봉구,-,-,-
2004,도봉구,255,2.31,18.63
2005,도봉구,255,2.32,18.73
2006,도봉구,256,2.32,18.74
2007,도봉구,255,2.32,18.7
2008,도봉구,255,2.32,18.75
2009,도봉구,256,2.32,18.77
2010,도봉구,256,2.32,18.78
2011,도봉구,256,2.33,18.85
2012,도봉구,256,2.34,18.87
2013,도봉구,257,2.34,18.91
2014,도봉구,257,2.34,18.91
2015,도봉구,257,2.34,18.91
2016,도봉구,257,2.34,18.91
2017,도봉구,257,2.35,18.98
2018,도봉구,257,2.35,18.98
2019,도봉구,257,2.35,18.99
