"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,동작구,-,-,-
2000,동작구,-,-,-
2001,동작구,-,-,-
2002,동작구,-,-,-
2003,동작구,-,-,-
2004,동작구,231,2.56,16.09
2005,동작구,235,2.6,16.34
2006,동작구,237,2.62,16.45
2007,동작구,239,2.64,16.6
2008,동작구,242,2.66,16.7
2009,동작구,242,2.66,16.73
2010,동작구,243,2.67,16.77
2011,동작구,243,2.67,16.79
2012,동작구,245,2.7,16.92
2013,동작구,247,2.72,17.11
2014,동작구,247,2.73,17.11
2015,동작구,247,2.73,17.12
2016,동작구,248,2.73,17.14
2017,동작구,248,2.73,17.16
2018,동작구,248,2.73,17.16
2019,동작구,248,2.73,17.16
