"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,송파구,-,-,-
2000,송파구,-,-,-
2001,송파구,-,-,-
2002,송파구,-,-,-
2003,송파구,-,-,-
2004,송파구,352,4.49,19.41
2005,송파구,352,4.49,19.41
2006,송파구,352,4.49,19.41
2007,송파구,352,4.5,19.4
2008,송파구,352,4.49,19.41
2009,송파구,355,4.56,19.7
2010,송파구,361,4.65,20.11
2011,송파구,361,4.65,20.11
2012,송파구,363,4.7,20.31
2013,송파구,363,4.7,20.31
2014,송파구,363,4.7,20.31
2015,송파구,363,4.7,20.31
2016,송파구,363,4.7,20.31
2017,송파구,367,4.87,20.31
2018,송파구,367,4.87,20.31
2019,송파구,368,4.88,20.34
