"('Year',)","('sigName',)","('도로연장',)","('도로면적',)","('도로율',)"
1999,용산구,-,-,-
2000,용산구,-,-,-
2001,용산구,-,-,-
2002,용산구,-,-,-
2003,용산구,-,-,-
2004,용산구,279,3.12,21.91
2005,용산구,279,3.12,21.92
2006,용산구,279,3.12,21.93
2007,용산구,279,3.13,22
2008,용산구,279,3.13,21.99
2009,용산구,279,3.13,22
2010,용산구,280,3.13,22.03
2011,용산구,280,3.14,22.06
2012,용산구,280,3.14,22.06
2013,용산구,280,3.14,22.09
2014,용산구,280,3.14,22.09
2015,용산구,280,3.14,22.11
2016,용산구,280,3.14,22.06
2017,용산구,281,3.15,22.15
2018,용산구,281,3.15,22.15
2019,용산구,281,3.15,22.19
