"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1979,서울시,"6,556,800",…,"4,314,300",…,"2,242,500",…,"18,400",…,"117,000",…,"117,000",…,-,-,"6,421,400",…,"4,178,900",…,"2,242,500",…
1980,서울시,"6,610,400",…,"4,490,900",…,"2,119,500",…,"18,400",…,"117,000",…,"117,000",…,-,-,"6,475,000",…,"4,355,500",…,"2,119,500",…
1981,서울시,"6,684,300",…,"4,622,000",…,"2,062,300",…,"20,300",…,"180,400",…,"180,400",…,-,-,"6,483,600",…,"4,421,300",…,"2,062,300",…
1982,서울시,"6,738,600",…,"4,831,600",…,"1,907,000",…,"20,300",…,"168,900",…,"168,900",…,-,-,"6,549,400",…,"4,642,400",…,"1,907,000",…
1983,서울시,"6,777,300",…,"4,875,600",…,"1,901,700",…,"18,000",…,"168,900",…,"168,900",…,-,-,"6,590,400",…,"4,688,700",…,"1,901,700",…
1984,서울시,"6,843,400",…,"5,179,400",…,"1,664,000",…,"18,000",…,"168,900",…,"168,900",…,-,-,"6,656,500",…,"4,992,500",…,"1,664,000",…
1985,서울시,"6,974,800",…,"5,401,900",…,"1,572,900",…,"12,500",…,"168,900",…,"168,900",…,-,-,"6,793,400",…,"5,220,500",…,"1,572,900",…
1986,서울시,"7,058,000",…,"5,547,000",…,"1,511,000",…,"12,500",…,"168,900",…,"168,900",…,-,-,"6,876,600",…,"5,365,600",…,"1,511,000",…
1987,서울시,"7,322,000",…,"5,827,000",…,"1,495,000",…,"16,000",…,"169,000",…,"169,000",…,-,-,"7,137,000",…,"5,642,000",…,"1,495,000",…
1988,서울시,"7,250,000",…,"5,785,000",…,"1,465,000",…,"16,000",…,"169,000",…,"169,000",…,-,-,"7,065,000",…,"5,600,000",…,"1,465,000",…
1989,서울시,"7,323,000",…,"6,038,000",…,"1,285,000",…,"16,000",…,"169,000",…,"169,000",…,-,-,"7,138,000",…,"5,853,000",…,"1,285,000",…
1990,서울시,"7,374,000",…,"6,236,000",…,"1,138,000",…,"16,000",…,"169,000",…,"169,000",…,-,-,"7,189,000",…,"6,051,000",…,"1,138,000",…
1991,서울시,"7,426,700",…,"6,313,700",…,"1,113,000",…,"17,900",…,"168,800",…,"168,800",…,-,-,"7,240,000",…,"6,127,000",…,"1,113,000",…
1992,서울시,"7,515,900",…,"6,403,600",…,"1,112,300",…,"17,900",…,"168,800",…,"168,800",…,-,-,"7,329,200",…,"6,216,900",…,"1,112,300",…
1993,서울시,"7,561,429",…,"6,437,409",…,"1,124,020",…,"17,920",…,"168,880",…,"168,880",…,-,-,"7,374,629",…,"6,250,609",…,"1,124,020",…
1993,종로구,"249,663",…,"243,706",…,"5,957",…,-,…,"7,450",…,"7,450",…,-,-,"242,213",…,"236,256",…,"5,957",…
1993,중구,"97,497",…,"97,497",…,-,…,-,…,"8,060",…,"8,060",…,-,-,"89,437",…,"89,437",…,-,…
1993,용산구,"265,622",…,"265,622",…,-,…,-,…,"4,700",…,"4,700",…,-,-,"260,922",…,"260,922",…,-,…
1993,성동구,"699,892",…,"630,190",…,"69,702",…,-,…,"16,300",…,"16,300",…,-,-,"683,592",…,"613,890",…,"69,702",…
1993,동대문구,"301,196",…,"269,698",…,"31,498",…,-,…,"11,100",…,"11,100",…,-,-,"290,096",…,"258,598",…,"31,498",…
1993,중랑구,"291,719",…,"223,477",…,"68,242",…,-,…,"11,200",…,"11,200",…,-,-,"280,519",…,"212,277",…,"68,242",…
1993,성북구,"593,662",…,"461,861",…,"131,801",…,-,…,"2,350",…,"2,350",…,-,-,"591,312",…,"459,511",…,"131,801",…
1993,도봉구,"468,082",…,"404,102",…,"63,980",…,-,…,"9,200",…,"9,200",…,-,-,"458,882",…,"394,902",…,"63,980",…
1993,노원구,"237,669",…,"162,008",…,"75,661",…,-,…,-,…,-,…,-,-,"237,669",…,"162,008",…,"75,661",…
1993,은평구,"321,037",…,"245,126",…,"75,911",…,-,…,"6,300",…,"6,300",…,-,-,"314,737",…,"238,826",…,"75,911",…
1993,서대문구,"284,780",…,"250,266",…,"34,514",…,-,…,"10,450",…,"10,450",…,-,-,"274,330",…,"239,816",…,"34,514",…
1993,마포구,"373,667",…,"369,730",…,"3,937",…,-,…,"11,750",…,"11,750",…,-,-,"361,917",…,"357,980",…,"3,937",…
1993,양천구,"384,964",…,"294,060",…,"90,904",…,500,…,-,…,-,…,-,-,"384,464",…,"293,560",…,"90,904",…
1993,강서구,"318,983",…,"257,620",…,"61,363",…,-,…,"15,050",…,"15,050",…,-,-,"303,933",…,"242,570",…,"61,363",…
1993,구로구,"424,782",…,"308,352",…,"116,430",…,-,…,"12,420",…,"12,420",…,-,-,"412,362",…,"295,932",…,"116,430",…
1993,영등포구,"370,706",…,"332,898",…,"37,808",…,-,…,"12,150",…,"12,150",…,-,-,"358,556",…,"320,748",…,"37,808",…
1993,동작구,"213,980",…,"160,693",…,"53,287",…,-,…,"2,900",…,"2,900",…,-,-,"211,080",…,"157,793",…,"53,287",…
1993,관악구,"303,483",…,"260,482",…,"43,001",…,-,…,"2,100",…,"2,100",…,-,-,"301,383",…,"258,382",…,"43,001",…
1993,서초구,"327,839",…,"322,699",…,"5,140",…,"11,200",…,"4,200",…,"4,200",…,-,-,"312,439",…,"307,299",…,"5,140",…
1993,강남구,"414,035",…,"345,958",…,"68,077",…,800,…,"7,900",…,"7,900",…,-,-,"405,335",…,"337,258",…,"68,077",…
1993,송파구,"348,061",…,"330,944",…,"17,117",…,"1,680",…,"6,150",…,"6,150",…,-,-,"340,231",…,"323,114",…,"17,117",…
1993,강동구,"270,110",…,"200,420",…,"69,690",…,"3,740",…,"7,150",…,"7,150",…,-,-,"259,220",…,"189,530",…,"69,690",…
1994,서울시,"7,621,605",…,"6,498,988",…,"1,122,617",…,"17,920",…,"168,880",…,"168,880",…,-,-,"7,434,805",…,"6,312,188",…,"1,122,617",…
1994,종로구,"251,743",…,"245,786",…,"5,957",…,-,…,"7,450",…,"7,450",…,-,-,"244,293",…,"238,336",…,"5,957",…
1994,중구,"98,271",…,"98,271",…,-,…,-,…,"8,060",…,"8,060",…,-,-,"90,211",…,"90,211",…,-,…
1994,용산구,"266,084",…,"266,084",…,-,…,-,…,"4,700",…,"4,700",…,-,-,"261,384",…,"261,384",…,-,…
1994,성동구,"701,324",…,"631,622",…,"69,702",…,-,…,"16,300",…,"16,300",…,-,-,"685,024",…,"615,322",…,"69,702",…
1994,동대문구,"302,534",…,"271,036",…,"31,498",…,-,…,"11,100",…,"11,100",…,-,-,"291,434",…,"259,936",…,"31,498",…
1994,중랑구,"292,800",…,"224,558",…,"68,242",…,-,…,"11,200",…,"11,200",…,-,-,"281,600",…,"213,358",…,"68,242",…
1994,성북구,"594,992",…,"463,191",…,"131,801",…,-,…,"2,350",…,"2,350",…,-,-,"592,642",…,"460,841",…,"131,801",…
1994,도봉구,"469,209",…,"405,229",…,"63,980",…,-,…,"9,200",…,"9,200",…,-,-,"460,009",…,"396,029",…,"63,980",…
1994,노원구,"242,542",…,"167,181",…,"75,361",…,-,…,-,…,-,…,-,-,"242,542",…,"167,181",…,"75,361",…
1994,은평구,"322,396",…,"246,485",…,"75,911",…,-,…,"6,300",…,"6,300",…,-,-,"316,096",…,"240,185",…,"75,911",…
1994,서대문구,"286,382",…,"251,868",…,"34,514",…,-,…,"10,450",…,"10,450",…,-,-,"275,932",…,"241,418",…,"34,514",…
1994,마포구,"377,275",…,"373,338",…,"3,937",…,-,…,"11,750",…,"11,750",…,-,-,"365,525",…,"361,588",…,"3,937",…
1994,양천구,"385,624",…,"294,720",…,"90,904",…,500,…,-,…,-,…,-,-,"385,124",…,"294,220",…,"90,904",…
1994,강서구,"339,998",…,"278,635",…,"61,363",…,-,…,"15,050",…,"15,050",…,-,-,"324,948",…,"263,585",…,"61,363",…
1994,구로구,"427,230",…,"310,800",…,"116,430",…,-,…,"12,420",…,"12,420",…,-,-,"414,810",…,"298,380",…,"116,430",…
1994,영등포구,"372,181",…,"334,373",…,"37,808",…,-,…,"12,150",…,"12,150",…,-,-,"360,031",…,"322,223",…,"37,808",…
1994,동작구,"217,296",…,"164,009",…,"53,287",…,-,…,"2,900",…,"2,900",…,-,-,"214,396",…,"161,109",…,"53,287",…
1994,관악구,"304,587",…,"261,586",…,"43,001",…,-,…,"2,100",…,"2,100",…,-,-,"302,487",…,"259,486",…,"43,001",…
1994,서초구,"333,464",…,"328,324",…,"5,140",…,"11,200",…,"4,200",…,"4,200",…,-,-,"318,064",…,"312,924",…,"5,140",…
1994,강남구,"414,535",…,"347,561",…,"66,974",…,800,…,"7,900",…,"7,900",…,-,-,"405,835",…,"338,861",…,"66,974",…
1994,송파구,"348,989",…,"331,872",…,"17,117",…,"1,680",…,"6,150",…,"6,150",…,-,-,"341,159",…,"324,042",…,"17,117",…
1994,강동구,"272,149",…,"202,459",…,"69,690",…,"3,740",…,"7,150",…,"7,150",…,-,-,"261,259",…,"191,569",…,"69,690",…
1995,서울시,"7,674,674",…,"6,552,057",…,"1,122,617",…,"23,080",…,"168,880",…,"168,880",…,-,-,"7,482,714",…,"6,360,097",…,"1,122,617",…
1995,종로구,"253,160",…,"247,203",…,"5,957",…,-,…,"7,450",…,"7,450",…,-,-,"245,710",…,"239,753",…,"5,957",…
1995,중구,"99,006",…,"99,006",…,-,…,-,…,"8,060",…,"8,060",…,-,-,"90,946",…,"90,946",…,-,…
1995,용산구,"271,186",…,"271,186",…,-,…,-,…,"4,700",…,"4,700",…,-,-,"266,486",…,"266,486",…,-,…
1995,성동구,"389,571",…,"342,941",…,"46,630",…,-,…,"5,980",…,"5,980",…,-,-,"383,591",…,"336,961",…,"46,630",…
1995,광진구,"314,084",…,"291,012",…,"23,072",…,-,…,"10,320",…,"10,320",…,-,-,"303,764",…,"280,692",…,"23,072",…
1995,동대문구,"303,179",…,"271,681",…,"31,498",…,-,…,"11,100",…,"11,100",…,-,-,"292,079",…,"260,581",…,"31,498",…
1995,중랑구,"293,559",…,"225,317",…,"68,242",…,-,…,"11,200",…,"11,200",…,-,-,"282,359",…,"214,117",…,"68,242",…
1995,성북구,"595,650",…,"463,849",…,"131,801",…,-,…,"2,350",…,"2,350",…,-,-,"593,300",…,"461,499",…,"131,801",…
1995,강북구,"216,527",…,"187,920",…,"28,607",…,-,…,"3,300",…,"3,300",…,-,-,"213,227",…,"184,620",…,"28,607",…
1995,도봉구,"258,829",…,"223,456",…,"35,373",…,-,…,"5,900",…,"5,900",…,-,-,"252,929",…,"217,556",…,"35,373",…
1995,노원구,"249,464",…,"174,103",…,"75,361",…,-,…,-,…,-,…,-,-,"249,464",…,"174,103",…,"75,361",…
1995,은평구,"322,749",…,"246,838",…,"75,911",…,-,…,"6,300",…,"6,300",…,-,-,"316,449",…,"240,538",…,"75,911",…
1995,서대문구,"290,008",…,"255,494",…,"34,514",…,-,…,"10,450",…,"10,450",…,-,-,"279,558",…,"245,044",…,"34,514",…
