"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1995,금천구,"168,558",…,"138,792",…,"29,766",…,-,…,"6,130",…,"6,130",…,-,-,"162,428",…,"132,662",…,"29,766",…
1996,금천구,"168,558",…,"139,182",…,"29,376",…,-,…,"6,130",…,"6,130",…,-,-,"162,428",…,"133,052",…,"29,376",…
1997,금천구,"168,801",0,"139,425",0,"29,376",0,0,0,"6,130",0,"6,130",0,0,0,"162,671",0,"133,295",0,"29,376",0
1998,금천구,"173,741",0,"144,365",0,"29,376",0,0,0,"6,130",0,"6,130",0,0,0,"167,611",0,"138,235",0,"29,376",0
1999,금천구,"174,638",0,"145,262",0,"29,376",0,0,0,"24,970",0,"24,970",0,0,0,"149,668",0,"120,292",0,"29,376",0
2000,금천구,"177,302","1,904,865","147,926","1,778,174","29,376","126,691",0,0,"6,130","245,472","6,130","245,472",0,0,"171,172","1,659,393","141,796","1,532,702","29,376","126,691"
2001,금천구,"177,652","1,912,585","177,652","1,912,585",0,0,"2,900","58,000","6,130","245,472","6,130","245,472",0,0,"168,622","1,609,113","168,622","1,609,113",0,0
2002,금천구,"177,652","1,916,385","177,652","1,916,385",0,0,"2,900","58,000","6,130","245,472","6,130","245,472",0,0,"168,622","1,612,913","168,622","1,612,913",0,0
2003,금천구,"177,682","1,918,481","177,682","1,918,481",0,0,"2,900","58,000","6,130","245,472","6,130","245,472",0,0,"168,652","1,615,009","168,652","1,615,009",0,0
2004,금천구,"178,402","1,926,686","178,402","1,924,770",-,"1,916","2,900","58,000","6,130","245,472","6,130","245,472",-,-,"169,372","1,623,214","169,372","1,621,298",-,"1,916"
2005,금천구,"178,582","1,929,806","178,582","1,927,890",-,"1,916","2,900","58,000","6,130","245,472","6,130","245,472",-,-,"169,552","1,626,334","169,552","1,624,418",-,"1,916"
2006,금천구,"178,682","1,913,773","178,682","1,913,773",-,-,"2,900","58,000","6,130","245,472","6,130","245,472",-,-,"169,652","1,610,301","169,652","1,610,301",-,-
2007,금천구,"178,682","1,913,773","178,682","1,913,773",…,…,"2,900","58,000","6,130","245,472","6,130","245,472",-,-,"169,652","1,610,301","169,652","1,610,301",…,…
2008,금천구,"179,042","1,923,477","179,042","1,923,477",-,-,"2,900","58,000","6,130","245,472","6,130","245,472",-,-,"170,012","1,620,005","170,012","1,620,005",-,-
2009,금천구,"179,042","1,923,477","179,042","1,923,477",-,-,"2,900","58,000","6,130","245,472","6,130","245,472",-,-,"170,012","1,620,005","170,012","1,620,005",-,-
2010,금천구,"179,902","1,937,259","179,902","1,937,259",-,-,"2,900","58,000","6,130","245,472","6,130","245,472",-,-,"170,872","1,633,787","170,872","1,633,787",-,-
2011,금천구,"179,967","1,938,219","179,967","1,938,219",-,-,"2,900","58,000","6,130","245,472","6,130","245,472",-,-,"170,937","1,634,747","170,937","1,634,747",-,-
2012,금천구,"179,967","1,938,219","179,967","1,938,219",-,-,"2,900","58,000","6,130","245,472","6,130","245,472",-,-,"170,937","1,634,747","170,937","1,634,747",-,-
2013,금천구,"179,967","1,938,819","179,967","1,938,819",-,-,"2,900","58,000","6,130","245,472","6,130","245,472",-,-,"170,937","1,635,347","170,937","1,635,347",-,-
2014,금천구,"179,967","1,940,515","179,967","1,940,515",-,-,"2,900","58,000","6,130","245,472","6,130","245,472",-,-,"170,937","1,637,043","170,937","1,637,043",-,-
2015,금천구,"179,967","1,940,515","179,967","1,940,515",-,-,"2,900","58,000","6,130","245,472","6,130","245,472",-,-,"170,937","1,637,043","170,937","1,637,043",-,-
2016,금천구,"185,258","2,101,744","185,258","2,101,744",-,-,"2,900","58,000","6,130","245,472","6,130","245,472",-,-,"176,228","1,798,272","176,228","1,798,272",-,-
2017,금천구,"188,448","2,159,744","188,448","2,159,744",-,-,"3,190","58,000","6,130","245,472","6,130","245,472",-,-,"179,128","1,856,272","179,128","1,856,272",-,-
2018,금천구,"188,448","2,159,744","188,448","2,159,744",-,-,"3,190","58,000","6,130","245,472","6,130","245,472",-,-,"179,128","1,856,272","179,128","1,856,272",-,-
2019,금천구,"189,398","2,199,707","189,398","2,199,707",-,-,"3,190","58,000","6,130","245,472","6,130","245,472",-,-,"180,078","1,896,235","180,078","1,896,235",-,-
