"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,서대문구,"284,780",…,"250,266",…,"34,514",…,-,…,"10,450",…,"10,450",…,-,-,"274,330",…,"239,816",…,"34,514",…
1994,서대문구,"286,382",…,"251,868",…,"34,514",…,-,…,"10,450",…,"10,450",…,-,-,"275,932",…,"241,418",…,"34,514",…
1995,서대문구,"290,008",…,"255,494",…,"34,514",…,-,…,"10,450",…,"10,450",…,-,-,"279,558",…,"245,044",…,"34,514",…
1996,서대문구,"290,123",…,"255,609",…,"34,514",…,-,…,"10,450",…,"10,450",…,-,-,"279,673",…,"245,159",…,"34,514",…
1997,서대문구,"292,075",0,"257,561",0,"34,514",0,0,0,"10,450",0,"10,450",0,0,0,"281,625",0,"247,111",0,"34,514",0
1998,서대문구,"294,145",0,"259,631",0,"34,514",0,0,0,"10,450",0,"10,450",0,0,0,"283,695",0,"249,181",0,"34,514",0
1999,서대문구,"297,775",0,"263,261",0,"34,514",0,0,0,"38,490",0,"38,490",0,0,0,"259,285",0,"224,771",0,"34,514",0
2000,서대문구,"299,464","2,596,509","264,950","2,425,117","34,514","171,392",0,0,"10,450","350,500","10,450","350,500",0,0,"289,014","2,246,009","254,500","2,074,617","34,514","171,392"
2001,서대문구,"300,288","2,602,517","300,288","2,602,517",0,0,0,0,"10,450","350,500","10,450","350,500",0,0,"289,838","2,252,017","289,838","2,252,017",0,0
2002,서대문구,"301,271","2,614,499","301,271","2,614,499",0,0,0,0,"10,450","350,500","10,450","350,500",0,0,"290,821","2,263,999","290,821","2,263,999",0,0
2003,서대문구,"302,346","2,621,749","302,346","2,621,749",0,0,0,0,"10,450","350,500","10,450","350,500",0,0,"291,896","2,271,249","291,896","2,271,249",0,0
2004,서대문구,"304,985","2,636,848","304,985","2,636,848",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"294,535","2,286,348","294,535","2,286,348",-,-
2005,서대문구,"306,189","2,646,423","306,189","2,646,423",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"295,739","2,295,923","295,739","2,295,923",-,-
2006,서대문구,"308,028","2,659,239","308,028","2,659,239",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"297,578","2,308,739","297,578","2,308,739",-,-
2007,서대문구,"308,213","2,661,249","308,213","2,661,249",…,…,-,-,"10,450","350,500","10,450","350,500",-,-,"297,763","2,310,749","297,763","2,310,749",…,…
2008,서대문구,"308,621","2,665,800","308,621","2,665,800",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"298,171","2,315,300","298,171","2,315,300",-,-
2009,서대문구,"308,695","3,567,926","308,695","3,567,926",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"298,245","3,217,426","298,245","3,217,426",-,-
2010,서대문구,"308,695","2,668,016","308,695","2,668,016",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"298,245","2,317,516","298,245","2,317,516",-,-
2011,서대문구,"309,008","2,670,229","309,008","2,670,229",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"298,558","2,319,729","298,558","2,319,729",-,-
2012,서대문구,"309,008","2,670,407","309,008","2,670,407",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"298,558","2,319,907","298,558","2,319,907",-,-
2013,서대문구,"309,132","2,671,643","309,132","2,671,643",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"298,682","2,321,143","298,682","2,321,143",-,-
2014,서대문구,"309,132","2,671,643","309,132","2,671,643",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"298,682","2,321,143","298,682","2,321,143",-,-
2015,서대문구,"307,601","2,665,958","307,601","2,665,958",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"297,151","2,315,458","297,151","2,315,458",-,-
2016,서대문구,"310,502","2,722,290","310,502","2,722,290",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"300,052","2,371,790","300,052","2,371,790",-,-
2017,서대문구,"310,502","2,722,920","310,502","2,722,920",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"300,052","2,372,420","300,052","2,372,420",-,-
2018,서대문구,"311,206","2,744,932","311,206","2,744,932",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"300,756","2,394,432","300,756","2,394,432",-,-
2019,서대문구,"311,206","2,744,932","311,206","2,744,932",-,-,-,-,"10,450","350,500","10,450","350,500",-,-,"300,756","2,394,432","300,756","2,394,432",-,-
