"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,성동구,"699,892",…,"630,190",…,"69,702",…,-,…,"16,300",…,"16,300",…,-,-,"683,592",…,"613,890",…,"69,702",…
1994,성동구,"701,324",…,"631,622",…,"69,702",…,-,…,"16,300",…,"16,300",…,-,-,"685,024",…,"615,322",…,"69,702",…
1995,성동구,"389,571",…,"342,941",…,"46,630",…,-,…,"5,980",…,"5,980",…,-,-,"383,591",…,"336,961",…,"46,630",…
1996,성동구,"389,991",…,"343,361",…,"46,630",…,-,…,"5,980",…,"5,980",…,-,-,"384,011",…,"337,381",…,"46,630",…
1997,성동구,"390,736",0,"344,106",0,"46,630",0,0,0,"5,980",0,"5,980",0,0,0,"384,756",0,"338,126",0,"46,630",0
1998,성동구,"394,661",0,"348,031",0,"46,630",0,0,0,"5,980",0,"5,980",0,0,0,"388,681",0,"342,051",0,"46,630",0
1999,성동구,"395,595",0,"348,965",0,"46,630",0,0,0,"55,370",0,"55,370",0,0,0,"340,225",0,"293,595",0,"46,630",0
2000,성동구,"397,750","2,879,522","351,120","2,658,331","46,630","221,191",0,0,"5,980","221,750","5,980","221,750",0,0,"391,770","2,657,772","345,140","2,436,581","46,630","221,191"
2001,성동구,"400,776","2,906,955","400,776","2,906,955",0,0,0,0,"5,980","221,750","5,980","221,750",0,0,"394,796","2,685,205","394,796","2,685,205",0,0
2002,성동구,"401,051","2,909,737","401,051","2,909,737",0,0,0,0,"5,980","221,750","5,980","221,750",0,0,"395,071","2,687,987","395,071","2,687,987",0,0
2003,성동구,"402,167","2,917,017","402,167","2,917,017",0,0,0,0,"5,980","221,750","5,980","221,750",0,0,"396,187","2,695,267","396,187","2,695,267",0,0
2004,성동구,"402,326","2,923,491","402,326","2,923,491",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"396,346","2,701,741","396,346","2,701,741",-,-
2005,성동구,"406,397","2,977,595","406,397","2,977,595",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"400,417","2,755,845","400,417","2,755,845",-,-
2006,성동구,"406,887","2,985,665","406,887","2,985,665",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"400,907","2,763,915","400,907","2,763,915",-,-
2007,성동구,"407,932","3,000,825","407,932","3,000,825",…,…,-,-,"5,980","221,750","5,980","221,750",-,-,"401,952","2,779,075","401,952","2,779,075",…,…
2008,성동구,"407,932","3,009,286","407,932","3,009,286",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"401,952","2,787,536","401,952","2,787,536",-,-
2009,성동구,"407,932","3,010,966","407,932","3,010,966",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"401,952","2,789,216","401,952","2,789,216",-,-
2010,성동구,"407,932","3,010,966","407,932","3,010,966",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"401,952","2,789,216","401,952","2,789,216",-,-
2011,성동구,"407,932","3,010,966","407,932","3,010,966",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"401,952","2,789,216","401,952","2,789,216",-,-
2012,성동구,"407,932","3,011,706","407,932","3,011,706",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"401,952","2,789,956","401,952","2,789,956",-,-
2013,성동구,"408,188","3,015,873","408,188","3,015,873",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"402,208","2,794,123","402,208","2,794,123",-,-
2014,성동구,"408,188","3,020,526","408,188","3,020,526",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"402,208","2,798,776","402,208","2,798,776",-,-
2015,성동구,"408,256","3,021,534","408,256","3,021,534",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"402,276","2,799,784","402,276","2,799,784",-,-
2016,성동구,"408,256","3,021,534","408,256","3,021,534",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"402,276","2,799,784","402,276","2,799,784",-,-
2017,성동구,"408,256","3,021,534","408,256","3,021,534",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"402,276","2,799,784","402,276","2,799,784",-,-
2018,성동구,"408,339","3,024,659","408,339","3,024,659",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"402,359","2,802,909","402,359","2,802,909",-,-
2019,성동구,"408,339","3,024,659","408,339","3,024,659",-,-,-,-,"5,980","221,750","5,980","221,750",-,-,"402,359","2,802,909","402,359","2,802,909",-,-
