"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
1993,양천구,"384,964",…,"294,060",…,"90,904",…,500,…,-,…,-,…,-,-,"384,464",…,"293,560",…,"90,904",…
1994,양천구,"385,624",…,"294,720",…,"90,904",…,500,…,-,…,-,…,-,-,"385,124",…,"294,220",…,"90,904",…
1995,양천구,"385,774",…,"294,870",…,"90,904",…,500,…,-,…,-,…,-,-,"385,274",…,"294,370",…,"90,904",…
1996,양천구,"388,594",…,"297,690",…,"90,904",…,500,…,-,…,-,…,-,-,"388,094",…,"297,190",…,"90,904",…
1997,양천구,"390,173",0,"299,269",0,"90,904",0,500,0,0,0,0,0,0,0,"389,673",0,"298,769",0,"90,904",0
1998,양천구,"391,073",0,"300,169",0,"90,904",0,500,0,0,0,0,0,0,0,"390,573",0,"299,669",0,"90,904",0
1999,양천구,"391,073",0,"300,394",0,"90,679",0,500,0,"39,050",0,"39,050",0,0,0,"351,523",0,"260,844",0,"90,679",0
2000,양천구,"392,086","3,382,963","362,157","3,115,263","29,929","267,700",500,"17,280",0,0,0,0,0,0,"391,586","3,365,683","361,657","3,097,983","29,929","267,700"
2001,양천구,"396,631","3,457,744","396,631","3,457,744",0,0,500,"17,280",0,0,0,0,0,0,"396,131","3,440,464","396,131","3,440,464",0,0
2002,양천구,"396,736","3,458,874","396,736","3,458,874",0,0,500,"17,280",0,0,0,0,0,0,"396,236","3,441,594","396,236","3,441,594",0,0
2003,양천구,"396,736","3,458,974","396,736","3,458,974",0,0,500,"17,280",0,0,0,0,0,0,"396,236","3,441,694","396,236","3,441,694",0,0
2004,양천구,"397,066","3,467,224","397,066","3,467,224",-,-,500,"17,280",-,-,-,-,-,-,"396,566","3,449,944","396,566","3,449,944",-,-
2005,양천구,"397,379","3,477,312","397,379","3,477,312",-,-,500,"17,280",-,-,-,-,-,-,"396,879","3,460,032","396,879","3,460,032",-,-
2006,양천구,"398,058","3,486,117","398,058","3,486,117",-,-,500,"17,280",-,-,-,-,-,-,"397,558","3,468,837","397,558","3,468,837",-,-
2007,양천구,"398,058","3,488,852","398,058","3,488,872",…,…,500,"17,280",-,-,-,-,-,-,"397,558","3,471,572","397,558","3,471,592",…,…
2008,양천구,"398,307","3,489,200","398,307","3,489,200",-,-,500,"17,280",-,-,-,-,-,-,"397,807","3,471,920","397,807","3,471,920",-,-
2009,양천구,"398,307","3,489,646","398,307","3,489,646",-,-,500,"17,280",-,-,-,-,-,-,"397,807","3,472,366","397,807","3,472,366",-,-
2010,양천구,"398,357","3,490,746","398,357","3,490,746",-,-,500,"17,280",-,-,-,-,-,-,"397,857","3,473,466","397,857","3,473,466",-,-
2011,양천구,"398,357","3,490,746","398,357","3,490,746",-,-,500,"17,280",-,-,-,-,-,-,"397,857","3,473,466","397,857","3,473,466",-,-
2012,양천구,"404,016","3,777,893","404,016","3,777,893",-,-,500,"17,280",-,-,-,-,-,-,"403,516","3,760,613","403,516","3,760,613",-,-
2013,양천구,"403,396","3,591,294","403,396","3,591,294",-,-,500,"17,280",-,-,-,-,-,-,"402,896","3,574,014","402,896","3,574,014",-,-
2014,양천구,"403,396","3,591,294","403,396","3,591,294",-,-,500,"17,280",-,-,-,-,-,-,"402,896","3,574,014","402,896","3,574,014",-,-
2015,양천구,"403,396","3,591,294","403,396","3,591,294",-,-,500,"17,280",-,-,-,-,-,-,"402,896","3,574,014","402,896","3,574,014",-,-
2016,양천구,"403,422","3,598,948","403,422","3,598,948",-,-,500,"17,280",-,-,-,-,-,-,"402,922","3,581,668","402,922","3,581,668",-,-
2017,양천구,"403,922","3,616,228","403,922","3,616,228",-,-,500,"17,280",-,-,-,-,-,-,"403,422","3,598,948","403,422","3,598,948",-,-
2018,양천구,"403,922","3,616,228","403,922","3,616,228",-,-,500,"17,280",-,-,-,-,-,-,"403,422","3,598,948","403,422","3,598,948",-,-
2019,양천구,"404,774","3,623,827","404,774","3,623,827",-,-,500,"17,280",-,-,-,-,-,-,"404,274","3,606,547","404,274","3,606,547",-,-
