Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
2018,합계,155,"7,745","51,891",81,"4,866","49,086",150,"45,457","737,940",,,,,,,46,"24,838","448,898",,,,"273,594",,,,,,93,"82,540","1,371,095",40,"12,617","140,790",73,"82,715","1,077,663",7,"69,442","192,382",6,"1,593","19,630"
2018,안전총괄본부,-,-,-,-,-,-,28,"9,777","167,969",,,,,,,4,"5,208","129,112",,,,"35,893",,,,,,35,"68,588","1,176,139",30,"10,314","107,025",1,230,"2,070",7,"69,442","192,382",6,"1,593","19,630"
2018,동부도로사업소,-,-,-,-,-,-,13,"7,070","110,195",,,,,,,3,"2,872","54,927",,,,"9,209",,,,,,1,71,"1,306",-,-,-,1,394,"15,760",-,-,-,-,-,-
2018,서부도로사업소,-,-,-,-,-,-,12,"3,563","49,285",,,,,,,6,"7,297","108,758",,,,"9,608",,,,,,14,"3,763","54,545",2,456,"6,663",12,"17,452","266,644",-,-,-,-,-,-
2018,남부도로사업소,-,-,-,-,-,-,11,"3,744","61,432",,,,,,,6,"1,958","35,409",,,,"7,428",,,,,,8,"2,563","35,782",2,91,"2,586",14,"17,335","306,349",-,-,-,-,-,-
2018,북부도로사업소,-,-,-,-,-,-,9,"2,268","42,407",,,,,,,8,"4,193","64,295",,,,"6,881",,,,,,9,"1,055","12,832",-,-,-,16,"16,041","240,431",-,-,-,-,-,-
2018,성동도로사업소,-,-,-,-,-,-,12,"3,325","50,614",,,,,,,3,740,"14,992",,,,"4,837",,,,,,9,"1,769","28,431",-,-,-,1,"4,715","35,431",-,-,-,-,-,-
2018,강서도로사업소,-,-,-,-,-,-,22,"8,630","165,107",,,,,,,5,805,"14,500",,,,"10,507",,,,,,6,"1,634","28,467",6,"1,756","24,516",4,"2,904","31,742",-,-,-,-,-,-
2018,종로구,3,163,873,5,580,"5,765",1,209,"1,762",,,,,,,-,-,-,,,,"9,220",,,,,,-,-,-,-,-,-,2,160,775,-,-,-,-,-,-
2018,중구,2,55,322,13,921,"8,979",1,109,858,,,,,,,-,-,-,,,,"8,694",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,용산구,13,502,"2,918",4,117,779,5,"1,082","29,584",,,,,,,-,-,-,,,,"7,248",,,,,,1,256,"4,096",-,-,-,1,390,"7,800",-,-,-,-,-,-
