Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,강남구,5,134,982,2,532,"2,279",1,470,"2,619",0,0,0,0,0,0,2,"1,020","12,385",0,0,0,"9,253",0,0,,,,,,,,,,,,,,,,,,
1998,강남구,6,166,661,2,81,928,1,470,"2,619",0,0,0,0,0,0,2,"1,020","12,385",0,0,0,"9,341",0,0,,,,,,,,,,,,,,,,,,
1999,강남구,7,229,"1,371",7,600,"5,723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,808",0,0,,,,,,,,,,,,,,,,,,
2000,강남구,7,229,"1,371",7,600,"5,723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,220",0,0,,,,,,,,,,,,,,,,,,
2001,강남구,7,229,"1,371",8,879,"9,849",0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,"8,358",0,0,,,,,,,,,,,,,,,,,,
2002,강남구,7,229,"1,371",8,879,"9,849",0,0,0,0,0,0,1,-,"12,099",0,0,0,0,0,0,"8,734",0,0,,,,,,,,,,,,,,,,,,
2003,강남구,8,307,"2,019",8,879,"9,849",0,0,0,0,0,0,1,0,"12,099",0,0,0,0,0,0,"9,012",0,0,,,,,,,,,,,,,,,,,,
2004,강남구,9,346,"2,049",8,879,"9,849",0,0,0,0,0,0,1,0,"12,099",0,0,0,0,0,0,"9,415",0,0,,,,,,,,,,,,,,,,,,
2005,강남구,9,350,"2,145",8,879,"9,849",0,0,0,0,0,0,1,0,"12,099",0,0,0,0,0,0,"9,822",0,0,,,,,,,,,,,,,,,,,,
2006,강남구,9,350,"2,145",7,600,"5,722",-,-,-,-,-,-,1,-,"12,099",-,-,-,-,-,-,"10,510",-,-,,,,,,,,,,,,,,,,,,
2007,강남구,9,331,"1,970",7,727,"4,954",-,-,-,-,-,-,,,,-,-,-,-,-,-,"10,565",,,-,-,-,,,,,,,,,,,,,,,
2008,강남구,9,331,"1,970",7,727,"4,954",-,-,-,-,-,-,,,,-,-,-,-,-,-,"10,604",,,-,-,-,,,,,,,,,,,,,,,
2009,강남구,9,331,"1,970.0",7,727,"4,954.0",-,-,-,,,,,,,-,-,-,,,,"11,283",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,강남구,10,420,"2,806.0",7,727,"4,954.0",-,-,-,,,,,,,-,-,-,,,,"11,530",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,강남구,10,420,"2,806.0",7,727,"4,954.0",-,-,-,,,,,,,-,-,-,,,,"11,334",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,강남구,10,419,"2,788.0",7,728,"6,086.0",-,-,-,,,,,,,-,-,-,,,,"12,390",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,강남구,10,419,"2,790",7,728,"6,087",-,-,-,,,,,,,-,-,-,,,,"12,292",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,강남구,10,419,"2,790",7,728,"6,087",-,-,-,,,,,,,-,-,-,,,,"12,042",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,강남구,10,419,"2,790",7,728,"6,087",-,-,-,,,,,,,-,-,-,,,,"12,184",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,강남구,10,419,"2,790",7,728,"6,087",-,-,-,,,,,,,-,-,-,,,,"13,826",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,강남구,10,419,"2,790",7,728,"6,087",-,-,-,,,,,,,-,-,-,,,,"14,193",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,강남구,10,419,"2,790",7,728,"6,087",-,-,-,,,,,,,-,-,-,,,,"14,193",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,강남구,10,419,"2,790",7,728,"6,087",-,-,-,,,,,,,-,-,-,,,,"13,788",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
