Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,강동구,8,213,"1,451",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,550",0,0,,,,,,,,,,,,,,,,,,
1998,강동구,8,213,765,1,34,218,1,355,"2,697",0,0,0,0,0,0,0,0,0,0,0,0,"5,005",0,0,,,,,,,,,,,,,,,,,,
1999,강동구,8,213,"1,451",1,34,497,0,0,0,0,0,0,0,0,0,21,"26,025","241,352",0,0,0,"4,184",0,0,,,,,,,,,,,,,,,,,,
2000,강동구,7,203,"1,284",1,34,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,320",0,0,,,,,,,,,,,,,,,,,,
2001,강동구,9,237,"1,573",1,34,599,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,"4,408",0,0,,,,,,,,,,,,,,,,,,
2002,강동구,9,237,"1,573",1,34,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,504",0,0,,,,,,,,,,,,,,,,,,
2003,강동구,9,237,"1,573",1,34,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,628",0,0,,,,,,,,,,,,,,,,,,
2004,강동구,9,237,"1,573",1,34,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,827",0,0,,,,,,,,,,,,,,,,,,
2005,강동구,9,237,"1,573",1,34,599,1,48,217,0,0,0,0,0,0,0,0,0,0,0,0,"5,039",0,0,,,,,,,,,,,,,,,,,,
2006,강동구,9,237,"1,573",1,34,599,1,48,217,-,-,-,-,-,-,-,-,-,-,-,-,"5,176",-,-,,,,,,,,,,,,,,,,,,
2007,강동구,9,239,"1,646",1,34,599,1,48,217,-,-,-,,,,-,-,-,-,-,-,"5,273",,,-,-,-,,,,,,,,,,,,,,,
2008,강동구,8,219,"1,486",1,34,599,1,48,217,-,-,-,,,,-,-,-,-,-,-,"5,140",,,-,-,-,,,,,,,,,,,,,,,
2009,강동구,8,219,"1,486.0",1,34,599,1,48,217,,,,,,,-,-,-,,,,"5,195",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,강동구,8,219,"1,486.0",1,34,599,-,-,-,,,,,,,-,-,-,,,,"5,720",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,강동구,7,194,"1,391.0",1,34,599,-,-,-,,,,,,,-,-,-,,,,"6,092",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,강동구,6,160,"1,157.0",1,34,599,-,-,-,,,,,,,-,-,-,,,,"6,468",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,강동구,9,426,"2,756",1,34,599,-,-,-,,,,,,,-,-,-,,,,"6,950",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,강동구,9,426,"2,756",1,34,599,-,-,-,,,,,,,-,-,-,,,,"7,264",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,강동구,9,426,"2,756",1,34,599,1,41,182,,,,,,,-,-,-,,,,"7,232",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,강동구,10,454,"2,866",1,34,599,1,41,182,,,,,,,-,-,-,,,,"7,411",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,강동구,10,454,"2,866",1,34,599,1,41,182,,,,,,,-,-,-,,,,"7,891",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,강동구,9,411,"2,532",1,34,599,1,41,182,,,,,,,-,-,-,,,,"7,982",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,강동구,9,411,"2,532",1,34,599,1,41,182,,,,,,,-,-,-,,,,"7,477",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
