Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,관악구,8,321,"2,209",0,0,0,0,0,0,0,0,0,0,0,0,1,720,"7,149",0,0,0,"2,450",0,0,,,,,,,,,,,,,,,,,,
1998,관악구,9,394,"1,635",1,34,249,0,0,0,0,0,0,0,0,0,1,720,"7,150",0,0,0,"2,676",0,0,,,,,,,,,,,,,,,,,,
1999,관악구,9,394,"3,093",1,34,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,647",0,0,,,,,,,,,,,,,,,,,,
2000,관악구,9,394,"3,093",1,34,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,668",0,0,,,,,,,,,,,,,,,,,,
2001,관악구,9,394,"3,093",1,34,596,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,"2,712",0,0,,,,,,,,,,,,,,,,,,
2002,관악구,9,394,"3,093",1,34,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,027",0,0,,,,,,,,,,,,,,,,,,
2003,관악구,10,436,"3,628",1,34,596,0,0,0,0,0,0,0,0,0,1,110,825,0,0,0,"3,382",0,0,,,,,,,,,,,,,,,,,,
2004,관악구,10,436,"3,628",1,34,596,0,0,0,0,0,0,0,0,0,1,110,"1,155",0,0,0,"3,738",0,0,,,,,,,,,,,,,,,,,,
2005,관악구,10,416,"3,303",1,34,596,0,0,0,0,0,0,0,0,0,1,110,"1,155",0,0,0,"4,215",0,0,,,,,,,,,,,,,,,,,,
2006,관악구,10,416,"3,303",1,34,596,-,-,-,-,-,-,-,-,-,1,110,"1,155",-,-,-,"4,458",-,-,,,,,,,,,,,,,,,,,,
2007,관악구,10,375,"3,303",1,34,596,-,-,-,-,-,-,,,,1,110,"1,595",-,-,-,"4,721",,,1,"1,340","24,120",,,,,,,,,,,,,,,
2008,관악구,9,353,"3,117",1,34,596,-,-,-,-,-,-,,,,1,110,"1,595",-,-,-,"4,770",,,1,"1,340","24,120",,,,,,,,,,,,,,,
2009,관악구,9,397,"2,881.0",1,34,596,-,-,-,,,,,,,1,110,"1,595.0",,,,"4,898",,,,,,-,-,-,-,-,-,1,"1,340","24,120.0",-,-,-,-,-,-
2010,관악구,9,397,"2,881.0",1,34,596,-,-,-,,,,,,,1,110,"1,595.0",,,,"4,984",,,,,,-,-,-,-,-,-,1,"1,340","24,120.0",-,-,-,-,-,-
2011,관악구,8,361,"2,622.0",1,34,596,-,-,-,,,,,,,1,110,"1,595.0",,,,"4,934",,,,,,-,-,-,-,-,-,1,"1,340","24,120.0",-,-,-,-,-,-
2012,관악구,8,360,"2,622.0",1,34,596,-,-,-,,,,,,,1,110,"1,595.0",,,,"5,121",,,,,,-,-,-,-,-,-,1,"1,340","24,120.0",-,-,-,-,-,-
2013,관악구,8,362,"3,821",1,34,595,-,-,-,,,,,,,1,110,"1,595",,,,"5,160",,,,,,-,-,-,-,-,-,1,"1,340","24,120",-,-,-,-,-,-
2014,관악구,8,362,"3,821",1,34,595,-,-,-,,,,,,,1,110,"1,595",,,,"5,170",,,,,,-,-,-,-,-,-,1,"1,340","24,120",-,-,-,-,-,-
2015,관악구,8,362,"3,821",1,34,595,-,-,-,,,,,,,1,110,"1,595",,,,"4,964",,,,,,-,-,-,-,-,-,1,"1,340","24,120",-,-,-,-,-,-
2016,관악구,8,362,"3,821",1,34,595,-,-,-,,,,,,,1,110,"1,595",,,,"4,897",,,,,,-,-,-,-,-,-,1,"1,340","20,718",-,-,-,-,-,-
2017,관악구,8,362,"3,821",1,34,595,-,-,-,,,,,,,1,110,"1,595",,,,"4,895",,,,,,-,-,-,-,-,-,1,"1,340","20,718",-,-,-,-,-,-
2018,관악구,9,400,"4,235",1,34,595,-,-,-,,,,,,,1,110,"1,595",,,,"4,894",,,,,,-,-,-,-,-,-,1,"1,340","20,718",-,-,-,-,-,-
2019,관악구,9,400,"4,235",1,34,595,-,-,-,,,,,,,1,110,"1,595",,,,"5,304",,,,,,-,-,-,-,-,-,1,"1,340","20,718",-,-,-,-,-,-
