Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,광진구,5,117,888,1,91,418,4,786,"8,827",0,0,0,0,0,0,0,0,0,0,0,0,"3,123",0,0,,,,,,,,,,,,,,,,,,
1998,광진구,6,161,621,2,123,591,3,714,"8,467",0,0,0,0,0,0,0,0,0,0,0,0,"3,853",0,0,,,,,,,,,,,,,,,,,,
1999,광진구,6,161,"1,199",3,189,"1,125",1,192,"1,337",0,0,0,0,0,0,0,0,0,0,0,0,"2,900",0,0,,,,,,,,,,,,,,,,,,
2000,광진구,6,161,"1,199",3,238,"1,467",1,192,"1,337",0,0,0,0,0,0,0,0,0,0,0,0,"3,409",0,0,,,,,,,,,,,,,,,,,,
2001,광진구,6,161,"1,199",3,238,"1,467",1,192,"1,337",1,51,439,-,-,-,0,0,0,0,0,0,"3,525",0,0,,,,,,,,,,,,,,,,,,
2002,광진구,6,161,"1,199",3,238,"1,467",1,192,"1,337",1,51,439,0,0,0,0,0,0,0,0,0,"3,876",0,0,,,,,,,,,,,,,,,,,,
2003,광진구,6,161,"11,199",3,238,"1,467",1,192,"1,337",1,51,439,0,0,0,0,0,0,0,0,0,"4,083",0,0,,,,,,,,,,,,,,,,,,
2004,광진구,6,161,"1,199",3,238,"1,467",1,192,"1,337",1,51,439,0,0,0,0,0,0,0,0,0,"4,189",0,0,,,,,,,,,,,,,,,,,,
2005,광진구,5,139,"1,122",3,238,"1,467",1,192,"1,337",1,51,439,0,0,0,0,0,0,0,0,0,"4,401",0,0,,,,,,,,,,,,,,,,,,
2006,광진구,5,139,"1,122",3,238,"1,467",1,192,"1,337",1,51,439,-,-,-,-,-,-,-,-,-,"4,515",-,-,,,,,,,,,,,,,,,,,,
2007,광진구,5,139,"1,047",3,238,"1,467",1,72,504,1,51,439,,,,-,-,-,-,-,-,"4,840",,,-,-,-,,,,,,,,,,,,,,,
2008,광진구,6,189,"1,244",3,238,"1,467",1,72,504,1,51,439,,,,-,-,-,-,-,-,"4,971",,,-,-,-,,,,,,,,,,,,,,,
2009,광진구,3,118,707,3,238,"1,467.0",1,72,504,,,,,,,-,-,-,,,,"4,971",,,,,,1,51,439,-,-,-,-,-,-,-,-,-,-,-,-
2010,광진구,2,93,508,3,238,"1,467.0",1,72,504,,,,,,,-,-,-,,,,"4,834",,,,,,1,51,439,-,-,-,-,-,-,-,-,-,-,-,-
2011,광진구,1,49,197,3,238,"1,467.0",1,72,504,,,,,,,-,-,-,,,,"4,947",,,,,,1,51,439,-,-,-,-,-,-,-,-,-,-,-,-
2012,광진구,-,-,-,3,238,"1,467.0",1,72,504,,,,,,,-,-,-,,,,"4,957",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,광진구,-,-,-,3,238,"1,467",1,72,504,,,,,,,-,-,-,,,,"4,927",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,광진구,-,-,-,3,238,"1,467",1,72,504,,,,,,,-,-,-,,,,"4,982",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,광진구,-,-,-,3,238,"1,467",1,72,504,,,,,,,-,-,-,,,,"4,981",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,광진구,-,-,-,3,238,"1,467",1,72,504,,,,,,,-,-,-,,,,"4,925",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,광진구,-,-,-,3,238,"1,467",1,72,504,,,,,,,-,-,-,,,,"4,852",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,광진구,-,-,-,2,187,"1,049",1,72,504,,,,,,,-,-,-,,,,"4,774",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,광진구,-,-,-,2,187,"1,049",1,72,504,,,,,,,-,-,-,,,,"4,616",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
