Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,금천구,4,186,"1,104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,258",0,0,,,,,,,,,,,,,,,,,,
1998,금천구,4,186,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,391",0,0,,,,,,,,,,,,,,,,,,
1999,금천구,5,215,"1,266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,467",0,0,,,,,,,,,,,,,,,,,,
2000,금천구,6,295,"1,492",-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,561",0,0,,,,,,,,,,,,,,,,,,
2001,금천구,6,335,"1,630",0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,"2,799",0,0,,,,,,,,,,,,,,,,,,
2002,금천구,6,335,"1,630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,913",0,0,,,,,,,,,,,,,,,,,,
2003,금천구,6,335,"1,630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,233",0,0,,,,,,,,,,,,,,,,,,
2004,금천구,6,335,"1,630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,764",0,0,,,,,,,,,,,,,,,,,,
2005,금천구,5,290,"1,310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,930",0,0,,,,,,,,,,,,,,,,,,
2006,금천구,5,290,"1,310",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,333",-,-,,,,,,,,,,,,,,,,,,
2007,금천구,5,290,"1,414",-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,"4,349",,,1,750,"9,000",,,,,,,,,,,,,,,
2008,금천구,5,290,"1,414",-,-,-,-,-,-,-,-,-,,,,1,146,"1,752",-,-,-,"4,282",,,1,750,"9,000",,,,,,,,,,,,,,,
2009,금천구,6,349,"1,749.0",-,-,-,-,-,-,,,,,,,1,146,"1,752.0",,,,"4,285",,,,,,-,-,-,-,-,-,1,750,"9,000.0",-,-,-,-,-,-
2010,금천구,6,356,"1,800.0",-,-,-,-,-,-,,,,,,,1,146,"1,752.0",,,,"4,650",,,,,,-,-,-,-,-,-,1,750,"9,000.0",-,-,-,-,-,-
2011,금천구,6,356,"1,800.0",-,-,-,-,-,-,,,,,,,1,146,"1,752.0",,,,"3,808",,,,,,-,-,-,-,-,-,1,750,"9,000.0",-,-,-,-,-,-
2012,금천구,9,356,"2,694.0",-,-,-,1,60,240,,,,,,,2,234,"2,808.0",,,,"4,598",,,,,,-,-,-,-,-,-,1,750,"9,000.0",-,-,-,-,-,-
2013,금천구,9,501,"2,696",-,-,-,1,60,240,,,,,,,2,234,"2,808",,,,"4,668",,,,,,-,-,-,-,-,-,1,750,"9,000",-,-,-,-,-,-
2014,금천구,9,501,"2,694",-,-,-,1,60,240,,,,,,,2,234,"2,808",,,,"4,669",,,,,,-,-,-,-,-,-,1,750,"9,000",-,-,-,-,-,-
2015,금천구,8,456,"2,426",-,-,-,1,60,240,,,,,,,2,234,"2,808",,,,"4,736",,,,,,-,-,-,-,-,-,1,750,"9,000",-,-,-,-,-,-
2016,금천구,8,456,"2,426",-,-,-,1,60,240,,,,,,,2,234,"2,808",,,,"5,354",,,,,,-,-,-,-,-,-,1,750,"9,000",-,-,-,-,-,-
2017,금천구,8,456,"2,426",1,26,143,-,-,-,,,,,,,2,234,"2,808",,,,"5,369",,,,,,-,-,-,-,-,-,1,750,"9,000",-,-,-,-,-,-
2018,금천구,8,456,"2,426",1,26,143,-,-,-,,,,,,,2,234,"2,808",,,,"5,294",,,,,,-,-,-,-,-,-,1,750,"9,000",-,-,-,-,-,-
2019,금천구,7,420,"2,213",1,26,143,2,182,"2,274",,,,,,,2,234,"2,808",,,,"5,496",,,,,,-,-,-,-,-,-,1,750,"9,000",-,-,-,-,-,-
