Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,노원구,8,405,"2,771",4,382,"1,571",2,641,"7,040",0,0,0,0,0,0,1,220,"4,697",0,0,0,"4,144",0,0,,,,,,,,,,,,,,,,,,
1998,노원구,8,405,"1,789",6,222,"1,425",2,641,"7,040",0,0,0,0,0,0,1,220,"4,697",0,0,0,"4,464",0,0,,,,,,,,,,,,,,,,,,
1999,노원구,9,458,"3,082",6,222,"2,371",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"4,070",0,0,,,,,,,,,,,,,,,,,,
2000,노원구,9,458,"3,082",6,222,"2,371",1,600,"3,888",0,0,0,0,0,0,0,0,0,0,0,0,"4,878",0,0,,,,,,,,,,,,,,,,,,
2001,노원구,10,502,"3,309",6,222,"2,371",1,600,"3,888",0,0,0,-,-,-,0,0,0,0,0,0,"5,342",0,0,,,,,,,,,,,,,,,,,,
2002,노원구,10,502,"3,309",6,222,"2,371",3,681,"4,766",0,0,0,0,0,0,0,0,0,0,0,0,"5,519",0,0,,,,,,,,,,,,,,,,,,
2003,노원구,10,502,"3,309",6,222,"2,371",3,681,"4,766",0,0,0,0,0,0,0,0,0,0,0,0,"6,188",0,0,,,,,,,,,,,,,,,,,,
2004,노원구,10,502,"3,309",6,222,"2,371",3,681,"4,766",0,0,0,0,0,0,0,0,0,0,0,0,"6,763",0,0,,,,,,,,,,,,,,,,,,
2005,노원구,10,502,"3,309",6,222,"2,371",3,681,"4,766",0,0,0,0,0,0,0,0,0,0,0,0,"7,136",0,0,,,,,,,,,,,,,,,,,,
2006,노원구,10,502,"3,309",6,222,"2,371",3,681,"4,766",-,-,-,-,-,-,-,-,-,-,-,-,"7,154",-,-,,,,,,,,,,,,,,,,,,
2007,노원구,9,478,"3,103",6,206,"3,795",3,334,"4,766",-,-,-,,,,-,-,-,-,-,-,"7,186",,,4,"3,168","18,944",,,,,,,,,,,,,,,
2008,노원구,7,402,"2,631",6,206,"3,795",3,334,"4,766",-,-,-,,,,-,-,-,-,-,-,"9,098",,,4,"3,168","18,944",,,,,,,,,,,,,,,
2009,노원구,7,402,"2,631.0",6,206,"3,795.0",3,334,"4,766.0",,,,,,,-,-,-,,,,"9,333",,,,,,-,-,-,-,-,-,3,"2,264","11,712.0",-,-,-,-,-,-
2010,노원구,9,679,"3,673.0",6,206,"3,795.0",3,334,"4,766.0",,,,,,,-,-,-,,,,"8,556",,,,,,1,122,"2,318.0",-,-,-,3,"2,264","11,712.0",-,-,-,-,-,-
2011,노원구,7,638,"3,314.0",6,206,"3,795.0",3,334,"4,766.0",,,,,,,-,-,-,,,,"8,648",,,,,,1,122,"2,318.0",-,-,-,3,"2,264","11,712.0",-,-,-,-,-,-
2012,노원구,7,637,"3,313.0",6,206,"3,795.0",3,334,"4,766.0",,,,,,,-,-,-,,,,"8,934",,,,,,1,122,"2,318.0",-,-,-,3,"2,264","11,712.0",-,-,-,-,-,-
2013,노원구,7,643,"3,296",6,206,"3,797",3,334,"4,766",,,,,,,-,-,-,,,,"8,944",,,,,,1,122,"2,318",-,-,-,3,"2,264","11,712",-,-,-,-,-,-
2014,노원구,7,638,"3,274",6,222,"3,797",3,512,"4,766",,,,,,,-,-,-,,,,"8,966",,,,,,1,122,"2,318",-,-,-,3,"2,264","11,712",-,-,-,-,-,-
2015,노원구,7,638,"3,274",6,222,"3,797",3,512,"4,766",,,,,,,-,-,-,,,,"8,745",,,,,,1,122,"2,318",-,-,-,3,"2,264","11,712",-,-,-,-,-,-
2016,노원구,7,638,"3,274",6,222,"3,797",3,512,"4,766",,,,,,,-,-,-,,,,"9,267",,,,,,1,122,"2,318",-,-,-,3,"2,264","11,712",-,-,-,-,-,-
2017,노원구,7,638,"3,274",6,222,"3,797",3,512,"4,766",,,,,,,1,45,540,,,,"9,308",,,,,,1,122,"2,318",-,-,-,3,"2,264","11,712",-,-,-,-,-,-
2018,노원구,7,638,"3,274",6,222,"3,797",3,512,"4,766",,,,,,,1,45,540,,,,"9,270",,,,,,1,122,"2,318",-,-,-,3,"2,264","11,712",-,-,-,-,-,-
2019,노원구,7,638,"3,274",6,222,"3,797",3,512,"4,766",,,,,,,1,45,540,,,,"9,510",,,,,,1,122,"2,318",-,-,-,3,"2,264","11,712",-,-,-,-,-,-
