Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,서대문구,13,395,"2,615",3,290,"1,264",2,496,"4,190",0,0,0,0,0,0,1,"1,110","9,990",0,0,0,"2,961",0,0,,,,,,,,,,,,,,,,,,
1998,서대문구,13,395,"1,506",4,146,955,2,496,"5,166",0,0,0,0,0,0,1,"1,110","9,990",0,0,0,"3,306",0,0,,,,,,,,,,,,,,,,,,
1999,서대문구,13,395,"2,615",4,146,"1,654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,782",0,0,,,,,,,,,,,,,,,,,,
2000,서대문구,13,395,"2,615",4,146,"1,654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,782",0,0,,,,,,,,,,,,,,,,,,
2001,서대문구,13,395,"2,603",4,146,"1,654",0,0,0,2,64,557,-,-,-,0,0,0,0,0,0,"3,026",0,0,,,,,,,,,,,,,,,,,,
2002,서대문구,13,395,"2,603",4,146,"1,654",0,0,0,2,64,557,0,0,0,0,0,0,0,0,0,"3,347",0,0,,,,,,,,,,,,,,,,,,
2003,서대문구,13,395,"2,603",4,146,"1,654",0,0,0,2,64,557,0,0,0,0,0,0,0,0,0,"3,677",0,0,,,,,,,,,,,,,,,,,,
2004,서대문구,13,395,"2,603",4,146,"1,654",0,0,0,2,64,557,0,0,0,0,0,0,0,0,0,"4,137",0,0,,,,,,,,,,,,,,,,,,
2005,서대문구,10,310,"2,002",3,109,"1,178",0,0,0,2,64,557,0,0,0,0,0,0,0,0,0,"4,473",0,0,,,,,,,,,,,,,,,,,,
2006,서대문구,10,334,"2,134",3,109,"1,178",-,-,-,2,64,557,-,-,-,-,-,-,-,-,-,"4,618",-,-,,,,,,,,,,,,,,,,,,
2007,서대문구,10,334,"2,134",3,109,"1,178",-,-,-,2,64,557,,,,-,-,-,-,-,-,"4,686",,,2,"1,722","15,417",,,,,,,,,,,,,,,
2008,서대문구,10,334,"2,100",3,102,"1,134",-,-,-,2,141,"1,569",,,,-,-,-,-,-,-,"4,676",,,2,"1,722","15,417",,,,,,,,,,,,,,,
2009,서대문구,10,334,"2,100.0",3,102,"1,134.0",-,-,-,,,,,,,-,-,-,,,,"4,796",,,,,,2,141,"1,569.0",-,-,-,2,"1,722","15,417.0",-,-,-,-,-,-
2010,서대문구,10,334,"2,100.0",3,102,"1,134.0",-,-,-,,,,,,,-,-,-,,,,"4,922",,,,,,2,141,"1,569.0",-,-,-,2,"1,722","15,417.0",-,-,-,-,-,-
2011,서대문구,10,334,"2,100.0",3,102,"1,134.0",-,-,-,,,,,,,-,-,-,,,,"5,002",,,,,,2,141,"1,569.0",-,-,-,2,"1,722","15,417.0",-,-,-,-,-,-
2012,서대문구,9,304,"1,908.0",2,78,909,-,-,-,,,,,,,-,-,-,,,,"5,563",,,,,,2,141,"1,569.0",-,-,-,2,"1,595","15,417.0",-,-,-,-,-,-
2013,서대문구,9,305,"1,907",2,78,909,-,-,-,,,,,,,-,-,-,,,,"5,641",,,,,,2,141,"1,569",-,-,-,2,"1,595","15,417",-,-,-,-,-,-
2014,서대문구,8,271,"1,643",2,78,909,-,-,-,,,,,,,-,-,-,,,,"5,705",,,,,,2,141,"1,569",-,-,-,2,"1,595","15,417",-,-,-,-,-,-
2015,서대문구,8,271,"1,643",2,78,909,-,-,-,,,,,,,-,-,-,,,,"5,467",,,,,,2,141,"1,569",-,-,-,2,"1,595","15,417",-,-,-,-,-,-
2016,서대문구,8,271,"1,643",2,78,909,-,-,-,,,,,,,-,-,-,,,,"5,667",,,,,,2,141,"1,569",-,-,-,2,"1,595","15,417",-,-,-,-,-,-
2017,서대문구,8,271,"1,643",2,78,909,-,-,-,,,,,,,-,-,-,,,,"5,848",,,,,,2,141,"1,569",-,-,-,2,"1,595","15,417",-,-,-,-,-,-
2018,서대문구,7,248,"1,473",2,78,909,-,-,-,,,,,,,-,-,-,,,,"6,075",,,,,,2,141,"1,569",-,-,-,2,"1,595","15,417",-,-,-,-,-,-
2019,서대문구,7,248,"1,473",2,78,909,-,-,-,,,,,,,-,-,-,,,,"6,075",,,,,,2,141,"1,569",-,-,-,2,"1,595","15,417",-,-,-,-,-,-
