Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,서초구,11,362,"2,189",3,343,"1,624",3,"1,084","11,701",0,0,0,4,"1,027","43,244",0,0,0,0,0,0,"7,051",0,0,,,,,,,,,,,,,,,,,,
1998,서초구,11,363,"1,311",3,145,950,3,"1,084","11,701",0,0,0,4,"1,027","43,244",0,0,0,0,0,0,"7,724",0,0,,,,,,,,,,,,,,,,,,
1999,서초구,12,409,"2,459",5,280,"2,338",0,0,0,0,0,0,4,"1,027","43,244",0,0,0,0,0,0,"6,374",0,0,,,,,,,,,,,,,,,,,,
2000,서초구,13,437,"2,574",5,280,"2,328",0,0,0,0,0,0,1,146,"12,099",0,0,0,0,0,0,"6,975",0,0,,,,,,,,,,,,,,,,,,
2001,서초구,13,437,"2,584",6,323,"2,651",0,0,0,0,0,0,1,146,"12,099",0,0,0,0,0,0,"7,236",0,0,,,,,,,,,,,,,,,,,,
2002,서초구,13,437,"2,584",6,283,"2,651",0,0,0,0,0,0,3,-,"31,144",0,0,0,0,0,0,"7,663",0,0,,,,,,,,,,,,,,,,,,
2003,서초구,11,376,"2,217",5,228,"2,171",0,0,0,0,0,0,3,0,"31,144",0,0,0,0,0,0,"7,838",0,0,,,,,,,,,,,,,,,,,,
2004,서초구,10,335,"2,014",5,228,"2,171",0,0,0,0,0,0,3,0,"31,144",0,0,0,0,0,0,"8,695",0,0,,,,,,,,,,,,,,,,,,
2005,서초구,12,453,"2,977",6,342,"1,741",0,0,0,0,0,0,3,0,"31,144",0,0,0,0,0,0,"9,266",0,0,,,,,,,,,,,,,,,,,,
2006,서초구,12,453,"2,977",6,342,"1,741",-,-,-,-,-,-,3,-,"31,144",-,-,-,-,-,-,"9,426",-,-,,,,,,,,,,,,,,,,,,
2007,서초구,12,453,"2,977",6,342,"2,688",-,-,-,-,-,-,,,,-,-,-,-,-,-,"9,687",,,-,-,-,,,,,,,,,,,,,,,
2008,서초구,12,453,"2,977",6,342,"2,688",-,-,-,-,-,-,,,,-,-,-,-,-,-,"9,819",,,-,-,-,,,,,,,,,,,,,,,
2009,서초구,12,453,"2,977.0",6,342,"2,688.0",-,-,-,,,,,,,-,-,-,,,,"10,357",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2010,서초구,14,556,"3,314.0",6,342,"2,688.0",-,-,-,,,,,,,-,-,-,,,,"10,200",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,서초구,14,556,"3,314.0",6,342,"2,688.0",-,-,-,,,,,,,-,-,-,,,,"10,224",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,서초구,14,556,"3,314.0",6,342,"2,688.0",-,-,-,,,,,,,-,-,-,,,,"10,591",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2013,서초구,14,557,"3,313",6,341,"2,688",-,-,-,,,,,,,-,-,-,,,,"10,694",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014,서초구,16,668,"5,088",6,341,"2,688",1,137,824,,,,,,,-,-,-,,,,"10,920",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2015,서초구,16,668,"5,088",6,334,"2,944",1,137,824,,,,,,,-,-,-,,,,"11,143",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2016,서초구,17,713,"5,268",6,334,"2,944",2,284,"3,767",,,,,,,-,-,-,,,,"11,622",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2017,서초구,17,713,"5,268",6,334,"2,944",2,284,"3,767",,,,,,,-,-,-,,,,"11,699",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,서초구,17,713,"5,268",6,334,"2,944",2,284,"3,766",,,,,,,1,56,"1,008",,,,"12,691",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,서초구,17,713,"5,268",6,334,"2,944",2,284,"3,767",,,,,,,1,56,"1,008",,,,"12,793",,,,,,-,-,-,-,-,-,1,"2,870","20,950",-,-,-,-,-,-
