Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,양천구,14,755,"4,185",1,50,142,4,"1,835","33,931",0,0,0,0,0,0,0,0,0,0,0,0,"4,484",0,0,,,,,,,,,,,,,,,,,,
1998,양천구,15,779,"3,013",1,29,100,4,"1,835","33,611",0,0,0,0,0,0,0,0,0,0,0,0,"4,954",0,0,,,,,,,,,,,,,,,,,,
1999,양천구,15,779,"4,575",1,29,171,1,185,"1,591",0,0,0,0,0,0,0,0,0,0,0,0,"4,313",0,0,,,,,,,,,,,,,,,,,,
2000,양천구,15,779,"4,575",1,29,171,1,185,"1,591",0,0,0,0,0,0,0,0,0,0,0,0,"4,506",0,0,,,,,,,,,,,,,,,,,,
2001,양천구,16,812,"4,861",1,29,171,1,185,"1,591",1,150,"1,163",-,-,-,0,0,0,0,0,0,"4,764",0,0,,,,,,,,,,,,,,,,,,
2002,양천구,16,812,"4,910",1,29,171,1,185,"1,591",1,150,"1,163",0,0,0,0,0,0,0,0,0,"4,809",0,0,,,,,,,,,,,,,,,,,,
2003,양천구,16,812,"4,910",1,29,171,1,185,"1,591",1,150,"1,163",0,0,0,0,0,0,0,0,0,"5,013",0,0,,,,,,,,,,,,,,,,,,
2004,양천구,16,812,"4,910",1,29,171,1,185,"1,591",1,150,"1,163",0,0,0,0,0,0,0,0,0,"5,489",0,0,,,,,,,,,,,,,,,,,,
2005,양천구,16,812,"4,910",1,29,171,1,185,"1,591",1,150,"1,163",0,0,0,0,0,0,0,0,0,"6,401",0,0,,,,,,,,,,,,,,,,,,
2006,양천구,17,852,"5,322",1,29,171,1,185,"1,591",1,150,"1,163",-,-,-,-,-,-,-,-,-,"6,609",-,-,,,,,,,,,,,,,,,,,,
2007,양천구,15,783,"4,917",1,29,171,1,185,"1,591",1,150,"1,163",,,,-,-,-,-,-,-,"6,637",,,2,80,260,,,,,,,,,,,,,,,
2008,양천구,16,863,"5,773",1,29,171,1,185,"1,591",1,150,"1,163",,,,-,-,-,-,-,-,"7,058",,,2,80,260,,,,,,,,,,,,,,,
2009,양천구,16,866,"5,938.0",3,109,431,1,185,"1,591.0",,,,,,,-,-,-,,,,"6,950",,,,,,1,150,"1,163.0",-,-,-,-,-,-,-,-,-,-,-,-
2010,양천구,15,832,"5,725.0",2,69,291,1,185,"1,591.0",,,,,,,-,-,-,,,,"7,026",,,,,,1,150,"1,163.0",-,-,-,-,-,-,-,-,-,-,-,-
2011,양천구,15,877,"6,082.0",2,69,291,1,185,"1,591.0",,,,,,,-,-,-,,,,"7,396",,,,,,1,150,"1,163.0",-,-,-,-,-,-,-,-,-,-,-,-
2012,양천구,16,"1,105","7,108.0",2,69,291,-,-,-,,,,,,,-,-,-,,,,"7,346",,,,,,1,150,"1,163.0",-,-,-,-,-,-,-,-,-,-,-,-
2013,양천구,16,"1,106","7,109",2,69,291,-,-,-,,,,,,,-,-,-,,,,"7,286",,,,,,1,150,"1,163",-,-,-,-,-,-,-,-,-,-,-,-
2014,양천구,16,"1,106","7,109",2,69,291,-,-,-,,,,,,,-,-,-,,,,"7,277",,,,,,1,150,"1,163",-,-,-,-,-,-,-,-,-,-,-,-
2015,양천구,16,"1,106","7,109",2,69,291,-,-,-,,,,,,,-,-,-,,,,"7,209",,,,,,1,150,"1,163",-,-,-,-,-,-,-,-,-,-,-,-
2016,양천구,16,"1,106","7,109",2,69,291,-,-,-,,,,,,,-,-,-,,,,"7,206",,,,,,1,150,"1,163",-,-,-,-,-,-,-,-,-,-,-,-
2017,양천구,16,"1,106","7,109",2,69,291,-,-,-,,,,,,,-,-,-,,,,"7,198",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2018,양천구,15,"1,053","6,818",2,69,291,-,-,-,,,,,,,-,-,-,,,,"7,833",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2019,양천구,14,868,"5,983",2,69,291,-,-,-,,,,,,,-,-,-,,,,"7,970",,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
