Year,sigName,보도육교,보도육교,보도육교,지하보도,지하보도,지하보도,지하차도,지하차도,지하차도,고가도로,고가도로,고가도로,지하상가,지하상가,지하상가,터널,터널,터널,입체교차,입체교차,입체교차,가로등,가로등,가로등,기타,기타,기타,고가차도,고가차도,고가차도,입체교차로,입체교차로,입체교차로,복개구조물,복개구조물,복개구조물,공동구,공동구,공동구,언더패스,언더패스,언더패스
Year,sigName,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적,개소,연장,면적
1997,용산구,20,739,"4,367",4,308,"1,118",9,"2,196","29,793",0,0,0,0,0,0,0,0,0,0,0,0,"5,269",0,0,,,,,,,,,,,,,,,,,,
1998,용산구,20,739,"2,788",4,151,627,9,"2,201","29,874",0,0,0,0,0,0,0,0,0,0,0,0,"5,433",0,0,,,,,,,,,,,,,,,,,,
1999,용산구,22,781,"4,769",3,95,562,4,902,"15,184",0,0,0,0,0,0,0,0,0,0,0,0,"4,163",0,0,,,,,,,,,,,,,,,,,,
2000,용산구,22,781,"4,769",3,95,562,4,902,"15,184",0,0,0,0,0,0,0,0,0,0,0,0,"4,234",0,0,,,,,,,,,,,,,,,,,,
2001,용산구,22,800,"4,815",3,95,562,4,902,"15,184",1,256,"4,096",-,-,-,0,0,0,0,0,0,"4,920",0,0,,,,,,,,,,,,,,,,,,
2002,용산구,22,800,"4,815",3,95,562,4,902,"15,184",1,256,"4,096",0,0,0,0,0,0,0,0,0,"5,393",0,0,,,,,,,,,,,,,,,,,,
2003,용산구,22,800,"4,815",3,95,562,4,902,"15,184",1,256,"4,096",0,0,0,0,0,0,0,0,0,"5,571",0,0,,,,,,,,,,,,,,,,,,
2004,용산구,22,800,"4,815",3,95,562,5,"1,082","29,584",1,256,"4,096",0,0,0,0,0,0,0,0,0,"5,711",0,0,,,,,,,,,,,,,,,,,,
2005,용산구,22,799,"4,814",3,87,560,5,"1,082","29,584",1,256,"4,096",0,0,0,0,0,0,0,0,0,"5,741",0,0,,,,,,,,,,,,,,,,,,
2006,용산구,19,704,"4,060",3,87,560,5,"1,082","29,584",1,256,"4,096",-,-,-,-,-,-,-,-,-,"5,824",-,-,,,,,,,,,,,,,,,,,,
2007,용산구,18,674,"3,866",4,117,780,5,"1,082","29,584",1,256,"2,976",,,,-,-,-,-,-,-,"5,901",,,-,-,-,,,,,,,,,,,,,,,
2008,용산구,18,674,"3,866",4,117,780,5,"1,082","29,584",1,256,"4,096",,,,-,-,-,-,-,-,"5,901",,,-,-,-,,,,,,,,,,,,,,,
2009,용산구,18,674,"3,866.0",4,117,780,5,"1,082","29,584.0",,,,,,,-,-,-,,,,"5,840",,,,,,1,256,"4,096.0",-,-,-,-,-,-,-,-,-,-,-,-
2010,용산구,18,674,"3,866.0",4,117,780,5,"1,082","29,584.0",,,,,,,-,-,-,,,,"6,632",,,,,,1,256,"4,095.0",-,-,-,-,-,-,-,-,-,-,-,-
2011,용산구,18,674,"3,866.0",4,117,780,5,"1,082","29,584.0",,,,,,,-,-,-,,,,"6,658",,,,,,1,256,"4,095.0",-,-,-,-,-,-,-,-,-,-,-,-
2012,용산구,16,594,"3,341.0",4,117,780,5,"1,082","29,584.0",,,,,,,-,-,-,,,,"6,861",,,,,,1,256,"4,096.0",-,-,-,-,-,-,-,-,-,-,-,-
2013,용산구,16,590,"3,423",4,117,779,5,"1,082","29,584",,,,,,,-,-,-,,,,"6,816",,,,,,1,256,"4,096",-,-,-,-,-,-,-,-,-,-,-,-
2014,용산구,16,590,"3,423",4,117,779,5,"1,082","29,584",,,,,,,-,-,-,,,,"6,886",,,,,,1,256,"4,096",-,-,-,-,-,-,-,-,-,-,-,-
2015,용산구,16,590,"3,423",4,117,779,5,"1,082","29,584",,,,,,,-,-,-,,,,"6,977",,,,,,1,256,"4,096",-,-,-,-,-,-,-,-,-,-,-,-
2016,용산구,15,563,"3,236",4,117,779,5,"1,082","29,584",,,,,,,-,-,-,,,,"7,206",,,,,,1,256,"4,096",-,-,-,-,-,-,-,-,-,-,-,-
2017,용산구,13,502,"2,917",4,117,779,5,"1,082","29,584",,,,,,,-,-,-,,,,"7,291",,,,,,1,256,"4,096",-,-,-,1,390,"7,800",-,-,-,-,-,-
2018,용산구,13,502,"2,918",4,117,779,5,"1,082","29,584",,,,,,,-,-,-,,,,"7,248",,,,,,1,256,"4,096",-,-,-,1,390,"7,800",-,-,-,-,-,-
2019,용산구,12,484,"2,842",4,117,779,5,"1,082","29,584",,,,,,,-,-,-,,,,"7,637",,,,,,1,256,"4,096",-,-,-,1,390,"7,800",-,-,-,-,-,-
