"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
2005,합계,"10,297,004","10,296,761",99.99,"5,400,000","3,442,551",334,"1,968,180"
2005,종로구,"173,861","173,861",100,…,…,…,"50,365"
2005,중구,"134,420","134,420",100,…,…,…,"34,474"
2005,용산구,"240,077","240,077",100,…,…,…,"48,816"
2005,성동구,"342,691","342,691",100,…,…,…,"54,217"
2005,광진구,"380,480","380,480",100,…,…,…,"64,101"
2005,동대문구,"386,280","386,280",100,…,…,…,"66,815"
2005,중랑구,"429,922","429,922",100,…,…,…,"72,225"
2005,성북구,"467,308","467,308",100,…,…,…,"81,147"
2005,강북구,"355,334","355,334",100,…,…,…,"73,497"
2005,도봉구,"383,448","383,448",100,…,…,…,"73,342"
2005,노원구,"624,855","624,855",100,…,…,…,"128,750"
2005,은평구,"473,456","473,456",100,…,…,…,"107,467"
2005,서대문구,"355,934","355,934",100,…,…,…,"73,711"
2005,마포구,"393,155","393,155",100,…,…,…,"79,948"
2005,양천구,"502,788","502,788",100,…,…,…,"98,416"
2005,강서구,"557,373","557,373",100,…,…,…,"124,596"
2005,구로구,"427,119","427,119",100,…,…,…,"66,801"
2005,금천구,"263,936","263,936",100,…,…,…,"37,424"
2005,영등포구,"421,327","421,327",100,…,…,…,"63,504"
2005,동작구,"414,668","414,668",100,…,…,…,"70,389"
2005,관악구,"537,235","537,235",100,…,…,…,"89,303"
2005,서초구,"406,875","406,696",99.96,…,…,…,"78,818"
2005,강남구,"547,775","547,775",100,…,…,…,"120,293"
2005,송파구,"610,023","610,023",100,…,…,…,"121,498"
2005,강동구,"466,664","466,600",99.99,…,…,…,"88,263"
